epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.2278,3.52733,4.30849,1.23684,0.00642,0.14976,0.00369,0.00112,3.30082,3.99947,1.04079,0.000653846,0.000653846,0.000653846
2,43.6113,3.30034,2.92844,1.00028,0.57229,0.16506,0.19136,0.05503,3.16669,2.86962,0.98552,0.00127694,0.00127694,0.00127694
3,64.8713,3.35701,2.87536,1.01103,0.22548,0.17955,0.08981,0.01872,3.15689,2.60787,0.97222,0.00185603,0.00185603,0.00185603
4,85.7034,3.32737,2.70881,0.99613,0.39548,0.18196,0.1801,0.04325,2.91684,2.50365,0.95474,0.001802,0.001802,0.001802
5,106.461,3.34254,2.41563,0.96518,0.3036,0.3285,0.1658,0.03615,3.04638,2.25963,0.94873,0.001736,0.001736,0.001736
6,127.379,3.21238,2.2636,0.96054,0.51548,0.42995,0.37294,0.09319,2.86303,2.00663,0.94494,0.00167,0.00167,0.00167
7,148.222,3.11911,2.28659,0.94382,0.49611,0.40902,0.33446,0.08438,2.8298,1.93437,0.94135,0.001604,0.001604,0.001604
8,168.946,2.86934,1.99875,0.94106,0.5562,0.43087,0.40709,0.11269,2.68166,1.97024,0.92213,0.001538,0.001538,0.001538
9,189.673,2.85687,2.11191,0.91912,0.54699,0.49485,0.43613,0.13857,2.48153,1.88372,0.90248,0.001472,0.001472,0.001472
10,210.414,2.80347,1.99474,0.92687,0.55937,0.50805,0.46313,0.1548,2.45399,1.82014,0.9021,0.001406,0.001406,0.001406
11,230.719,2.91054,1.95006,0.93416,0.57572,0.50081,0.4809,0.15595,2.47754,1.78936,0.90118,0.00134,0.00134,0.00134
12,250.919,2.74643,1.96739,0.93258,0.58302,0.50564,0.50165,0.16386,2.40559,1.83131,0.89568,0.001274,0.001274,0.001274
13,271.346,2.77935,1.85871,0.91069,0.55389,0.53383,0.5058,0.16268,2.38472,1.70577,0.88928,0.001208,0.001208,0.001208
14,291.056,2.61774,1.75366,0.89726,0.57311,0.58696,0.53713,0.18184,2.35155,1.70987,0.87706,0.001142,0.001142,0.001142
15,310.615,2.6741,1.92973,0.87104,0.60022,0.59475,0.55854,0.19359,2.30761,1.65387,0.87361,0.001076,0.001076,0.001076
16,330.753,2.74215,1.76373,0.90497,0.62822,0.57649,0.5433,0.17879,2.31339,1.59832,0.87874,0.00101,0.00101,0.00101
17,350.988,2.71614,1.74941,0.88879,0.63219,0.57085,0.54573,0.19388,2.25721,1.56157,0.87176,0.000944,0.000944,0.000944
18,370.931,2.72521,1.72816,0.89434,0.63291,0.57327,0.56114,0.20345,2.22532,1.52061,0.86692,0.000878,0.000878,0.000878
19,391.45,2.62659,1.78723,0.88975,0.63409,0.56119,0.56383,0.19721,2.24278,1.48222,0.86136,0.000812,0.000812,0.000812
20,411.638,2.55205,1.67704,0.86652,0.61824,0.58374,0.56972,0.20082,2.2572,1.47905,0.86344,0.000746,0.000746,0.000746
21,431.776,2.6,1.93241,0.89971,0.62937,0.58857,0.56512,0.19994,2.19898,1.54505,0.85926,0.00068,0.00068,0.00068
22,451.943,2.47117,1.90244,0.89849,0.62239,0.56535,0.55466,0.1992,2.19672,1.58186,0.85818,0.000614,0.000614,0.000614
23,471.852,2.61199,1.96719,0.89715,0.62226,0.57299,0.5611,0.19284,2.23084,1.5922,0.85852,0.000548,0.000548,0.000548
24,491.863,2.4699,1.89866,0.90276,0.61923,0.56522,0.55205,0.18516,2.24044,1.55953,0.8597,0.000482,0.000482,0.000482
25,512.018,2.41062,1.94529,0.87066,0.62473,0.55233,0.52436,0.18423,2.26257,1.53821,0.86153,0.000416,0.000416,0.000416
26,532.068,2.50712,2.00092,0.88601,0.63036,0.55556,0.53174,0.18812,2.25844,1.53095,0.86247,0.00035,0.00035,0.00035
27,552.27,2.42071,1.87776,0.90243,0.63161,0.54942,0.52865,0.18964,2.22446,1.53017,0.85798,0.000284,0.000284,0.000284
28,572.166,2.36435,1.76598,0.88089,0.62376,0.56196,0.5305,0.1886,2.21163,1.52943,0.8561,0.000218,0.000218,0.000218
