original_image,crop_filename,split,class_id,class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_000.png,train,0,ring,918,885,993,952,ground_truth
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_001.png,train,1,schizont,1244,1497,1349,1609,ground_truth
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_002.png,train,0,ring,1717,309,1786,391,ground_truth
images\1305121398-0003-R.jpg,1305121398-0003-R_crop_000.png,test,0,ring,1229,848,1318,934,ground_truth
images\1305121398-0004-R.jpg,1305121398-0004-R_crop_000.png,val,0,ring,813,1078,879,1150,ground_truth
images\1305121398-0004-R.jpg,1305121398-0004-R_crop_001.png,val,0,ring,1892,1375,1983,1450,ground_truth
images\1305121398-0005-T.jpg,1305121398-0005-T_crop_000.png,train,2,trophozoite,1223,1056,1330,1147,ground_truth
images\1305121398-0006-R.jpg,1305121398-0006-R_crop_000.png,train,0,ring,1121,1014,1210,1096,ground_truth
images\1305121398-0007-R.jpg,1305121398-0007-R_crop_000.png,train,0,ring,1324,1497,1411,1581,ground_truth
images\1305121398-0008-R.jpg,1305121398-0008-R_crop_000.png,train,0,ring,1288,1150,1384,1247,ground_truth
images\1305121398-0010-S.jpg,1305121398-0010-S_crop_000.png,test,1,schizont,1197,1130,1318,1230,ground_truth
images\1305121398-0011-S.jpg,1305121398-0011-S_crop_000.png,val,1,schizont,1171,952,1279,1051,ground_truth
images\1305121398-0012-S.jpg,1305121398-0012-S_crop_000.png,test,1,schizont,1182,925,1261,1066,ground_truth
images\1305121398-0013-S.jpg,1305121398-0013-S_crop_000.png,train,1,schizont,1111,1145,1217,1259,ground_truth
images\1305121398-0014-S.jpg,1305121398-0014-S_crop_000.png,test,1,schizont,1094,1049,1203,1163,ground_truth
images\1305121398-0015-S.jpg,1305121398-0015-S_crop_000.png,train,1,schizont,837,1076,969,1200,ground_truth
images\1305121398-0016-S.jpg,1305121398-0016-S_crop_000.png,test,1,schizont,1171,1128,1281,1242,ground_truth
images\1305121398-0017-R.jpg,1305121398-0017-R_crop_000.png,train,0,ring,1135,1086,1203,1153,ground_truth
images\1305121398-0018-S.jpg,1305121398-0018-S_crop_000.png,val,1,schizont,1050,930,1170,1048,ground_truth
images\1305121398-0019-R.jpg,1305121398-0019-R_crop_000.png,train,0,ring,1087,969,1251,1121,ground_truth
images\1305121398-0020-S.jpg,1305121398-0020-S_crop_000.png,test,1,schizont,1054,1004,1155,1105,ground_truth
images\1305121398-0021-S.jpg,1305121398-0021-S_crop_000.png,train,1,schizont,1065,1033,1210,1205,ground_truth
images\1305121398-0022-S.jpg,1305121398-0022-S_crop_000.png,train,1,schizont,1111,937,1213,1053,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_000.png,train,0,ring,18,1237,67,1291,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_001.png,train,0,ring,168,1430,210,1473,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_002.png,train,0,ring,205,1435,265,1494,ground_truth
