original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_000.jpg,train,0.02218275,2253,460,2592,1944,2358,1138,2486,1266,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_001.jpg,train,0.021628143,2212,0,2592,1376,2338,624,2466,752,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_002.jpg,train,0.019910315,2236,63,2592,1805,2350,870,2478,998,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_003.jpg,train,0.01880235,2273,845,2592,1944,2368,1330,2496,1458,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_004.jpg,train,0.016353639,2025,1229,2591,1944,2244,1522,2372,1650,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_005.jpg,train,0.0123868175,0,4,230,339,51,107,179,235,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_006.jpg,train,0.01116869,0,22,1305,741,588,317,716,445,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_007.jpg,train,0.011157111,0,13,211,498,41,191,169,319,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_008.jpg,train,0.0111486595,0,1301,830,1944,351,1558,479,1686,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_009.jpg,train,0.0111075835,0,1132,455,1944,163,1474,291,1602,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_010.jpg,train,0.010556893,0,18,536,660,204,275,332,403,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_011.jpg,train,0.010483798,0,1560,218,1944,45,1688,173,1816,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_012.jpg,train,0.0104458155,2071,0,2592,1221,2267,546,2395,674,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_013.jpg,train,0.010375057,1611,1221,2585,1944,2034,1518,2162,1646,mp_idb
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_014.jpg,train,0.010337315,557,1117,2351,1944,1390,1466,1518,1594,mp_idb
