original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,class_id
train/images/1401063467-0001-S.jpg,1401063467-0001-S_gt_crop_000.jpg,train,1.0,1193,932,1304,1046,1184,925,1312,1053,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_000.jpg,train,1.0,1605,1693,1659,1778,1568,1671,1696,1799,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_001.jpg,train,1.0,2058,1680,2163,1751,2046,1651,2174,1779,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_002.jpg,train,1.0,1751,1545,1827,1612,1725,1514,1853,1642,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_003.jpg,train,1.0,1386,1524,1443,1569,1350,1482,1478,1610,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_004.jpg,train,1.0,1443,1520,1508,1583,1411,1487,1539,1615,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_005.jpg,train,1.0,724,1484,799,1555,697,1455,825,1583,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_006.jpg,train,1.0,392,1471,481,1558,372,1450,500,1578,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_007.jpg,train,1.0,1411,1453,1471,1501,1377,1413,1505,1541,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_008.jpg,train,1.0,971,1415,1137,1550,990,1418,1118,1546,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_009.jpg,train,1.0,1180,1352,1246,1420,1149,1322,1277,1450,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_010.jpg,train,1.0,1565,1277,1624,1330,1530,1239,1658,1367,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_011.jpg,train,1.0,1283,1185,1352,1245,1253,1151,1381,1279,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_012.jpg,train,1.0,1511,1128,1572,1197,1477,1098,1605,1226,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_013.jpg,train,1.0,1600,1127,1655,1188,1563,1093,1691,1221,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_014.jpg,train,1.0,1022,1040,1086,1107,990,1009,1118,1137,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_015.jpg,train,1.0,438,1024,502,1079,406,987,534,1115,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_016.jpg,train,1.0,708,1007,785,1054,682,966,810,1094,ground_truth,0
train/images/1307210661-0008-R.jpg,1307210661-0008-R_gt_crop_017.jpg,train,1.0,700,941,753,991,662,902,790,1030,ground_truth,0
