original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source
train/images/1401063467-0001-S.jpg,1401063467-0001-S_crop_000.jpg,train,0.89613754,1196,935,1303,1049,1185,928,1313,1056,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_000.jpg,train,0.7924774,1593,1121,1665,1194,1565,1093,1693,1221,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_001.jpg,train,0.7663957,394,1470,479,1564,372,1453,500,1581,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_002.jpg,train,0.7166482,1371,1514,1498,1581,1370,1483,1498,1611,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_003.jpg,train,0.70378006,990,1426,1120,1546,991,1422,1119,1550,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_004.jpg,train,0.68633485,1135,724,1212,806,1109,701,1237,829,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_005.jpg,train,0.6644762,1287,1184,1348,1242,1253,1149,1381,1277,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_006.jpg,train,0.6497175,1562,1275,1632,1341,1533,1244,1661,1372,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_007.jpg,train,0.64532477,1694,298,1791,418,1678,294,1806,422,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_008.jpg,train,0.6403886,1137,725,1211,806,1110,701,1238,829,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_009.jpg,train,0.6369804,2054,1679,2165,1755,2045,1653,2173,1781,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_010.jpg,train,0.6216796,1679,864,1743,928,1647,832,1775,960,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_011.jpg,train,0.6127563,723,1487,786,1555,690,1457,818,1585,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_012.jpg,train,0.6111418,1513,1128,1564,1195,1474,1097,1602,1225,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_013.jpg,train,0.563367,2344,835,2425,920,2320,813,2448,941,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_014.jpg,train,0.5490018,1485,386,1563,455,1460,356,1588,484,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_015.jpg,train,0.537621,887,384,950,478,854,367,982,495,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_016.jpg,train,0.53690004,1844,663,1915,718,1815,626,1943,754,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_017.jpg,train,0.53119546,1844,662,1915,719,1815,626,1943,754,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_018.jpg,train,0.53113216,1022,1041,1086,1112,990,1012,1118,1140,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_019.jpg,train,0.52886355,421,1033,493,1092,393,998,521,1126,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_020.jpg,train,0.50363356,695,943,747,993,657,904,785,1032,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_021.jpg,train,0.50352407,1561,1275,1633,1347,1533,1247,1661,1375,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_022.jpg,train,0.5021186,1162,460,1284,555,1159,443,1287,571,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_023.jpg,train,0.49817622,867,720,945,795,842,693,970,821,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_024.jpg,train,0.48210126,425,1036,489,1088,393,998,521,1126,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_025.jpg,train,0.47023284,1373,1518,1424,1576,1334,1483,1462,1611,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_026.jpg,train,0.44828832,1603,1699,1661,1781,1568,1676,1696,1804,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_027.jpg,train,0.44007522,688,942,792,1061,676,937,804,1065,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_028.jpg,train,0.43242744,1789,1135,1840,1193,1750,1100,1878,1228,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_029.jpg,train,0.41218007,1789,1135,1841,1193,1751,1100,1879,1228,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_030.jpg,train,0.40895116,1763,1537,1828,1606,1731,1507,1859,1635,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_031.jpg,train,0.40852317,1026,677,1110,737,1004,643,1132,771,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_032.jpg,train,0.40070692,710,1012,786,1065,684,974,812,1102,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_033.jpg,train,0.3927112,1414,1458,1466,1503,1376,1416,1504,1544,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_034.jpg,train,0.3667641,1574,95,1644,158,1545,62,1673,190,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_035.jpg,train,0.36133832,1179,1355,1232,1401,1141,1314,1269,1442,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_036.jpg,train,0.32793096,421,441,495,506,394,409,522,537,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_037.jpg,train,0.3114592,874,721,936,784,841,688,969,816,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_038.jpg,train,0.29972968,877,725,934,780,841,688,969,816,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_039.jpg,train,0.2738401,1039,1845,1149,1947,1030,1832,1158,1944,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_040.jpg,train,0.27341104,1703,297,1770,358,1672,263,1800,391,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_041.jpg,train,0.26867136,1432,1519,1495,1577,1399,1484,1527,1612,multispecies
train/images/1707180816-0012-T_R.jpg,1707180816-0012-T_R_crop_000.jpg,train,0.8914935,357,1628,516,1781,372,1640,500,1768,multispecies
train/images/1707180816-0012-T_R.jpg,1707180816-0012-T_R_crop_001.jpg,train,0.8311712,1478,193,1572,292,1461,178,1589,306,multispecies
train/images/1708161076-0002-R.jpg,1708161076-0002-R_crop_000.jpg,train,0.781718,1331,564,1405,635,1304,535,1432,663,multispecies
train/images/1704282807-0007-R.jpg,1704282807-0007-R_crop_000.jpg,train,0.837511,2282,706,2363,784,2258,681,2386,809,multispecies
train/images/1704282807-0007-R.jpg,1704282807-0007-R_crop_001.jpg,train,0.83243054,681,1259,758,1336,655,1233,783,1361,multispecies
train/images/1704282807-0007-R.jpg,1704282807-0007-R_crop_002.jpg,train,0.81694686,274,243,367,374,256,244,384,372,multispecies
