original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_000.jpg,train,0.022364745,211,0,2592,1783,1337,827,1465,955,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_001.jpg,train,0.016323766,0,0,2259,1439,1065,655,1193,783,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_002.jpg,train,0.016086845,1697,82,2578,1795,2073,874,2201,1002,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_003.jpg,train,0.015377257,372,412,2592,1930,1418,1107,1546,1235,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_004.jpg,train,0.015085921,1634,790,2584,1937,2045,1299,2173,1427,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_005.jpg,train,0.015048113,88,200,2592,1944,1276,1008,1404,1136,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_006.jpg,train,0.014729389,1975,674,2588,1467,2217,1006,2345,1134,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_007.jpg,train,0.014516337,1782,5,2592,747,2123,312,2251,440,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_008.jpg,train,0.0144967865,1034,591,2592,1936,1749,1199,1877,1327,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_009.jpg,train,0.014382207,1892,482,2588,1230,2176,792,2304,920,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_010.jpg,train,0.013939958,1910,775,2587,1929,2184,1288,2312,1416,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_011.jpg,train,0.01372831,0,1,2187,941,1029,407,1157,535,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_012.jpg,train,0.013670576,0,0,1635,1188,753,530,881,658,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_013.jpg,train,0.0135640185,1889,217,2588,1027,2174,558,2302,686,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_014.jpg,train,0.013242671,16,1,1838,663,863,268,991,396,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_015.jpg,train,0.013087101,602,2,2052,325,1263,99,1391,227,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_016.jpg,train,0.012933341,1795,1126,2587,1940,2127,1469,2255,1597,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_017.jpg,train,0.012867042,282,1,2383,325,1268,99,1396,227,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_018.jpg,train,0.012795518,122,1,1793,326,893,99,1021,227,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_019.jpg,train,0.01270821,1897,119,2588,822,2178,406,2306,534,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_020.jpg,train,0.012682897,51,2,1799,462,861,168,989,296,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_021.jpg,train,0.012623118,0,1086,280,1944,76,1451,204,1579,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_022.jpg,train,0.012600002,0,9,241,953,56,417,184,545,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_023.jpg,train,0.0125948,0,0,285,425,78,148,206,276,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_024.jpg,train,0.012559867,2,0,841,381,357,126,485,254,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_025.jpg,train,0.012463731,703,3,2575,350,1575,112,1703,240,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_026.jpg,train,0.012444917,963,1738,2588,1942,1711,1776,1839,1904,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_027.jpg,train,0.012434572,23,0,1303,364,599,118,727,246,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_028.jpg,train,0.01239379,0,1,1343,884,607,378,735,506,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_029.jpg,train,0.012393463,0,0,1816,1912,844,892,972,1020,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_030.jpg,train,0.012386329,2011,3,2587,650,2235,262,2363,390,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_031.jpg,train,0.012368876,1570,1293,2588,1942,2015,1553,2143,1681,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_032.jpg,train,0.012349063,0,0,1106,594,489,233,617,361,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_033.jpg,train,0.012321359,0,423,243,1531,57,913,185,1041,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_034.jpg,train,0.01231134,38,1,2536,529,1223,201,1351,329,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_035.jpg,train,0.012286543,0,145,249,1365,60,691,188,819,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_036.jpg,train,0.012275126,0,812,239,1832,55,1258,183,1386,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_037.jpg,train,0.01226704,0,1021,1120,1942,496,1417,624,1545,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_038.jpg,train,0.012263354,0,4,711,1006,291,441,419,569,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_039.jpg,train,0.012233373,1885,1333,2590,1944,2173,1574,2301,1702,yolo8
train/images/1405022890-0003-R.jpg,1405022890-0003-R_crop_040.jpg,train,0.012231655,0,1253,1036,1943,454,1534,582,1662,yolo8
