original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source
train/images/1401063467-0001-S.jpg,1401063467-0001-S_crop_000.jpg,train,0.8803125,1194,932,1308,1048,1187,926,1315,1054,multispecies
train/images/1401063467-0001-S.jpg,1401063467-0001-S_crop_001.jpg,train,0.30808932,1097,1580,1148,1631,1058,1541,1186,1669,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_000.jpg,train,0.84760296,985,1432,1116,1548,986,1426,1114,1554,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_001.jpg,train,0.76093084,396,1466,478,1554,373,1446,501,1574,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_002.jpg,train,0.57357323,1701,295,1788,414,1680,290,1808,418,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_003.jpg,train,0.5704761,1290,1189,1342,1239,1252,1150,1380,1278,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_004.jpg,train,0.5682024,1374,1455,1504,1586,1375,1456,1503,1584,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_005.jpg,train,0.5476495,724,1494,785,1558,690,1462,818,1590,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_006.jpg,train,0.49669698,1378,1503,1460,1577,1355,1476,1483,1604,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_007.jpg,train,0.39498642,1593,1125,1658,1187,1561,1092,1689,1220,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_008.jpg,train,0.35881835,1563,1269,1624,1340,1529,1240,1657,1368,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_009.jpg,train,0.35653475,1380,1458,1476,1571,1364,1450,1492,1578,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_010.jpg,train,0.3528569,862,728,939,797,836,698,964,826,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_011.jpg,train,0.33364984,1843,653,1914,722,1814,623,1942,751,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_012.jpg,train,0.32566822,1794,1130,1841,1183,1753,1092,1881,1220,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_013.jpg,train,0.30989093,1767,1537,1831,1613,1735,1511,1863,1639,multispecies
train/images/1307210661-0008-R.jpg,1307210661-0008-R_crop_014.jpg,train,0.2952881,429,1040,489,1102,395,1007,523,1135,multispecies
