original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train/images/1707180816-0010-T.jpg,1707180816-0010-T_crop_000.jpg,train,0.55954164,1476,812,1619,940,1483,812,1611,940,multispecies,3
train/images/1707180816-0010-T.jpg,1707180816-0010-T_crop_001.jpg,train,0.41171074,1480,814,1616,933,1484,809,1612,937,multispecies,3
train/images/1401080976-0003-T.jpg,1401080976-0003-T_crop_000.jpg,train,0.32696807,566,589,646,674,542,567,670,695,multispecies,2
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_000.jpg,train,0.91040695,2208,1334,2283,1423,2181,1314,2309,1442,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_001.jpg,train,0.8353359,2332,1172,2408,1247,2306,1145,2434,1273,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_002.jpg,train,0.78677076,2326,538,2414,611,2306,510,2434,638,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_003.jpg,train,0.6908045,38,1133,113,1197,11,1101,139,1229,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_004.jpg,train,0.6730135,996,795,1073,863,970,765,1098,893,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_005.jpg,train,0.64363796,2318,272,2391,349,2290,246,2418,374,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_006.jpg,train,0.62109214,1362,396,1425,455,1329,361,1457,489,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_007.jpg,train,0.6132676,745,1687,829,1763,723,1661,851,1789,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_008.jpg,train,0.608896,1379,996,1436,1055,1343,961,1471,1089,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_009.jpg,train,0.56362844,2417,1622,2513,1714,2401,1604,2529,1732,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_010.jpg,train,0.5605587,2047,0,2111,54,2015,0,2143,91,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_011.jpg,train,0.5506828,1902,410,1965,475,1869,378,1997,506,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_012.jpg,train,0.52425355,1544,1632,1627,1727,1521,1615,1649,1743,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_013.jpg,train,0.49101493,2163,539,2235,604,2135,507,2263,635,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_014.jpg,train,0.45888436,1123,1770,1190,1840,1092,1741,1220,1869,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_015.jpg,train,0.45685843,2452,698,2528,770,2426,670,2554,798,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_016.jpg,train,0.42562988,1310,751,1432,875,1307,749,1435,877,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_017.jpg,train,0.40797248,2200,86,2277,166,2174,62,2302,190,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_018.jpg,train,0.36587295,1467,738,1521,789,1430,699,1558,827,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_019.jpg,train,0.3619139,1548,1638,1622,1722,1521,1616,1649,1744,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_020.jpg,train,0.31372604,2402,1612,2510,1711,2392,1597,2520,1725,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_021.jpg,train,0.311895,35,1125,119,1202,13,1099,141,1227,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_000.jpg,train,0.85292,2146,528,2219,598,2118,499,2246,627,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_001.jpg,train,0.8422424,1000,559,1076,636,974,533,1102,661,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_002.jpg,train,0.6313658,384,909,467,985,361,883,489,1011,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_003.jpg,train,0.5735803,1609,260,1687,343,1584,237,1712,365,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_004.jpg,train,0.52173656,2394,537,2484,623,2375,516,2503,644,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_005.jpg,train,0.49725875,1020,1090,1115,1158,1003,1060,1131,1188,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_006.jpg,train,0.49614093,1254,1347,1341,1440,1233,1329,1361,1457,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_007.jpg,train,0.47923577,344,1328,400,1383,308,1291,436,1419,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_008.jpg,train,0.45011196,136,1623,222,1697,115,1596,243,1724,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_009.jpg,train,0.430876,2389,531,2495,630,2378,516,2506,644,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_010.jpg,train,0.3413596,1735,133,1825,207,1716,106,1844,234,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_011.jpg,train,0.33502066,1866,1789,1937,1853,1837,1757,1965,1885,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_012.jpg,train,0.32638672,870,972,952,1043,847,943,975,1071,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_013.jpg,train,0.31929764,1016,1094,1114,1157,1001,1061,1129,1189,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_014.jpg,train,0.31178024,134,1619,218,1697,112,1594,240,1722,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_000.jpg,train,0.8926108,1745,377,1824,467,1720,358,1848,486,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_001.jpg,train,0.8627378,2498,361,2568,437,2469,335,2592,463,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_002.jpg,train,0.7349867,1102,858,1173,932,1073,831,1201,959,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_003.jpg,train,0.65278345,1038,517,1109,583,1009,486,1137,614,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_004.jpg,train,0.6151895,1907,137,2005,216,1892,112,2020,240,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_005.jpg,train,0.54296166,725,639,787,712,692,611,820,739,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_006.jpg,train,0.5139658,1782,1795,1893,1922,1773,1794,1901,1922,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_007.jpg,train,0.47140852,186,1860,259,1935,158,1833,286,1944,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_008.jpg,train,0.4144982,823,1738,912,1828,803,1719,931,1847,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_009.jpg,train,0.38832465,1036,509,1114,586,1011,483,1139,611,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_010.jpg,train,0.32558784,2534,678,2591,757,2498,653,2592,781,multispecies,0
train/images/1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_011.jpg,train,0.321637,1360,461,1445,530,1338,431,1466,559,multispecies,0
