original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train/images/1707180816-0010-T.jpg,1707180816-0010-T_crop_000.jpg,train,0.8298415,1468,805,1617,947,1478,812,1606,940,multispecies,0
train/images/1401080976-0003-T.jpg,1401080976-0003-T_crop_000.jpg,train,0.80689734,1564,1148,1673,1276,1554,1148,1682,1276,multispecies,0
train/images/1401080976-0003-T.jpg,1401080976-0003-T_crop_001.jpg,train,0.763621,565,591,648,674,542,568,670,696,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_000.jpg,train,0.8376029,1309,754,1428,870,1304,748,1432,876,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_001.jpg,train,0.82656294,1382,995,1436,1050,1345,958,1473,1086,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_002.jpg,train,0.82584465,2401,696,2443,755,2358,661,2486,789,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_003.jpg,train,0.813892,1873,1569,1928,1629,1836,1535,1964,1663,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_004.jpg,train,0.80310166,2213,1340,2283,1420,2184,1316,2312,1444,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_005.jpg,train,0.7952138,2169,543,2234,598,2137,506,2265,634,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_006.jpg,train,0.7881827,41,1130,111,1192,12,1097,140,1225,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_007.jpg,train,0.78160995,1002,799,1073,859,973,765,1101,893,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_008.jpg,train,0.77121454,0,1384,55,1458,0,1357,91,1485,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_009.jpg,train,0.76843256,749,1691,830,1755,725,1659,853,1787,multispecies,0
