original_image,crop_filename,split,class_id,class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_000.jpg,train,0,P_falciparum,479,441,1439,1330,ground_truth
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_001.jpg,train,0,P_falciparum,636,747,1905,2246,ground_truth
images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_002.jpg,train,0,P_falciparum,865,154,2596,464,ground_truth
images\1305121398-0003-R.jpg,1305121398-0003-R_crop_000.jpg,train,0,P_falciparum,624,423,1871,1273,ground_truth
images\1305121398-0004-R.jpg,1305121398-0004-R_crop_000.jpg,train,0,P_falciparum,431,538,1292,1619,ground_truth
images\1305121398-0004-R.jpg,1305121398-0004-R_crop_001.jpg,train,0,P_falciparum,970,687,2907,2063,ground_truth
images\1305121398-0005-T.jpg,1305121398-0005-T_crop_000.jpg,train,0,P_falciparum,638,526,1911,1585,ground_truth
images\1305121398-0006-R.jpg,1305121398-0006-R_crop_000.jpg,train,0,P_falciparum,590,505,1767,1522,ground_truth
images\1305121398-0007-R.jpg,1305121398-0007-R_crop_000.jpg,train,0,P_falciparum,672,748,2015,2246,ground_truth
images\1305121398-0008-R.jpg,1305121398-0008-R_crop_000.jpg,train,0,P_falciparum,664,574,1990,1727,ground_truth
images\1305121398-0010-S.jpg,1305121398-0010-S_crop_000.jpg,train,0,P_falciparum,619,564,1855,1695,ground_truth
images\1305121398-0011-S.jpg,1305121398-0011-S_crop_000.jpg,train,0,P_falciparum,611,475,1835,1428,ground_truth
images\1305121398-0012-S.jpg,1305121398-0012-S_crop_000.jpg,train,0,P_falciparum,609,462,1825,1389,ground_truth
images\1305121398-0013-S.jpg,1305121398-0013-S_crop_000.jpg,train,0,P_falciparum,581,570,1738,1720,ground_truth
images\1305121398-0014-S.jpg,1305121398-0014-S_crop_000.jpg,train,0,P_falciparum,574,523,1720,1575,ground_truth
images\1305121398-0015-S.jpg,1305121398-0015-S_crop_000.jpg,train,0,P_falciparum,442,537,1325,1614,ground_truth
images\1305121398-0016-S.jpg,1305121398-0016-S_crop_000.jpg,train,0,P_falciparum,616,563,1847,1693,ground_truth
images\1305121398-0017-R.jpg,1305121398-0017-R_crop_000.jpg,train,0,P_falciparum,582,542,1745,1629,ground_truth
images\1305121398-0018-S.jpg,1305121398-0018-S_crop_000.jpg,train,0,P_falciparum,560,464,1677,1396,ground_truth
images\1305121398-0019-R.jpg,1305121398-0019-R_crop_000.jpg,train,0,P_falciparum,574,483,1719,1454,ground_truth
images\1305121398-0020-S.jpg,1305121398-0020-S_crop_000.jpg,train,0,P_falciparum,544,501,1631,1506,ground_truth
images\1305121398-0021-S.jpg,1305121398-0021-S_crop_000.jpg,train,0,P_falciparum,590,516,1769,1551,ground_truth
images\1305121398-0022-S.jpg,1305121398-0022-S_crop_000.jpg,train,0,P_falciparum,588,468,1763,1405,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_000.jpg,train,0,P_falciparum,19,618,55,1857,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_001.jpg,train,0,P_falciparum,92,714,274,2145,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_002.jpg,train,0,P_falciparum,113,717,338,2154,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_003.jpg,train,0,P_falciparum,155,882,462,2648,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_004.jpg,train,0,P_falciparum,163,740,489,2223,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_005.jpg,train,0,P_falciparum,204,873,611,2623,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_006.jpg,train,0,P_falciparum,248,759,743,2281,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_007.jpg,train,0,P_falciparum,255,579,764,1741,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_008.jpg,train,0,P_falciparum,388,619,1163,1860,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_009.jpg,train,0,P_falciparum,414,740,1241,2223,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_010.jpg,train,0,P_falciparum,419,298,1255,897,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_011.jpg,train,0,P_falciparum,411,856,1233,2571,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_012.jpg,train,0,P_falciparum,448,381,1343,1146,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_013.jpg,train,0,P_falciparum,462,625,1386,1877,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_014.jpg,train,0,P_falciparum,474,287,1419,864,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_015.jpg,train,0,P_falciparum,523,690,1568,2073,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_016.jpg,train,0,P_falciparum,524,607,1571,1824,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_017.jpg,train,0,P_falciparum,564,542,1691,1630,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_018.jpg,train,0,P_falciparum,649,591,1946,1776,ground_truth
images\1307210661-0001-R.jpg,1307210661-0001-R_crop_019.jpg,train,0,P_falciparum,698,371,2093,1116,ground_truth
