original_image,crop_filename,split,class_id,class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source
train\images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_000.png,train,0,ring,917,886,992,952,ground_truth
train\images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_001.png,train,0,ring,1245,1496,1350,1608,ground_truth
train\images\1305121398-0001-R_S.jpg,1305121398-0001-R_S_crop_002.png,train,0,ring,1717,309,1786,392,ground_truth
train\images\1305121398-0005-T.jpg,1305121398-0005-T_crop_000.png,train,0,ring,1223,1055,1330,1146,ground_truth
train\images\1305121398-0006-R.jpg,1305121398-0006-R_crop_000.png,train,0,ring,1122,1013,1210,1096,ground_truth
train\images\1305121398-0007-R.jpg,1305121398-0007-R_crop_000.png,train,0,ring,1325,1497,1412,1581,ground_truth
train\images\1305121398-0008-R.jpg,1305121398-0008-R_crop_000.png,train,0,ring,1288,1150,1384,1247,ground_truth
train\images\1305121398-0013-S.jpg,1305121398-0013-S_crop_000.png,train,0,ring,1111,1145,1217,1259,ground_truth
train\images\1305121398-0015-S.jpg,1305121398-0015-S_crop_000.png,train,0,ring,837,1076,970,1200,ground_truth
train\images\1305121398-0019-R.jpg,1305121398-0019-R_crop_000.png,train,0,ring,1087,969,1251,1122,ground_truth
train\images\1305121398-0021-S.jpg,1305121398-0021-S_crop_000.png,train,0,ring,1065,1034,1210,1206,ground_truth
train\images\1305121398-0022-S.jpg,1305121398-0022-S_crop_000.png,train,0,ring,1110,936,1213,1052,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_000.png,train,0,ring,19,1237,67,1291,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_001.png,train,0,ring,168,1430,210,1474,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_002.png,train,0,ring,205,1435,265,1494,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_003.png,train,0,ring,280,1765,353,1833,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_004.png,train,0,ring,313,1482,380,1542,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_005.png,train,0,ring,388,1748,444,1802,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_006.png,train,0,ring,473,1520,536,1576,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_007.png,train,0,ring,480,1161,555,1232,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_008.png,train,0,ring,748,1239,816,1304,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_009.png,train,0,ring,807,1482,858,1556,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_010.png,train,0,ring,813,597,858,659,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_011.png,train,0,ring,806,1714,871,1770,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_012.png,train,0,ring,862,763,930,823,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_013.png,train,0,ring,892,1251,958,1313,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_014.png,train,0,ring,925,576,990,632,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_015.png,train,0,ring,1018,1381,1077,1433,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_016.png,train,0,ring,1034,1215,1089,1281,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_017.png,train,0,ring,1109,1086,1172,1142,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_018.png,train,0,ring,1267,1183,1330,1251,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_019.png,train,0,ring,1368,743,1444,796,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_020.png,train,0,ring,1577,362,1642,421,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_021.png,train,0,ring,1706,1601,1769,1656,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_022.png,train,0,ring,1732,986,1784,1041,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_023.png,train,0,ring,1754,1224,1809,1282,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_024.png,train,0,ring,1870,1125,1927,1195,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_025.png,train,0,ring,1868,1445,1935,1519,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_026.png,train,0,ring,1937,932,2010,989,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_027.png,train,0,ring,1951,57,2028,111,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_028.png,train,0,ring,2073,1460,2149,1529,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_029.png,train,0,ring,2112,1773,2174,1839,ground_truth
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_030.png,train,0,ring,2121,619,2178,672,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_000.png,train,0,ring,188,26,272,106,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_001.png,train,0,ring,416,1614,493,1663,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_002.png,train,0,ring,466,1315,518,1368,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_003.png,train,0,ring,529,877,603,947,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_004.png,train,0,ring,751,679,806,724,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_005.png,train,0,ring,828,999,908,1042,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_006.png,train,0,ring,922,402,964,480,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_007.png,train,0,ring,908,1718,979,1757,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_008.png,train,0,ring,955,679,1020,738,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_009.png,train,0,ring,1182,331,1233,393,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_010.png,train,0,ring,1187,1762,1238,1816,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_011.png,train,0,ring,1195,900,1259,974,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_012.png,train,0,ring,1297,1200,1370,1259,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_013.png,train,0,ring,1344,111,1423,185,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_014.png,train,0,ring,1581,1646,1641,1698,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_015.png,train,0,ring,1595,1324,1644,1378,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_016.png,train,0,ring,1592,1385,1668,1446,ground_truth
train\images\1307210661-0002-R.jpg,1307210661-0002-R_crop_017.png,train,0,ring,1610,277,1685,337,ground_truth
