image_id,image_path,original_path,dataset,original_class,original_species,unified_class,unified_class_name,quality_score,original_size,processed_size,sharpness,contrast,brightness,dark_ratio,bright_ratio,bbox_x,bbox_y,bbox_w,bbox_h,original_bbox_x,original_bbox_y,original_bbox_w,original_bbox_h,object_id,unified_image_path
1183,images/mp_idb_P_falciparum_1701151546-0014-R_obj05.jpg,data/raw/mp_idb/Falciparum/img/1701151546-0014-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,50.0,2592x1944,640x640,11.352079669451353,38.65645497564884,180.0935876613067,0.0011391492658639,0.2034586079992887,623.0,517.0,9.0,8.0,2524.0,1770.0,40.0,36.0,1701151546-0014-R_obj05,images/P_falciparum/mp_idb_P_falciparum_001183.jpg
618,images/mp_idb_P_falciparum_1704282807-0017-R_obj14.jpg,data/raw/mp_idb/Falciparum/img/1704282807-0017-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,50.0,2592x1944,640x640,8.516583498857639,30.452934689677782,184.3791279276533,0.0010377371970736,0.1188483955062744,261.0,374.0,17.0,18.0,1061.0,1191.0,72.0,73.0,1704282807-0017-R_obj14,images/P_falciparum/mp_idb_P_falciparum_000618.jpg
444,images/mp_idb_P_falciparum_1704282807-0001-R_obj04.jpg,data/raw/mp_idb/Falciparum/img/1704282807-0001-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,70.0,2592x1944,640x640,7.769038594856317,24.727047455004115,144.73540043279735,0.0011818177488187,0.0,574.0,223.0,15.0,11.0,2326.0,583.0,62.0,48.0,1704282807-0001-R_obj04,images/P_falciparum/mp_idb_P_falciparum_000444.jpg
669,images/mp_idb_P_falciparum_1701151546-0008-R-T_obj07.jpg,data/raw/mp_idb/Falciparum/img/1701151546-0008-R-T.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,70.0,2592x1944,640x640,8.35217287802994,32.37717598704776,160.01002927653306,0.001270726959813,0.0,268.0,444.0,8.0,8.0,1087.0,1476.0,36.0,36.0,1701151546-0008-R-T_obj07,images/P_falciparum/mp_idb_P_falciparum_000669.jpg
18,images/mp_idb_P_falciparum_1704282807-0013-R_T_obj18.jpg,data/raw/mp_idb/Falciparum/img/1704282807-0013-R_T.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,70.0,2592x1944,640x640,7.959991362188991,20.22915628197229,137.40673463458313,0.0014263180790529,0.0,470.0,181.0,14.0,15.0,1906.0,413.0,57.0,61.0,1704282807-0013-R_T_obj18,images/P_falciparum/mp_idb_P_falciparum_000018.jpg
506,images/mp_idb_P_falciparum_1701151546-0011-R_T_obj01.jpg,data/raw/mp_idb/Falciparum/img/1701151546-0011-R_T.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,70.0,2592x1944,640x640,8.975934825370915,39.10061489368074,174.13542182657622,0.00121396795458,0.0204850394375857,269.0,481.0,10.0,9.0,1090.0,1627.0,42.0,39.0,1701151546-0011-R_T_obj01,images/P_falciparum/mp_idb_P_falciparum_000506.jpg
555,images/mp_idb_P_falciparum_1307210661-0004-R_obj04.jpg,data/raw/mp_idb/Falciparum/img/1307210661-0004-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,100.0,2592x1944,640x640,205.8011207752843,23.214544216324395,145.4164362568587,0.0006612622567698,0.0,492.0,459.0,16.0,14.0,1994.0,1535.0,66.0,58.0,1307210661-0004-R_obj04,images/P_falciparum/mp_idb_P_falciparum_000555.jpg
332,images/mp_idb_P_falciparum_1409191647-0005-R_obj01.jpg,data/raw/mp_idb/Falciparum/img/1409191647-0005-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,100.0,2592x1944,640x640,126.7552647016782,20.63638549803134,132.19435910747853,0.001144706091551,0.0,195.0,340.0,25.0,21.0,790.0,1057.0,104.0,89.0,1409191647-0005-R_obj01,images/P_falciparum/mp_idb_P_falciparum_000332.jpg
446,images/mp_idb_P_falciparum_1704282807-0001-R_obj06.jpg,data/raw/mp_idb/Falciparum/img/1704282807-0001-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,70.0,2592x1944,640x640,7.769038594856317,24.727047455004115,144.73540043279735,0.0011818177488187,0.0,300.0,207.0,18.0,17.0,1216.0,517.0,73.0,71.0,1704282807-0001-R_obj06,images/P_falciparum/mp_idb_P_falciparum_000446.jpg
453,images/mp_idb_P_falciparum_1405022890-0006-R_obj03.jpg,data/raw/mp_idb/Falciparum/img/1405022890-0006-R.jpg,mp_idb,infected,P_falciparum,0,P_falciparum,100.0,2592x1944,640x640,202.3293765284385,34.803544712687035,158.76345327344663,0.0006821003530965,1.7662767362698776e-05,125.0,470.0,19.0,18.0,508.0,1582.0,80.0,75.0,1405022890-0006-R_obj03,images/P_falciparum/mp_idb_P_falciparum_000453.jpg
