image_id,image_path,original_path,dataset,original_class,original_species,unified_class,unified_class_name,quality_score,original_size,processed_size,sharpness,contrast,brightness,dark_ratio,bright_ratio,unified_image_path
0,images/nih_cell_infected_C137P98ThinF_IMG_20151005_161659_cell_5.jpg,data/raw/nih_cell/cell_images/Parasitized/C137P98ThinF_IMG_20151005_161659_cell_5.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,133x136,640x640,2451.3681412977858,74.7129634373155,120.69830827067668,0.2749889429455993,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000000.jpg
1,images/nih_cell_infected_C186P147NThinF_IMG_20151203_150408_cell_179.jpg,data/raw/nih_cell/cell_images/Parasitized/C186P147NThinF_IMG_20151203_150408_cell_179.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,142x157,640x640,2139.087705451188,69.68361426733657,137.6076522831255,0.2013097694446936,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000001.jpg
2,images/nih_cell_infected_C129P90ThinF_IMG_20151004_133921_cell_122.jpg,data/raw/nih_cell/cell_images/Parasitized/C129P90ThinF_IMG_20151004_133921_cell_122.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,139x148,640x640,2157.391447766633,72.97386186833813,123.77192300213883,0.2553470736923974,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000002.jpg
3,images/nih_cell_infected_C132P93ThinF_IMG_20151004_152257_cell_149.jpg,data/raw/nih_cell/cell_images/Parasitized/C132P93ThinF_IMG_20151004_152257_cell_149.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,118x130,640x640,2158.8305490116254,66.94915383967937,114.97014341590612,0.2495436766623207,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000003.jpg
4,images/nih_cell_infected_C184P145ThinF_IMG_20151203_102405_cell_157.jpg,data/raw/nih_cell/cell_images/Parasitized/C184P145ThinF_IMG_20151203_102405_cell_157.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,157x145,640x640,2062.697029144841,68.20925067518318,115.23839226883372,0.249461893257193,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000004.jpg
5,images/nih_cell_infected_C164P125ThinF_IMG_20151116_114404_cell_180.jpg,data/raw/nih_cell/cell_images/Parasitized/C164P125ThinF_IMG_20151116_114404_cell_180.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,124x118,640x640,2122.8782932231197,65.05447232781843,105.93896938217604,0.2659240021869874,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000005.jpg
6,images/nih_cell_infected_C176P137NThinF_IMG_20151201_122811_cell_149.jpg,data/raw/nih_cell/cell_images/Parasitized/C176P137NThinF_IMG_20151201_122811_cell_149.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,178x163,640x640,1658.3274236870286,81.08031109855578,116.98221548218102,0.3227062797270283,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000006.jpg
7,images/nih_cell_infected_C132P93ThinF_IMG_20151004_152353_cell_175.jpg,data/raw/nih_cell/cell_images/Parasitized/C132P93ThinF_IMG_20151004_152353_cell_175.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x142,640x640,2562.410969451576,72.31064766303211,115.1234889652878,0.2786403460130864,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000007.jpg
8,images/nih_cell_infected_C68P29N_ThinF_IMG_20150819_134712_cell_68.jpg,data/raw/nih_cell/cell_images/Parasitized/C68P29N_ThinF_IMG_20150819_134712_cell_68.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,214x169,640x640,1802.859831650916,82.45077166364703,89.67574517502626,0.4557319028922192,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000008.jpg
9,images/nih_cell_infected_C118P79ThinF_IMG_20151002_110609_cell_15.jpg,data/raw/nih_cell/cell_images/Parasitized/C118P79ThinF_IMG_20151002_110609_cell_15.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x136,640x640,1907.819452285974,70.85622672818101,113.94808227344993,0.2752881558028617,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000009.jpg
10,images/nih_cell_infected_C99P60ThinF_IMG_20150918_141351_cell_132.jpg,data/raw/nih_cell/cell_images/Parasitized/C99P60ThinF_IMG_20150918_141351_cell_132.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,145x136,640x640,1990.6652054832564,70.42095630134654,120.37474645030426,0.2510141987829614,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000010.jpg
11,images/nih_cell_infected_C68P29N_ThinF_IMG_20150819_134326_cell_117.jpg,data/raw/nih_cell/cell_images/Parasitized/C68P29N_ThinF_IMG_20150819_134326_cell_117.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,178x151,640x640,2399.4034870399423,82.97306535417985,81.46681300692016,0.5049482848426222,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000011.jpg
12,images/nih_cell_infected_C184P145ThinF_IMG_20151203_102721_cell_1.jpg,data/raw/nih_cell/cell_images/Parasitized/C184P145ThinF_IMG_20151203_102721_cell_1.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,148x136,640x640,2203.0178621133173,76.47158255020418,117.40818759936408,0.2946641494435612,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000012.jpg
13,images/nih_cell_infected_C115P76ThinF_IMG_20150930_162038_cell_206.jpg,data/raw/nih_cell/cell_images/Parasitized/C115P76ThinF_IMG_20150930_162038_cell_206.png,nih_cell,infected,unknown,4,Mixed_infection,80.0,127x127,640x640,2620.244094023062,83.16590749301265,106.5748031496063,0.3777667555335111,0.0,images/Mixed_infection/nih_cell_Mixed_infection_000013.jpg
