Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.9365,0.9431,0.9064,0.806,0.9298,0.9331
Overall,balanced_accuracy,0.6731,0.6921,0.6977,0.6072,0.6569,0.6579
gametocyte,precision,1.0,1.0,1.0,1.0,1.0,1.0
gametocyte,recall,0.6,0.4,0.4,0.4,0.4,0.4
gametocyte,f1_score,0.75,0.5714,0.5714,0.5714,0.5714,0.5714
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0
ring,precision,0.9673,0.9673,0.9807,0.9702,0.9706,0.9707
ring,recall,0.9779,0.9779,0.9338,0.8382,0.9706,0.9743
ring,f1_score,0.9726,0.9726,0.9567,0.8994,0.9706,0.9725
ring,support,272.0,272.0,272.0,272.0,272.0,272.0
schizont,precision,1.0,1.0,0.75,0.5,0.75,0.6667
schizont,recall,0.7143,0.8571,0.8571,0.8571,0.8571,0.8571
schizont,f1_score,0.8333,0.9231,0.8,0.6316,0.8,0.75
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0
trophozoite,precision,0.375,0.5,0.3,0.1,0.3529,0.4
trophozoite,recall,0.4,0.5333,0.6,0.3333,0.4,0.4
trophozoite,f1_score,0.3871,0.5161,0.4,0.1538,0.375,0.4
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0
