Dataset,Model,Accuracy,Balanced_Accuracy,Accuracy_Pct,Bal_Acc_Pct,Parameters_M
Species,DenseNet121,0.9880,0.8773,98.80%,87.73%,7.98
Species,EfficientNet-B0,0.9840,0.8818,98.40%,88.18%,5.29
Species,EfficientNet-B1,0.9880,0.9318,98.80%,93.18%,7.79
Species,EfficientNet-B2,0.9840,0.8273,98.40%,82.73%,9.11
Species,ResNet50,0.9800,0.7500,98.00%,75.00%,25.56
Species,ResNet101,0.9840,0.8273,98.40%,82.73%,44.55
Stages,DenseNet121,0.9365,0.6731,93.65%,67.31%,7.98
Stages,EfficientNet-B0,0.9431,0.6921,94.31%,69.21%,5.29
Stages,EfficientNet-B1,0.9064,0.6977,90.64%,69.77%,7.79
Stages,EfficientNet-B2,0.8060,0.6072,80.60%,60.72%,9.11
Stages,ResNet50,0.9331,0.6579,93.31%,65.79%,25.56
Stages,ResNet101,0.9298,0.6569,92.98%,65.69%,44.55
