Dataset,Model,Epochs,Best Epoch,mAP@50,mAP@50-95,Precision,Recall
iml_lifecycle,YOLO10,100,23,0.9602,0.7734,0.8912,0.9287
iml_lifecycle,YOLO11,100,18,0.9661,0.7319,0.8617,0.9588
iml_lifecycle,YOLO12,100,47,0.9616,0.7801,0.8938,0.9278
md_2019_stages,YOLO10,100,26,0.9274,0.7055,0.8178,0.8947
md_2019_stages,YOLO11,100,54,0.9298,0.7726,0.8433,0.8709
md_2019_stages,YOLO12,100,64,0.9346,0.7754,0.8782,0.8421
mp_idb_species,YOLO10,100,67,0.9468,0.6151,0.9174,0.9125
mp_idb_species,YOLO11,100,86,0.9656,0.6374,0.9009,0.9529
mp_idb_species,YOLO12,100,84,0.9569,0.6274,0.9438,0.8956
mp_idb_stages,YOLO10,100,96,0.9186,0.5272,0.9022,0.8964
mp_idb_stages,YOLO11,100,67,0.9335,0.4778,0.8926,0.9086
mp_idb_stages,YOLO12,100,95,0.9562,0.5891,0.9216,0.9143
