Dataset,Model,Parameters (M),Accuracy (%),Balanced Accuracy (%),Best F1-score (Minority Class)
IML Lifecycle,DenseNet121,8.0,85.39,75.18,0.5714 (schizont)
IML Lifecycle,EfficientNet-B0,5.3,84.27,74.57,0.4444 (schizont)
IML Lifecycle,EfficientNet-B1,7.8,84.27,72.66,0.4000 (schizont)
IML Lifecycle,EfficientNet-B2,9.2,85.39,74.23,0.5000 (schizont)
IML Lifecycle,ResNet50,25.6,89.89,80.19,0.5000 (schizont)
IML Lifecycle,ResNet101,44.5,82.02,74.30,0.5000 (schizont)
MP-IDB Species,DenseNet121,8.0,98.80,87.73,0.6667 (P_ovale)
MP-IDB Species,EfficientNet-B0,5.3,98.40,88.18,0.6667 (P_ovale)
MP-IDB Species,EfficientNet-B1,7.8,98.80,93.18,0.7692 (P_ovale)
MP-IDB Species,EfficientNet-B2,9.2,98.40,82.73,0.5000 (P_ovale)
MP-IDB Species,ResNet50,25.6,98.00,75.00,0.0000 (P_ovale)
MP-IDB Species,ResNet101,44.5,98.40,82.73,0.5000 (P_ovale)
MP-IDB Stages,DenseNet121,8.0,94.98,73.97,0.6667 (gametocyte)
MP-IDB Stages,EfficientNet-B0,5.3,94.31,64.16,0.5714 (gametocyte)
MP-IDB Stages,EfficientNet-B1,7.8,93.98,67.54,0.4444 (gametocyte)
MP-IDB Stages,EfficientNet-B2,9.2,88.29,57.92,0.2500 (gametocyte)
MP-IDB Stages,ResNet50,25.6,94.65,64.25,0.5714 (gametocyte)
MP-IDB Stages,ResNet101,44.5,95.99,68.10,0.5714 (gametocyte)
