Dataset,Model,Loss,Epochs,Accuracy,Balanced_Accuracy,Training_Time_Hours
IML_Lifecycle,EfficientNet-B2,Focal,75,0.8764,0.7573,3.2
IML_Lifecycle,DenseNet121,Focal,75,0.8652,0.7646,3.5
IML_Lifecycle,EfficientNet-B0,Focal,75,0.8539,0.7490,2.8
IML_Lifecycle,EfficientNet-B1,Focal,75,0.8539,0.7490,3.0
IML_Lifecycle,ResNet50,Focal,75,0.8539,0.7557,3.3
IML_Lifecycle,ResNet101,Focal,75,0.7753,0.6702,4.1
MP-IDB_Species,DenseNet121,Focal,75,0.9880,0.8773,2.9
MP-IDB_Species,EfficientNet-B1,Focal,75,0.9880,0.9318,2.5
MP-IDB_Species,EfficientNet-B0,Focal,75,0.9840,0.8818,2.3
MP-IDB_Species,EfficientNet-B2,Focal,75,0.9840,0.8273,2.7
MP-IDB_Species,ResNet101,Focal,75,0.9840,0.8273,3.4
MP-IDB_Species,ResNet50,Focal,75,0.9800,0.7500,2.8
MP-IDB_Stages,EfficientNet-B0,Focal,75,0.9431,0.6921,2.3
MP-IDB_Stages,DenseNet121,Focal,75,0.9365,0.6731,2.9
MP-IDB_Stages,ResNet50,Focal,75,0.9331,0.6579,2.8
MP-IDB_Stages,ResNet101,Focal,75,0.9298,0.6569,3.4
MP-IDB_Stages,EfficientNet-B1,Focal,75,0.9064,0.6977,2.5
MP-IDB_Stages,EfficientNet-B2,Focal,75,0.8060,0.6072,2.7
