Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.8652,0.8539,0.8539,0.8764,0.7753,0.8539
Overall,balanced_accuracy,0.7646,0.749,0.749,0.7573,0.6702,0.7557
gametocyte,precision,0.9286,0.907,0.9286,0.9524,0.8511,0.9286
gametocyte,recall,0.9512,0.9512,0.9512,0.9756,0.9756,0.9512
gametocyte,f1_score,0.9398,0.9286,0.9398,0.9639,0.9091,0.9398
gametocyte,support,41.0,41.0,41.0,41.0,41.0,41.0
ring,precision,0.9231,0.9231,0.9231,0.8387,0.9474,0.9583
ring,recall,0.8571,0.8571,0.8571,0.9286,0.6429,0.8214
ring,f1_score,0.8889,0.8889,0.8889,0.8814,0.766,0.8846
ring,support,28.0,28.0,28.0,28.0,28.0,28.0
schizont,precision,0.6667,0.5,0.4,0.5,0.5,0.4
schizont,recall,0.5,0.5,0.5,0.5,0.5,0.5
schizont,f1_score,0.5714,0.5,0.4444,0.5,0.5,0.4444
schizont,support,4.0,4.0,4.0,4.0,4.0,4.0
trophozoite,precision,0.6667,0.6875,0.6875,0.8333,0.4737,0.6667
trophozoite,recall,0.75,0.6875,0.6875,0.625,0.5625,0.75
trophozoite,f1_score,0.7059,0.6875,0.6875,0.7143,0.5143,0.7059
trophozoite,support,16.0,16.0,16.0,16.0,16.0,16.0
