Class,Metric,DenseNet121,EfficientNet-B0,EfficientNet-B1,EfficientNet-B2,ResNet50,ResNet101
Overall,Accuracy,93.65%,94.31%,90.64%,80.60%,93.31%,92.98%
Overall,Balanced_Accuracy,67.31%,69.21%,69.77%,60.72%,65.79%,65.69%
gametocyte,Precision,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
gametocyte,Recall,60.00%,40.00%,40.00%,40.00%,40.00%,40.00%
gametocyte,F1-Score,75.00%,57.14%,57.14%,57.14%,57.14%,57.14%
gametocyte,Support,5,5,5,5,5,5
ring,Precision,96.73%,96.73%,98.07%,97.02%,97.07%,97.06%
ring,Recall,97.79%,97.79%,93.38%,83.82%,97.43%,97.06%
ring,F1-Score,97.26%,97.26%,95.67%,89.94%,97.25%,97.06%
ring,Support,272,272,272,272,272,272
schizont,Precision,100.00%,100.00%,75.00%,50.00%,66.67%,75.00%
schizont,Recall,71.43%,85.71%,85.71%,85.71%,85.71%,85.71%
schizont,F1-Score,83.33%,92.31%,80.00%,63.16%,75.00%,80.00%
schizont,Support,7,7,7,7,7,7
trophozoite,Precision,37.50%,50.00%,30.00%,10.00%,40.00%,35.29%
trophozoite,Recall,40.00%,53.33%,60.00%,33.33%,40.00%,40.00%
trophozoite,F1-Score,38.71%,51.61%,40.00%,15.38%,40.00%,37.50%
trophozoite,Support,15,15,15,15,15,15
