epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,15.3247,0.5844,0.89677,1,0.24097,0.000412773,0.000412773,0.000412773
2,28.8703,0.26659,0.93548,1,0.16352,0.000796593,0.000796593,0.000796593
3,42.1149,0.24885,0.91613,1,0.21481,0.00114741,0.00114741,0.00114741
4,55.1591,0.21623,0.94194,1,0.16048,0.0011015,0.0011015,0.0011015
5,68.5761,0.1996,0.96129,1,0.10643,0.001052,0.001052,0.001052
6,81.6956,0.19358,0.87097,1,0.32989,0.0010025,0.0010025,0.0010025
7,94.7889,0.18376,0.95484,1,0.0803,0.000953,0.000953,0.000953
8,107.868,0.18959,0.96774,1,0.07534,0.0009035,0.0009035,0.0009035
9,120.838,0.16146,0.93548,1,0.16406,0.000854,0.000854,0.000854
10,134.088,0.14957,0.96129,1,0.08874,0.0008045,0.0008045,0.0008045
11,147.331,0.15651,0.96129,1,0.09098,0.000755,0.000755,0.000755
12,160.473,0.1283,0.96129,1,0.1065,0.0007055,0.0007055,0.0007055
13,173.603,0.12581,0.97419,1,0.08109,0.000656,0.000656,0.000656
14,186.766,0.14379,0.96774,1,0.11954,0.0006065,0.0006065,0.0006065
15,200.182,0.13307,0.96774,1,0.09298,0.000557,0.000557,0.000557
16,213.345,0.10467,0.97419,1,0.07911,0.0005075,0.0005075,0.0005075
17,226.874,0.13441,0.96129,1,0.0928,0.000458,0.000458,0.000458
18,240.138,0.10668,0.96774,1,0.07105,0.0004085,0.0004085,0.0004085
19,253.476,0.10756,0.95484,1,0.09665,0.000359,0.000359,0.000359
20,266.962,0.09525,0.96774,1,0.08909,0.0003095,0.0003095,0.0003095
21,280.304,0.07438,0.96129,1,0.08304,0.00026,0.00026,0.00026
22,293.693,0.1019,0.95484,1,0.09448,0.0002105,0.0002105,0.0002105
23,307.146,0.1051,0.96774,1,0.06918,0.000161,0.000161,0.000161
