epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,27.1344,0,1,1,0,0.000663609,0.000663609,0.000663609
2,51.3703,0,1,1,0,0.0012776,0.0012776,0.0012776
3,73.0428,0,1,1,0,0.00183878,0.00183878,0.00183878
4,95.0393,0,1,1,0,0.0017624,0.0017624,0.0017624
5,117.916,0,1,1,0,0.0016832,0.0016832,0.0016832
6,139.193,0,1,1,0,0.001604,0.001604,0.001604
7,160.56,0,1,1,0,0.0015248,0.0015248,0.0015248
8,183.998,0,1,1,0,0.0014456,0.0014456,0.0014456
9,205.527,0,1,1,0,0.0013664,0.0013664,0.0013664
10,227.95,0,1,1,0,0.0012872,0.0012872,0.0012872
11,250.515,0,1,1,0,0.001208,0.001208,0.001208
