epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,409.352,1.68094,5.84937,4.12212,0,0,0,0,2.15871,0.46038,4.99999,0.0002125,0.0002125,0.0002125
2,850.654,1.46919,0.50589,3.16015,0,0,0,0,2.01666,0.05215,9.97088,0.000437069,0.000437069,0.000437069
3,1288.7,1.22428,0.8025,3.2594,0,0,0,0,1.334,0.57129,2.70056,0.000659891,0.000659891,0.000659891
4,1697.38,1.39275,0.52378,4.82348,0.00012,0.25,0.03179,0.0165,0.13358,2.83972,0.22006,0.000879648,0.000879648,0.000879648
5,2158.7,1.38214,0.51408,4.60742,0.00045,0.25,0.00496,0.00109,0.35782,2.1766,1.02408,0.00109504,0.00109504,0.00109504
6,2612.29,1.34782,0.58474,3.64756,0.00045,0.25,0.00379,0.001,0.58298,1.68175,1.76478,0.00121944,0.00121944,0.00121944
7,3027.34,1.36051,0.60041,3.39771,0.00045,0.25,0.01977,0.00429,0.16017,2.65449,0.3121,0.00120615,0.00120615,0.00120615
8,3478.58,1.38221,0.64218,3.42677,0.00045,0.25,0.00089,0.00062,0.26794,2.52073,0.53981,0.00119058,0.00119058,0.00119058
9,3935.43,1.30188,0.72293,2.98818,0.00045,0.25,0.01686,0.00689,0.44163,2.08337,1.43279,0.00117277,0.00117277,0.00117277
10,4354.44,1.28982,0.72336,2.74596,0.00045,0.25,0.00091,0.00035,0.50111,2.04083,1.62596,0.0011528,0.0011528,0.0011528
11,4805.61,1.35149,0.75053,3.90708,0.00045,0.25,0.00432,0.00137,0.33542,2.29127,1.0174,0.00113075,0.00113075,0.00113075
12,5265.82,1.34804,0.64952,3.40975,0.00182,0.37917,0.00176,0.00062,0.47292,2.17351,1.41094,0.00110671,0.00110671,0.00110671
13,5668.39,1.28556,0.79351,2.63798,0,0,0,0,1.28337,0.67112,4.6089,0.00108077,0.00108077,0.00108077
14,6123.48,1.36448,0.77454,2.83571,0.00032,0.3125,0.00297,0.0022,0.95166,1.30233,3.4137,0.00105304,0.00105304,0.00105304
15,6574.54,1.25223,0.79874,2.64316,4e-05,0.01667,3e-05,0,1.61309,0.24462,5.93451,0.00102362,0.00102362,0.00102362
16,6991.25,1.2779,0.69662,2.70025,0,0,0,0,1.57671,0.82225,5.71526,0.000992623,0.000992623,0.000992623
17,7467.68,1.18621,0.79237,2.39081,0,0,0,0,1.57177,0.79677,5.44782,0.000960182,0.000960182,0.000960182
