epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.5342,1.05331,3.16194,1.8846,0.00522,1,0.12086,0.03304,1.43998,4.1108,2.03241,0.0002125,0.0002125,0.0002125
2,101.566,0.37679,2.63112,1.15721,0.01501,1,0.41534,0.35832,0.50935,3.81259,0.86874,0.000428838,0.000428838,0.000428838
3,150.894,0.41782,2.26363,1.12888,0.008,1,0.67682,0.38164,1.08513,3.78104,1.77391,0.000636265,0.000636265,0.000636265
4,200.6,0.40173,1.98958,1.08891,0.73776,0.48237,0.77872,0.7117,0.46271,2.93645,0.75055,0.000834782,0.000834782,0.000834782
5,249.052,0.43906,1.7352,1.10073,0.4242,0.85024,0.86809,0.53162,0.81038,2.7697,1.07948,0.00102439,0.00102439,0.00102439
6,299.682,0.41862,1.51669,1.08367,0.82568,0.8554,0.87419,0.83194,0.34631,2.17457,0.57789,0.00112625,0.00112625,0.00112625
7,349.363,0.41786,1.43927,1.06549,0.88147,0.99672,0.995,0.88389,0.44894,2.07521,0.6287,0.0011015,0.0011015,0.0011015
8,398.985,0.33927,1.24326,1.03501,0.78098,0.67917,0.65671,0.61559,0.50498,2.39777,0.84614,0.00107675,0.00107675,0.00107675
9,448.227,0.3203,1.16544,1.03725,0.86339,0.82003,0.87714,0.78586,0.54166,1.94944,0.87047,0.001052,0.001052,0.001052
10,497.734,0.33313,1.18729,1.03388,0.91394,0.9,0.92711,0.85139,0.55245,1.99626,0.90574,0.00102725,0.00102725,0.00102725
11,545.82,0.35672,1.08687,1.04641,0.91441,0.96647,0.995,0.86505,0.69041,1.62737,1.23964,0.0010025,0.0010025,0.0010025
12,594.117,0.27469,1.11067,1.01157,0.84852,0.9288,0.97119,0.80471,0.5967,2.07937,1.0657,0.00097775,0.00097775,0.00097775
13,642.166,0.29329,0.97261,1.01434,0.8792,0.88184,0.9625,0.64784,0.81613,2.27343,1.0024,0.000953,0.000953,0.000953
14,693.519,0.26975,0.96186,1.00125,0.87112,0.98863,0.99207,0.89419,0.44153,1.27168,0.78102,0.00092825,0.00092825,0.00092825
15,744.948,0.2427,0.93815,0.9826,0.93165,0.89571,0.98563,0.92067,0.38026,1.2929,0.57401,0.0009035,0.0009035,0.0009035
16,798.488,0.22892,0.86466,0.95925,0.8351,0.95067,0.94525,0.92561,0.2912,1.24805,0.46783,0.00087875,0.00087875,0.00087875
17,847.188,0.23302,0.88442,0.97034,0.96142,0.91665,0.995,0.92135,0.4935,1.25414,0.77266,0.000854,0.000854,0.000854
18,895.781,0.21328,0.75796,0.93576,0.84571,0.89215,0.95218,0.89819,0.44796,1.3621,0.66859,0.00082925,0.00082925,0.00082925
19,944.006,0.20263,0.7546,0.955,0.75496,0.78895,0.85268,0.81926,0.36883,1.81337,0.60949,0.0008045,0.0008045,0.0008045
