epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.8962,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
2,80.2516,0.52562,2.51353,1.31836,0.00426,1,0.28377,0.25763,0.39505,3.58423,0.78069,0.000428838,0.000428838,0.000428838
3,119.361,0.42016,2.05593,1.14957,0.50125,0.575,0.49356,0.47822,0.26686,2.71389,0.44363,0.000636265,0.000636265,0.000636265
4,158.289,0.38126,1.83254,1.09171,0.51545,0.78982,0.77402,0.75306,0.321,2.34011,0.5187,0.000834782,0.000834782,0.000834782
5,197.431,0.35878,1.59555,1.05716,0.89065,0.75139,0.76976,0.74954,0.27527,2.19281,0.57369,0.00102439,0.00102439,0.00102439
6,236.679,0.33474,1.39041,1.04135,0.5498,0.8125,0.74806,0.68759,0.46363,3.8973,1.04348,0.00112625,0.00112625,0.00112625
7,275.306,0.30795,1.32878,0.99901,0.71774,0.8316,0.8837,0.76155,0.64997,3.21808,0.98764,0.0011015,0.0011015,0.0011015
8,314.343,0.29921,1.22428,1.01898,0.75768,0.92083,0.86666,0.81291,0.46745,4.29556,0.67772,0.00107675,0.00107675,0.00107675
9,353.127,0.28398,1.12581,1.01005,0.76681,0.66627,0.82556,0.76953,0.32429,2.2941,0.50774,0.001052,0.001052,0.001052
10,391.359,0.2608,1.18021,1.00431,0.79318,0.86552,0.96895,0.91446,0.29414,2.99715,0.47985,0.00102725,0.00102725,0.00102725
11,429.771,0.26024,1.05998,0.99723,0.77556,0.83696,0.93176,0.90845,0.27684,1.8976,0.47262,0.0010025,0.0010025,0.0010025
12,468.607,0.23799,1.12608,0.98548,0.74123,0.83079,0.9374,0.82794,0.32091,2.59458,0.49522,0.00097775,0.00097775,0.00097775
13,507.541,0.24479,0.98097,0.98004,0.94372,1,0.995,0.85012,0.46567,2.12986,0.65911,0.000953,0.000953,0.000953
14,545.623,0.25305,0.99541,0.98415,0.74441,0.9438,0.995,0.995,0.22948,1.62239,0.40043,0.00092825,0.00092825,0.00092825
15,583.67,0.24516,0.99734,0.97476,0.86608,0.78008,0.96215,0.90577,0.32694,2.27812,0.55975,0.0009035,0.0009035,0.0009035
16,622.026,0.23193,0.898,0.96093,0.98712,1,0.995,0.98251,0.23117,0.99832,0.39531,0.00087875,0.00087875,0.00087875
17,660.712,0.2233,0.8882,0.96123,0.95424,0.73967,0.98225,0.9682,0.25544,1.23441,0.42898,0.000854,0.000854,0.000854
18,698.99,0.19385,0.79346,0.92644,0.96362,0.95995,0.995,0.95501,0.27753,1.13161,0.41224,0.00082925,0.00082925,0.00082925
19,737.428,0.1909,0.76764,0.94514,0.86509,0.98009,0.99188,0.93083,0.28856,1.23528,0.43787,0.0008045,0.0008045,0.0008045
20,779.347,0.19033,0.77141,0.96037,0.96237,0.99034,0.995,0.995,0.28462,0.99116,0.44322,0.00077975,0.00077975,0.00077975
21,818.01,0.18193,0.78695,0.94861,0.93019,1,0.995,0.995,0.32088,1.10085,0.492,0.000755,0.000755,0.000755
22,856.937,0.18742,0.76653,0.94324,0.96068,0.95671,0.995,0.97013,0.2922,1.15647,0.50747,0.00073025,0.00073025,0.00073025
23,896.017,0.19219,0.73629,0.94252,0.93659,0.99217,0.995,0.95144,0.33076,0.97076,0.4978,0.0007055,0.0007055,0.0007055
24,935.147,0.19122,0.75677,0.95351,0.97933,1,0.995,0.95708,0.30756,0.97083,0.46721,0.00068075,0.00068075,0.00068075
