epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,905.058,0,1,1,0,0.000663551,0.000663551,0.000663551
2,1389.59,0,1,1,0,0.00119853,0.00119853,0.00119853
3,1841.94,0,1,1,0,0.0016015,0.0016015,0.0016015
4,2338.45,0,1,1,0,0.001406,0.001406,0.001406
5,2799.04,0,1,1,0,0.001208,0.001208,0.001208
6,3283.71,0,1,1,0,0.00101,0.00101,0.00101
7,3757.66,0,1,1,0,0.000812,0.000812,0.000812
8,4426.96,0,1,1,0,0.000614,0.000614,0.000614
9,5154.44,0,1,1,0,0.000416,0.000416,0.000416
10,5865.99,0,1,1,0,0.000218,0.000218,0.000218
