epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.73876,1.29848,0.46429,1,1.23925,0.0002125,0.0002125,0.0002125
2,3.35933,1.10274,0.53571,1,1.00886,0.000423062,0.000423062,0.000423062
3,4.97226,0.9954,0.64286,1,0.85571,0.000618775,0.000618775,0.000618775
4,6.61083,0.9061,0.82143,1,0.7104,0.000799638,0.000799638,0.000799638
5,8.23702,0.74729,0.89286,1,0.59515,0.00096565,0.00096565,0.00096565
6,9.82362,0.65764,0.82143,1,0.46214,0.00104375,0.00104375,0.00104375
7,11.3659,0.59861,0.89286,1,0.32981,0.0010025,0.0010025,0.0010025
8,12.9774,0.60425,0.92857,1,0.29091,0.00096125,0.00096125,0.00096125
9,14.5535,0.52972,0.89286,1,0.26602,0.00092,0.00092,0.00092
10,16.1604,0.49957,0.96429,1,0.2914,0.00087875,0.00087875,0.00087875
11,17.7873,0.48809,0.89286,1,0.27207,0.0008375,0.0008375,0.0008375
12,19.3137,0.3821,0.89286,1,0.27872,0.00079625,0.00079625,0.00079625
13,20.8836,0.41754,0.96429,1,0.2134,0.000755,0.000755,0.000755
14,22.4813,0.43689,0.96429,1,0.17257,0.00071375,0.00071375,0.00071375
15,24.0941,0.29111,0.96429,1,0.14793,0.0006725,0.0006725,0.0006725
16,25.7173,0.40009,0.96429,1,0.17151,0.00063125,0.00063125,0.00063125
17,27.3719,0.32681,0.96429,1,0.12723,0.00059,0.00059,0.00059
18,29.0709,0.38475,0.92857,1,0.1699,0.00054875,0.00054875,0.00054875
19,30.6517,0.29773,0.92857,1,0.17695,0.0005075,0.0005075,0.0005075
20,32.2376,0.41084,0.89286,1,0.23834,0.00046625,0.00046625,0.00046625
