epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,1.96199,1.51244,0.46429,1,1.15034,0.0002125,0.0002125,0.0002125
2,3.88215,1.05565,0.75,1,0.82096,0.000423062,0.000423062,0.000423062
3,5.68142,0.86532,0.82143,1,0.65396,0.000618775,0.000618775,0.000618775
4,7.46133,0.78885,0.82143,1,0.50862,0.000799638,0.000799638,0.000799638
5,9.17692,0.61589,0.75,1,0.54688,0.00096565,0.00096565,0.00096565
6,10.9225,0.63233,0.78571,1,0.4891,0.00104375,0.00104375,0.00104375
7,12.6161,0.52369,0.82143,1,0.4029,0.0010025,0.0010025,0.0010025
8,14.3643,0.54382,0.85714,1,0.33271,0.00096125,0.00096125,0.00096125
9,16.0613,0.51215,0.92857,1,0.2526,0.00092,0.00092,0.00092
10,17.8371,0.48861,0.89286,1,0.2373,0.00087875,0.00087875,0.00087875
11,19.5554,0.47496,0.92857,1,0.19383,0.0008375,0.0008375,0.0008375
12,21.2761,0.453,0.92857,1,0.17334,0.00079625,0.00079625,0.00079625
13,23.0157,0.59229,0.89286,1,0.1968,0.000755,0.000755,0.000755
14,24.769,0.4224,0.85714,1,0.35006,0.00071375,0.00071375,0.00071375
15,26.4921,0.399,0.82143,1,0.29872,0.0006725,0.0006725,0.0006725
16,28.2112,0.45148,0.85714,1,0.39671,0.00063125,0.00063125,0.00063125
17,29.914,0.34059,0.85714,1,0.34746,0.00059,0.00059,0.00059
18,31.6118,0.42033,0.85714,1,0.44003,0.00054875,0.00054875,0.00054875
19,33.3359,0.31514,0.85714,1,0.66835,0.0005075,0.0005075,0.0005075
