epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,9.14412,0,1,1,0,0.000653846,0.000653846,0.000653846
2,26.1576,0,1,1,0,0.00118978,0.00118978,0.00118978
3,45.3975,0,1,1,0,0.00159372,0.00159372,0.00159372
4,66.3983,0,1,1,0,0.001406,0.001406,0.001406
5,89.5864,0,1,1,0,0.001208,0.001208,0.001208
6,110.283,0,1,1,0,0.00101,0.00101,0.00101
7,129.846,0,1,1,0,0.000812,0.000812,0.000812
8,149.216,0,1,1,0,0.000614,0.000614,0.000614
9,166.452,0,1,1,0,0.000416,0.000416,0.000416
10,183.188,0,1,1,0,0.000218,0.000218,0.000218
