                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      1,                      1,                      0,             0.00023684,             0.00023684,             0.00023684
                      2,                      0,                      1,                      1,                      0,             0.00042784,             0.00042784,             0.00042784
                      3,                      0,                      1,                      1,                      0,              0.0005717,              0.0005717,              0.0005717
                      4,                      0,                      1,                      1,                      0,             0.00050194,             0.00050194,             0.00050194
                      5,                      0,                      1,                      1,                      0,             0.00043126,             0.00043126,             0.00043126
                      6,                      0,                      1,                      1,                      0,             0.00036057,             0.00036057,             0.00036057
                      7,                      0,                      1,                      1,                      0,             0.00028988,             0.00028988,             0.00028988
                      8,                      0,                      1,                      1,                      0,              0.0002192,              0.0002192,              0.0002192
                      9,                      0,                      1,                      1,                      0,             0.00014851,             0.00014851,             0.00014851
                     10,                      0,                      1,                      1,                      0,             7.7826e-05,             7.7826e-05,             7.7826e-05
