epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,463.701,1.32708,1.55024,0.42289,0.24003,0.46411,0.27812,0.14121,0.80571,0.89645,0.1185,0.000657534,0.000657534,0.000657534
1,1176.44,1.39574,1.30635,0.38007,0.39781,0.35885,0.39014,0.20226,0.74667,0.79643,0.11685,0.000648649,0.000648649,0.000648649
2,2040.65,0.84201,0.66353,0.12291,0.44595,0.46411,0.42435,0.16905,0.84637,0.53826,0.16677,0.00128927,0.00128927,0.00128927
3,3043.23,0.97339,0.61743,0.15763,0.57328,0.57416,0.51293,0.24217,0.80042,0.64119,0.17198,0.0019035,0.0019035,0.0019035
4,3926.42,1.12555,0.53745,0.15197,0.06443,0.02871,0.00995,0.00152,1.52528,0.23431,0.27116,0.0018812,0.0018812,0.0018812
5,4788.09,0.96177,0.75325,0.11243,0.24365,0.52153,0.27428,0.08149,0.69826,0.97582,0.12065,0.0018416,0.0018416,0.0018416
6,5449.87,0.7232,0.87041,0.08126,0.43382,0.51675,0.45257,0.22711,0.78654,0.78246,0.36042,0.001802,0.001802,0.001802
7,6102.02,0.75239,0.73575,0.08867,0.29555,0.48325,0.27833,0.12413,0.62298,0.84469,0.09181,0.0017624,0.0017624,0.0017624
8,6774.87,0.76941,0.72038,0.09703,0.35142,0.50035,0.34376,0.18782,0.68666,0.68197,0.13516,0.0017228,0.0017228,0.0017228
9,7486.86,0.74534,0.64098,0.08595,0.4313,0.50801,0.42543,0.18532,0.87955,0.53818,0.19616,0.0016832,0.0016832,0.0016832
10,8269.71,0.73099,0.61881,0.07755,0.55503,0.65054,0.61573,0.29441,0.58047,0.56736,0.08193,0.0016436,0.0016436,0.0016436
11,9016.37,0.68148,0.58817,0.07687,0.55579,0.66451,0.54059,0.26366,0.60335,0.56813,0.07758,0.001604,0.001604,0.001604
12,9515.89,0.75609,0.6159,0.08813,0.65229,0.67319,0.66069,0.32284,0.5884,0.57088,0.07198,0.0015644,0.0015644,0.0015644
13,10029,0.65833,0.62091,0.07204,0.78032,0.64583,0.77042,0.41614,0.49029,0.59031,0.05859,0.0015248,0.0015248,0.0015248
14,10566,0.65963,0.57727,0.06888,0.72994,0.83254,0.77165,0.41563,0.48221,0.58002,0.054,0.0014852,0.0014852,0.0014852
15,10969.9,0.61456,0.61877,0.07022,0.73463,0.67464,0.68413,0.36967,0.46443,0.6473,0.05375,0.0014456,0.0014456,0.0014456
16,11397.8,0.64627,0.58732,0.06487,0.77342,0.7799,0.76049,0.40281,0.5269,0.52455,0.06278,0.001406,0.001406,0.001406
17,11791.2,0.63703,0.61478,0.06869,0.49362,0.85167,0.5409,0.27846,0.49503,0.66365,0.05686,0.0013664,0.0013664,0.0013664
18,12182.9,0.64285,0.58383,0.06865,0.66217,0.8756,0.71692,0.37777,0.47324,0.5773,0.05396,0.0013268,0.0013268,0.0013268
19,12574.2,0.62715,0.53068,0.06261,0.72779,0.74163,0.76993,0.41072,0.49453,0.5627,0.05635,0.0012872,0.0012872,0.0012872
20,12963.5,0.58765,0.54782,0.06042,0.83685,0.83732,0.84102,0.47541,0.45751,0.49657,0.05082,0.0012476,0.0012476,0.0012476
21,13361.9,0.61006,0.53253,0.06497,0.72121,0.90431,0.77807,0.43368,0.45296,0.55326,0.05182,0.001208,0.001208,0.001208
22,13768.7,0.62657,0.56102,0.06462,0.69505,0.87081,0.79048,0.37543,0.52268,0.5511,0.062,0.0011684,0.0011684,0.0011684
23,14179.7,0.61891,0.55718,0.06171,0.67315,0.86603,0.75619,0.40459,0.47964,0.55775,0.05953,0.0011288,0.0011288,0.0011288
24,14587.2,0.66296,0.52576,0.07311,0.69474,0.87115,0.79765,0.40344,0.50172,0.53846,0.06654,0.0010892,0.0010892,0.0010892
25,14995.8,0.64906,0.52795,0.06237,0.76025,0.75861,0.74592,0.29692,0.6108,0.52402,0.07504,0.0010496,0.0010496,0.0010496
26,15433,0.62351,0.54016,0.05968,0.78513,0.88038,0.83626,0.45507,0.4593,0.4954,0.05247,0.00101,0.00101,0.00101
27,15862.9,0.58361,0.51591,0.06343,0.68669,0.89139,0.72736,0.40648,0.44995,0.60062,0.05805,0.0009704,0.0009704,0.0009704
28,16303.2,0.60392,0.53838,0.06824,0.77327,0.88517,0.86053,0.48095,0.43458,0.50832,0.04979,0.0009308,0.0009308,0.0009308
29,16706.1,0.5706,0.5408,0.05655,0.81737,0.77512,0.84526,0.45973,0.44868,0.5487,0.05204,0.0008912,0.0008912,0.0008912
30,17100.1,0.56611,0.49944,0.05358,0.80928,0.87303,0.88064,0.5049,0.41616,0.5543,0.04697,0.0008516,0.0008516,0.0008516
31,17504.3,0.5548,0.50323,0.05813,0.79891,0.88995,0.86515,0.51103,0.41457,0.55556,0.04718,0.000812,0.000812,0.000812
32,17912.3,0.54862,0.51397,0.05159,0.78911,0.84146,0.83645,0.48229,0.43811,0.5862,0.05141,0.0007724,0.0007724,0.0007724
33,18305.4,0.5329,0.5073,0.04773,0.80403,0.90301,0.88012,0.50817,0.42398,0.52112,0.04868,0.0007328,0.0007328,0.0007328
34,18699.4,0.54879,0.50032,0.0606,0.83134,0.8134,0.87274,0.51044,0.39726,0.52523,0.0452,0.0006932,0.0006932,0.0006932
35,19091.9,0.52264,0.50811,0.05037,0.82752,0.87233,0.88135,0.52588,0.39988,0.49749,0.04641,0.0006536,0.0006536,0.0006536
36,19483.4,0.53948,0.50673,0.0488,0.77779,0.93788,0.87918,0.51534,0.40141,0.49076,0.04626,0.000614,0.000614,0.000614
37,19856.6,0.54833,0.48907,0.05331,0.73655,0.93641,0.86248,0.51269,0.39801,0.47399,0.04558,0.0005744,0.0005744,0.0005744
38,20239.3,0.49999,0.48711,0.0484,0.77137,0.91866,0.8826,0.52946,0.40762,0.48457,0.04819,0.0005348,0.0005348,0.0005348
39,20620.5,0.52876,0.46427,0.04925,0.853,0.88995,0.92492,0.53197,0.42811,0.46397,0.05024,0.0004952,0.0004952,0.0004952
40,21001.6,0.50757,0.50338,0.05139,0.85798,0.8756,0.92241,0.54875,0.42553,0.48879,0.05118,0.0004556,0.0004556,0.0004556
41,21383.8,0.50063,0.50731,0.05491,0.83636,0.90483,0.91635,0.54478,0.41827,0.49432,0.05036,0.000416,0.000416,0.000416
42,21760.9,0.47684,0.47315,0.05174,0.81687,0.88995,0.90334,0.54066,0.43172,0.48019,0.05262,0.0003764,0.0003764,0.0003764
43,22137.1,0.48569,0.47613,0.05766,0.79205,0.92823,0.89043,0.51509,0.44097,0.50037,0.05327,0.0003368,0.0003368,0.0003368
44,22515.5,0.47931,0.48019,0.05771,0.78551,0.90909,0.89349,0.51867,0.4403,0.49748,0.05288,0.0002972,0.0002972,0.0002972
45,22906.7,0.47172,0.48526,0.0557,0.82371,0.91388,0.91269,0.53418,0.42341,0.4743,0.0503,0.0002576,0.0002576,0.0002576
46,23297.3,0.43593,0.46352,0.04892,0.83011,0.90909,0.90946,0.5344,0.42245,0.47438,0.05015,0.000218,0.000218,0.000218
47,23687.1,0.42224,0.45856,0.04854,0.84423,0.88168,0.90528,0.541,0.42276,0.46525,0.05053,0.0001784,0.0001784,0.0001784
48,24079.7,0.45434,0.45313,0.04761,0.82338,0.89224,0.90855,0.53666,0.42281,0.4517,0.05016,0.0001388,0.0001388,0.0001388
49,24469.8,0.46017,0.44548,0.04737,0.82193,0.92344,0.9081,0.53587,0.4264,0.44236,0.05087,9.92e-05,9.92e-05,9.92e-05
50,24868.9,0.43152,0.43641,0.04521,0.8412,0.91242,0.90647,0.53852,0.4205,0.44438,0.05025,5.96e-05,5.96e-05,5.96e-05
