epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,3576.09,1.08483,3.14507,0.37778,0.16402,0.51196,0.17365,0.0767,0.74639,0.94774,0.09942,0.000657534,0.000657534,0.000657534
2,6066.25,0.82968,0.65909,0.17639,0.57644,0.56938,0.53796,0.26538,0.7058,0.64859,0.11267,0.00119311,0.00119311,0.00119311
3,7602.18,0.8215,0.60833,0.14103,0.70324,0.689,0.68014,0.31514,0.60707,0.56554,0.07671,0.00159668,0.00159668,0.00159668
4,8541.92,0.76284,0.4921,0.12395,0.66067,0.66029,0.67673,0.33396,0.60805,0.53661,0.08165,0.001406,0.001406,0.001406
5,9015.5,0.67678,0.55592,0.09788,0.6668,0.70335,0.65487,0.29161,0.59646,0.62462,0.07359,0.001208,0.001208,0.001208
6,9477.28,0.64556,0.56444,0.09118,0.72683,0.70335,0.73191,0.35533,0.57117,0.4977,0.06703,0.00101,0.00101,0.00101
7,9938.26,0.57021,0.50492,0.06938,0.76369,0.71129,0.72489,0.33445,0.60438,0.46969,0.0719,0.000812,0.000812,0.000812
8,10396.3,0.53295,0.48589,0.06448,0.77852,0.84211,0.82361,0.40617,0.52125,0.48134,0.06209,0.000614,0.000614,0.000614
9,10850.3,0.53323,0.49059,0.06701,0.85384,0.83732,0.85634,0.43292,0.50881,0.48746,0.0594,0.000416,0.000416,0.000416
10,11333.9,0.55274,0.45518,0.0674,0.85333,0.82775,0.84863,0.43394,0.5047,0.47387,0.05813,0.000218,0.000218,0.000218
