epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,49.2698,2.30307,3.9007,1.17879,0.01602,0.71292,0.027,0.01033,1.93925,3.82405,0.9316,0.00036,0.00036,0.00036
1,250.579,2.30307,3.9007,1.17879,0.01602,0.71292,0.027,0.01033,1.93925,3.82405,0.9316,0.00036,0.00036,0.00036
2,515.367,1.93338,2.41757,0.985,0.01699,0.75598,0.02583,0.00781,1.84939,3.51567,0.94615,0.000725348,0.000725348,0.000725348
3,675.847,1.9081,2.00013,1.00103,0.01968,0.8756,0.02679,0.01147,1.91159,3.2025,0.98949,0.00107565,0.00107565,0.00107565
4,768.674,1.93548,1.97127,1.00039,0.01806,0.80383,0.02903,0.01429,1.77877,3.1672,0.94659,0.0014109,0.0014109,0.0014109
5,871.897,1.88097,1.78337,0.99541,0.64777,0.14354,0.44699,0.17338,1.98897,2.57605,1.03706,0.0017311,0.0017311,0.0017311
6,970.073,1.88323,2.03114,0.96085,0.51882,0.14354,0.28144,0.1038,2.14153,2.59723,1.10738,0.001802,0.001802,0.001802
7,1073.32,1.854,1.67124,0.99138,0.57185,0.68421,0.61789,0.27313,1.83092,1.76616,0.94759,0.0017624,0.0017624,0.0017624
8,1167,1.74797,1.67028,0.96953,0.74182,0.72727,0.78206,0.35429,1.78088,1.4729,0.94145,0.0017228,0.0017228,0.0017228
9,1275.05,1.76147,1.60431,0.98052,0.75071,0.79247,0.80856,0.39058,1.75144,1.33975,0.93774,0.0016832,0.0016832,0.0016832
10,1369.21,1.71324,1.47735,0.95445,0.79309,0.82527,0.84002,0.3884,1.68346,1.32493,0.91975,0.0016436,0.0016436,0.0016436
11,1468.33,1.75132,1.42431,0.95035,0.82371,0.88038,0.89594,0.46307,1.62202,1.20198,0.92375,0.001604,0.001604,0.001604
12,1568.3,1.72577,1.5033,0.97778,0.87275,0.8134,0.86562,0.42134,1.71654,1.23519,0.94063,0.0015644,0.0015644,0.0015644
13,1658.28,1.6356,1.37372,0.97189,0.75023,0.77606,0.78991,0.34875,1.71118,1.34293,0.92871,0.0015248,0.0015248,0.0015248
14,1754.24,1.69089,1.35956,0.94393,0.79271,0.80861,0.85151,0.42099,1.65525,1.30727,0.92113,0.0014852,0.0014852,0.0014852
15,1847.04,1.61107,1.42933,0.96094,0.77297,0.71292,0.77221,0.36029,1.71251,1.31189,0.92605,0.0014456,0.0014456,0.0014456
16,1935.23,1.63608,1.30159,0.93296,0.87645,0.77512,0.87939,0.44275,1.57461,1.23782,0.91101,0.001406,0.001406,0.001406
17,2030.88,1.69726,1.28405,0.97711,0.83292,0.82297,0.87569,0.40304,1.69528,1.19085,0.92067,0.0013664,0.0013664,0.0013664
18,2123.08,1.66445,1.27923,0.94503,0.86553,0.86231,0.9021,0.48332,1.58198,1.11749,0.90363,0.0013268,0.0013268,0.0013268
19,2215.44,1.55017,1.19732,0.92824,0.83012,0.81832,0.87453,0.43943,1.64542,1.12198,0.91045,0.0012872,0.0012872,0.0012872
20,2306.92,1.62256,1.14401,0.93474,0.88708,0.86454,0.92425,0.49779,1.55794,1.04224,0.89946,0.0012476,0.0012476,0.0012476
