epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,33.107,1.05237,3.16181,1.88437,0.00527,1,0.11011,0.02962,1.4897,4.11056,2.07279,0.0002125,0.0002125,0.0002125
2,64.8156,0.38444,2.63333,1.15943,0.01298,1,0.38045,0.28378,0.487,3.90473,0.93975,0.000426672,0.000426672,0.000426672
3,95.0692,0.3885,2.24151,1.09484,0.01063,1,0.68661,0.54304,0.40717,3.56151,0.72626,0.000629706,0.000629706,0.000629706
4,125.473,0.45229,1.96971,1.12593,0.73094,0.46667,0.90326,0.50081,1.16457,3.14322,1.44416,0.000821603,0.000821603,0.000821603
5,155.079,0.44191,1.73216,1.11521,0.48825,0.96497,0.92405,0.39232,1.45357,3.38351,1.95833,0.00100236,0.00100236,0.00100236
6,187.083,0.42338,1.49794,1.10579,0.74162,0.97817,0.93765,0.86556,0.43942,2.14424,0.69828,0.00109531,0.00109531,0.00109531
7,219.654,0.38523,1.40484,1.05028,0.85218,0.94514,0.95894,0.84438,0.47711,2.13077,0.66792,0.00106437,0.00106437,0.00106437
8,252.038,0.34898,1.22445,1.03608,0.88204,0.66391,0.90871,0.888,0.29431,2.18233,0.46779,0.00103344,0.00103344,0.00103344
9,283.784,0.33464,1.11844,1.03302,0.78704,0.77907,0.89586,0.76641,0.65193,2.38089,0.92158,0.0010025,0.0010025,0.0010025
10,315.598,0.31835,1.12714,1.03177,0.9148,0.6875,0.85771,0.72017,0.77264,2.21961,1.66926,0.000971562,0.000971562,0.000971562
11,347.31,0.32488,1.07875,1.0297,0.97244,1,0.995,0.85763,0.73445,1.6241,1.07862,0.000940625,0.000940625,0.000940625
12,379.629,0.29066,1.09327,1.01552,0.93892,0.90298,0.96824,0.90877,0.34552,1.45716,0.60344,0.000909688,0.000909688,0.000909688
13,411.079,0.27005,1.00178,1.00142,0.80001,0.9512,0.96407,0.76351,0.68909,1.88455,0.86675,0.00087875,0.00087875,0.00087875
14,444.433,0.25971,0.92672,0.98916,0.82489,0.95276,0.98479,0.90537,0.4954,1.42239,0.76962,0.000847813,0.000847813,0.000847813
15,476.783,0.25397,0.94468,0.98231,0.84123,0.89549,0.92219,0.8365,0.46001,1.70206,0.74577,0.000816875,0.000816875,0.000816875
16,508.743,0.23243,0.8875,0.96065,0.86719,0.92447,0.98156,0.95271,0.32291,1.21703,0.53512,0.000785938,0.000785938,0.000785938
17,539.69,0.22779,0.83386,0.96491,0.98326,1,0.995,0.95899,0.35897,0.97003,0.60128,0.000755,0.000755,0.000755
18,570.779,0.2077,0.78544,0.93312,0.94068,0.89619,0.96662,0.8991,0.37537,1.27139,0.74387,0.000724062,0.000724062,0.000724062
19,619.206,0.22043,0.80613,0.96161,0.8454,0.9493,0.95651,0.93236,0.2711,1.13115,0.45568,0.000693125,0.000693125,0.000693125
20,650.792,0.22729,0.78087,0.98858,0.93539,0.95908,0.995,0.92623,0.4162,0.96845,0.61627,0.000662188,0.000662188,0.000662188
21,682.63,0.21159,0.72069,0.95793,0.97982,1,0.995,0.96293,0.32159,1.01527,0.52046,0.00063125,0.00063125,0.00063125
22,713.478,0.20848,0.74544,0.9578,0.95732,0.9492,0.98354,0.84468,0.53147,1.22308,0.67192,0.000600313,0.000600313,0.000600313
23,743.748,0.19085,0.70691,0.94682,0.96795,0.95514,0.995,0.89713,0.43978,0.93542,0.63926,0.000569375,0.000569375,0.000569375
24,773.793,0.18333,0.66217,0.95356,0.98133,1,0.995,0.96645,0.31385,0.9151,0.56805,0.000538438,0.000538438,0.000538438
25,804.498,0.1848,0.65781,0.95202,0.98476,1,0.995,0.97599,0.28489,0.88633,0.45901,0.0005075,0.0005075,0.0005075
26,834.581,0.16611,0.6776,0.93704,0.93473,0.94346,0.98667,0.93434,0.30875,1.14193,0.47447,0.000476562,0.000476562,0.000476562
27,864.923,0.16593,0.63602,0.93751,0.97761,0.96236,0.995,0.95001,0.28304,0.99859,0.43143,0.000445625,0.000445625,0.000445625
28,896.923,0.15819,0.6011,0.9315,0.98677,0.98679,0.995,0.97217,0.22354,0.85799,0.37183,0.000414688,0.000414688,0.000414688
29,927.771,0.15339,0.62496,0.92623,0.98857,0.98889,0.995,0.995,0.21943,0.80025,0.36026,0.00038375,0.00038375,0.00038375
30,959.549,0.14111,0.5642,0.93513,0.94977,0.98405,0.995,0.99261,0.27454,0.9785,0.42072,0.000352812,0.000352812,0.000352812
31,990.048,0.16353,1.25299,0.99198,0.95147,0.96351,0.995,0.99306,0.25536,0.94078,0.41519,0.000321875,0.000321875,0.000321875
32,1020.95,0.14992,1.29876,0.99899,0.97744,0.97446,0.98833,0.93798,0.29886,1.12986,0.464,0.000290937,0.000290937,0.000290937
33,1051.65,0.14124,1.07095,0.97827,0.98464,1,0.995,0.93239,0.30009,1.04321,0.45606,0.00026,0.00026,0.00026
34,1081.75,0.11515,0.9275,0.95068,0.98969,1,0.995,0.96549,0.23046,0.88828,0.3896,0.000229063,0.000229063,0.000229063
