epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.1556,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
1,42.7888,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
1,41.6112,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
1,39.8609,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
2,77.8122,0.54316,2.62111,1.35404,0.00374,1,0.3137,0.20569,0.56357,3.59802,1.15072,0.000220937,0.000220937,0.000220937
1,40.1191,1.41028,3.17098,2.22985,0.00358,1,0.32018,0.17283,0.70897,3.92861,1.41206,0.0002125,0.0002125,0.0002125
2,80.5815,0.52769,2.55004,1.32654,0.00397,1,0.3878,0.32363,0.5031,3.57107,1.00281,0.000350875,0.000350875,0.000350875
3,118.678,0.43513,2.10602,1.17876,0.508,0.5427,0.43813,0.4166,0.30767,3.20775,0.57373,0.00040015,0.00040015,0.00040015
4,157.636,0.33407,1.91664,1.08262,0.55912,0.5375,0.69116,0.64265,0.37696,2.95207,0.76267,0.000360325,0.000360325,0.000360325
5,196.331,0.2986,1.73782,1.03385,0.66087,0.54689,0.75705,0.6895,0.47787,2.55111,0.91893,0.0002314,0.0002314,0.0002314
