epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.1922,2.33746,3.62332,1.1854,0.01258,0.55981,0.01925,0.00743,1.94874,3.69883,0.96431,0.00036,0.00036,0.00036
1,223.769,2.33746,3.62332,1.1854,0.01258,0.55981,0.01925,0.00743,1.94874,3.69883,0.96431,0.00036,0.00036,0.00036
2,450.1,1.99832,2.49434,1.01763,0.01839,0.81818,0.02993,0.01199,1.8585,3.37572,0.93574,0.000725348,0.000725348,0.000725348
3,644.877,1.86175,1.94111,0.98623,0.02032,0.90431,0.15133,0.06812,1.82236,3.01704,0.94111,0.00107565,0.00107565,0.00107565
4,755.055,1.91387,1.86348,0.98202,0.74718,0.04247,0.34356,0.15279,1.81364,2.86856,0.92668,0.0014109,0.0014109,0.0014109
5,854.521,1.81866,1.76561,0.97322,0.8122,0.20695,0.57391,0.21883,1.82193,2.5169,0.94031,0.0017311,0.0017311,0.0017311
6,959.784,1.84797,2.35941,0.96015,0.75433,0.64115,0.73515,0.32666,1.83184,1.68129,0.97249,0.001802,0.001802,0.001802
7,1067.52,1.83149,1.64639,0.99955,0.67313,0.61244,0.61501,0.22668,1.8686,1.65172,0.95669,0.0017624,0.0017624,0.0017624
8,1173.43,1.74995,1.66744,0.96394,0.74301,0.7055,0.80047,0.40357,1.70319,1.45147,0.93861,0.0017228,0.0017228,0.0017228
9,1274.63,1.89696,1.57306,1.00066,0.64664,0.60287,0.68019,0.28697,1.83856,1.6737,0.95116,0.0016832,0.0016832,0.0016832
10,1375.53,1.74057,1.43048,0.95364,0.81431,0.67943,0.79787,0.39578,1.62325,1.31576,0.90681,0.0016436,0.0016436,0.0016436
11,1479.91,1.69099,1.37922,0.93985,0.80607,0.71595,0.83967,0.43867,1.63612,1.31612,0.9218,0.001604,0.001604,0.001604
12,1572.39,1.66929,1.41354,0.96441,0.82047,0.83254,0.85873,0.44209,1.57446,1.17974,0.91287,0.0015644,0.0015644,0.0015644
13,1661.58,1.63268,1.30868,0.96544,0.72077,0.75598,0.75787,0.36465,1.66852,1.285,0.92196,0.0015248,0.0015248,0.0015248
14,1759.9,1.67871,1.25663,0.94393,0.77509,0.73206,0.78496,0.39334,1.6877,1.27935,0.91569,0.0014852,0.0014852,0.0014852
