epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.7382,0,59.3579,0,0,0,0,0,0,92.9795,0,0.00016,0.00016,0.00016
2,61.9302,0,56.4806,0,0,0,0,0,0,92.4778,0,0.00030634,0.00030634,0.00030634
3,93.2436,0,51.9768,0,0,0,0,0,0,91.5999,0,0.00041704,0.00041704,0.00041704
4,133.741,0,47.9941,0,0,0,0,0,0,89.8117,0,0.0004921,0.0004921,0.0004921
5,167.434,0,45.136,0,0,0,0,0,0,87.356,0,0.00053152,0.00053152,0.00053152
6,200.247,0,42.7552,0,0,0,0,0,0,83.5714,0,0.0005353,0.0005353,0.0005353
7,231.577,0,41.7525,0,0,0,0,0,0,79.2236,0,0.00050344,0.00050344,0.00050344
8,263.01,0,40.6967,0,0,0,0,0,0,74.2629,0,0.00043594,0.00043594,0.00043594
9,298.851,0,39.7604,0,0,0,0,0,0,69.3664,0,0.0003328,0.0003328,0.0003328
10,330.033,0,39.9425,0,0,0,0,0,0,66.3881,0,0.00019402,0.00019402,0.00019402
