epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.773,1.41107,3.171,2.22995,0.00359,1,0.28513,0.15283,0.72832,3.9259,1.41102,0.0002125,0.0002125,0.0002125
2,50.5714,0.52109,2.51409,1.31035,0.00413,1,0.33157,0.31348,0.36935,3.55185,0.73749,0.000426672,0.000426672,0.000426672
3,75.7732,0.42735,2.06225,1.15043,0.47582,0.67836,0.48109,0.45106,0.3226,2.78273,0.52129,0.000629706,0.000629706,0.000629706
4,100.84,0.38283,1.82674,1.08589,0.83072,0.8125,0.92165,0.9095,0.29396,2.16485,0.46427,0.000821603,0.000821603,0.000821603
5,125.714,0.37611,1.60554,1.08011,0.62248,0.8875,0.81853,0.79653,0.38467,2.42363,0.65703,0.00100236,0.00100236,0.00100236
6,151.128,0.33919,1.3934,1.03881,0.86405,0.7625,0.83513,0.75517,0.50656,2.20255,1.02385,0.00109531,0.00109531,0.00109531
7,176.055,0.32574,1.29569,1.01024,0.70435,0.79832,0.84008,0.7122,0.57249,3.62399,0.87364,0.00106437,0.00106437,0.00106437
8,200.773,0.29365,1.21719,1.02554,0.88212,0.87892,0.90579,0.78812,0.53331,2.45956,0.82307,0.00103344,0.00103344,0.00103344
9,225.647,0.28556,1.13599,1.01897,0.7038,0.8375,0.89856,0.81458,0.4287,3.05457,0.70315,0.0010025,0.0010025,0.0010025
10,250.382,0.25348,1.13776,1.00021,0.95987,0.95859,0.99406,0.93658,0.30115,2.21688,0.53901,0.000971562,0.000971562,0.000971562
11,274.867,0.24537,1.09529,0.9914,0.93066,0.8949,0.96773,0.90461,0.3321,1.9156,0.55583,0.000940625,0.000940625,0.000940625
12,299.597,0.22924,1.09379,0.98343,0.8052,0.78897,0.89424,0.76696,0.56143,2.2449,0.76787,0.000909688,0.000909688,0.000909688
13,324.209,0.23233,0.95784,0.97082,0.92788,0.77808,0.9577,0.78067,0.64337,2.6738,0.94506,0.00087875,0.00087875,0.00087875
14,348.868,0.23266,0.972,0.97835,0.85378,0.92209,0.995,0.98269,0.24517,1.26328,0.43672,0.000847813,0.000847813,0.000847813
15,373.443,0.21633,0.94706,0.96652,0.88468,0.92672,0.98464,0.92809,0.32505,1.72028,0.58783,0.000816875,0.000816875,0.000816875
16,398.211,0.19433,0.84555,0.94414,0.93798,0.92753,0.995,0.97636,0.26699,1.35406,0.49308,0.000785938,0.000785938,0.000785938
17,422.859,0.2038,0.86603,0.95234,0.95727,0.89036,0.9825,0.88992,0.36366,1.2329,0.59578,0.000755,0.000755,0.000755
18,447.525,0.18828,0.80345,0.92452,0.9572,1,0.995,0.93202,0.2847,1.02299,0.4455,0.000724062,0.000724062,0.000724062
19,472.238,0.17635,0.7575,0.94018,0.94627,0.91867,0.995,0.995,0.26427,1.12831,0.41326,0.000693125,0.000693125,0.000693125
20,496.876,0.1908,0.76989,0.96407,0.86305,0.94591,0.995,0.96926,0.28077,1.19155,0.42885,0.000662188,0.000662188,0.000662188
21,521.362,0.16698,0.76561,0.93846,0.91752,0.89897,0.99406,0.99406,0.29848,1.17232,0.52602,0.00063125,0.00063125,0.00063125
22,545.766,0.1587,0.76149,0.93601,0.8066,0.93799,0.995,0.987,0.26248,1.43878,0.417,0.000600313,0.000600313,0.000600313
23,570.188,0.14612,0.70337,0.92766,0.79698,0.98116,0.995,0.95653,0.3159,1.18215,0.45871,0.000569375,0.000569375,0.000569375
24,594.53,0.1465,0.70849,0.93809,0.94514,0.99154,0.995,0.9253,0.34203,0.98688,0.47961,0.000538438,0.000538438,0.000538438
25,618.667,0.15246,0.69909,0.93599,0.93688,1,0.995,0.98251,0.30551,0.98525,0.40879,0.0005075,0.0005075,0.0005075
26,643.735,0.1429,0.7096,0.9249,0.93528,0.99256,0.995,0.995,0.23509,0.88254,0.34279,0.000476562,0.000476562,0.000476562
27,668.157,0.14723,0.69601,0.92854,0.94484,0.91403,0.995,0.98876,0.26371,0.94922,0.38688,0.000445625,0.000445625,0.000445625
28,692.185,0.15239,0.68646,0.92782,0.904,0.94772,0.995,0.94937,0.29561,1.04718,0.43761,0.000414688,0.000414688,0.000414688
29,716.882,0.16161,0.7415,0.92384,0.94807,0.95323,0.995,0.97217,0.2567,1.02271,0.38722,0.00038375,0.00038375,0.00038375
