epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.9431,2.67181,3.40784,1.25011,0.01748,0.43478,0.02415,0.00789,2.14501,3.73531,0.99343,0.0005,0.0005,0.0005
2,109.913,2.28204,2.09981,1.02698,0.02657,0.66103,0.02456,0.00898,2.05896,3.47866,0.9887,0.00098634,0.00098634,0.00098634
3,165.827,2.18405,2.18414,1.03155,0.04669,0.86393,0.48299,0.2163,1.93248,2.6505,0.98235,0.00143836,0.00143836,0.00143836
4,222.31,2.15336,1.97269,1.01621,0.58987,0.65197,0.65491,0.27395,1.97231,1.84175,1.01089,0.001802,0.001802,0.001802
5,279.751,2.10204,1.8052,1.00131,0.56126,0.60145,0.60004,0.24932,1.95771,1.99398,0.98995,0.001736,0.001736,0.001736
6,324.767,2.12174,1.69915,0.98903,0.53284,0.68325,0.5595,0.22557,1.91135,1.80979,0.95945,0.00167,0.00167,0.00167
7,368.035,2.01644,1.66339,0.97204,0.6994,0.71014,0.71906,0.32403,1.9128,1.51045,1.00474,0.001604,0.001604,0.001604
8,410.137,1.92536,1.43004,0.9914,0.73823,0.74638,0.76895,0.35632,1.82787,1.46114,0.97958,0.001538,0.001538,0.001538
9,451.722,1.96448,1.46143,0.97579,0.74703,0.77034,0.76505,0.30264,1.86741,1.52415,0.97001,0.001472,0.001472,0.001472
10,492.788,1.88401,1.43273,0.95624,0.76093,0.76623,0.7759,0.33346,1.82126,1.48198,0.96241,0.001406,0.001406,0.001406
11,532.689,1.95864,1.47573,0.97029,0.77877,0.78824,0.79392,0.36575,1.7219,1.35888,0.94275,0.00134,0.00134,0.00134
12,574.42,1.85037,1.42831,0.97836,0.7872,0.8124,0.8116,0.39054,1.67754,1.31834,0.93651,0.001274,0.001274,0.001274
13,617.321,1.78149,1.28305,0.93862,0.80092,0.81643,0.82001,0.39648,1.64782,1.27594,0.92437,0.001208,0.001208,0.001208
14,660.12,1.71508,1.28879,0.9303,0.80809,0.81884,0.82782,0.42497,1.60912,1.22813,0.91981,0.001142,0.001142,0.001142
15,703.126,1.79923,1.32751,0.92922,0.80307,0.8274,0.8223,0.40678,1.61256,1.26499,0.91675,0.001076,0.001076,0.001076
16,746.552,1.76726,1.24827,0.93003,0.81767,0.81602,0.81846,0.3944,1.63774,1.24383,0.9189,0.00101,0.00101,0.00101
17,790.118,1.75215,1.26862,0.92114,0.77514,0.79937,0.80829,0.36251,1.68561,1.31566,0.92705,0.000944,0.000944,0.000944
18,833.613,1.77025,1.24797,0.9296,0.78828,0.80998,0.81542,0.38005,1.6526,1.27609,0.9245,0.000878,0.000878,0.000878
19,875.228,1.78947,1.28476,0.94936,0.82109,0.82689,0.84698,0.43708,1.55595,1.16289,0.90854,0.000812,0.000812,0.000812
20,919.664,1.65424,1.19777,0.90675,0.82674,0.85293,0.86475,0.46352,1.51445,1.12804,0.89666,0.000746,0.000746,0.000746
21,963.73,1.7051,1.45183,0.9593,0.81968,0.85507,0.86234,0.46287,1.52115,1.14124,0.89724,0.00068,0.00068,0.00068
22,1006.93,1.6996,1.31526,0.96013,0.82914,0.84397,0.85687,0.44999,1.57049,1.13298,0.9036,0.000614,0.000614,0.000614
23,1048.93,1.78202,1.38574,0.93672,0.80488,0.82609,0.83959,0.4381,1.57309,1.18054,0.90183,0.000548,0.000548,0.000548
24,1088.57,1.66235,1.2567,0.94399,0.78907,0.81324,0.82628,0.41388,1.59612,1.19597,0.90446,0.000482,0.000482,0.000482
25,1129.2,1.74147,1.30635,0.94467,0.80234,0.85105,0.84783,0.44851,1.56888,1.20535,0.90608,0.000416,0.000416,0.000416
26,1169.52,1.66321,1.29767,0.9371,0.81061,0.86151,0.85588,0.46496,1.54927,1.18143,0.90397,0.00035,0.00035,0.00035
