epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.0291,2.97068,4.11927,1.46048,0.00126,0.0314,0.00068,0.0003,2.8362,4.04228,1.56121,0.00012,0.00012,0.00012
1,40.3358,2.97068,4.11927,1.46048,0.00126,0.0314,0.00068,0.0003,2.8362,4.04228,1.56121,0.00012,0.00012,0.00012
2,77.3479,2.36082,2.79239,1.07508,0.02139,0.53221,0.02659,0.01048,1.97762,3.51953,0.9564,0.000254852,0.000254852,0.000254852
3,113.338,2.26598,2.10885,1.01776,0.02,0.49758,0.01866,0.00656,1.97237,3.38563,0.9368,0.00038416,0.00038416,0.00038416
4,150.568,2.09319,1.88883,0.99048,0.02453,0.61031,0.02339,0.00865,1.94302,3.21559,0.93977,0.000507924,0.000507924,0.000507924
5,186.998,2.05036,1.65868,0.97027,0.02663,0.66264,0.03048,0.0112,2.06024,3.12103,0.95295,0.000626144,0.000626144,0.000626144
6,222.247,1.99418,1.5102,0.97349,0.03097,0.77053,0.05011,0.01778,2.04221,3.121,0.94748,0.00073882,0.00073882,0.00073882
7,257.864,1.98934,1.47617,0.95322,0.03049,0.75845,0.29808,0.09231,1.87995,2.77911,0.94809,0.000845952,0.000845952,0.000845952
8,292.343,1.84732,1.32728,0.96009,0.03152,0.78422,0.17447,0.06304,1.90424,2.82563,0.92474,0.00094754,0.00094754,0.00094754
9,328.282,1.94874,1.33513,0.95534,0.0268,0.66667,0.10106,0.02911,2.11625,2.94796,0.95113,0.00104358,0.00104358,0.00104358
10,363.784,1.87274,1.34224,0.94481,0.02864,0.71256,0.21865,0.07009,1.91482,2.88796,0.92448,0.00113408,0.00113408,0.00113408
11,398.515,1.8446,1.30344,0.9243,0.73038,0.52979,0.57463,0.25119,1.72747,2.51362,0.90685,0.00121904,0.00121904,0.00121904
12,433.535,1.77312,1.22832,0.9491,0.88298,0.36453,0.71455,0.30366,1.68866,2.08907,0.91406,0.00129845,0.00129845,0.00129845
13,469.893,1.77324,1.19966,0.93318,0.85297,0.50912,0.73752,0.30291,1.78879,1.84342,0.94355,0.00137232,0.00137232,0.00137232
