epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,228.017,2.50236,9.05295,1.16141,0,0,0,0,1.81621,7.96691,0.935,0.000327957,0.000327957,0.000327957
2,437.187,2.17882,6.59372,1.01814,0.36164,0.08333,0.28342,0.17119,1.98926,6.59199,1.06919,0.000628556,0.000628556,0.000628556
3,644.294,2.09856,5.62058,1.01449,0.4927,0.20833,0.20865,0.14764,1.99497,5.57693,1.04457,0.000896156,0.000896156,0.000896156
4,847.244,2.1815,5.10738,1.02806,0.18701,0.59375,0.26065,0.14226,2.09005,5.07898,1.06074,0.0008515,0.0008515,0.0008515
5,1063.4,2.09208,4.38965,1.0143,0.61979,0.30208,0.28082,0.16807,1.94718,4.02346,1.01704,0.000802,0.000802,0.000802
6,1311.05,2.04899,4.03932,1.0165,0.19741,0.30658,0.1873,0.11074,1.91353,3.81873,1.01451,0.0007525,0.0007525,0.0007525
7,1579.7,2.04828,3.67488,0.99579,0.43742,0.42067,0.27177,0.14406,1.92225,3.61797,1.00275,0.000703,0.000703,0.000703
8,1852.49,1.89186,3.42653,0.97484,0.28155,0.52478,0.32819,0.19299,1.71695,3.22743,0.97009,0.0006535,0.0006535,0.0006535
9,2102.23,1.93966,3.16824,0.96846,0.20889,0.44075,0.3188,0.18363,1.77996,3.18491,0.97171,0.000604,0.000604,0.000604
10,2352.89,1.9225,3.04977,0.98221,0.65138,0.4242,0.37118,0.18938,1.92877,2.99398,1.0106,0.0005545,0.0005545,0.0005545
11,2608.34,1.80563,2.99766,0.99523,0.36552,0.44792,0.39428,0.21101,1.68902,2.83439,0.95179,0.000505,0.000505,0.000505
12,2855.83,1.81438,2.88487,0.99037,0.37425,0.22851,0.28711,0.14823,1.74686,2.98707,0.9645,0.0004555,0.0004555,0.0004555
13,3101.41,1.78004,2.88639,0.98932,0.18098,0.51568,0.23146,0.12011,1.72135,2.81595,0.95761,0.000406,0.000406,0.000406
14,3335.47,1.70347,2.77713,0.94917,0.32199,0.46679,0.39206,0.23479,1.67956,2.67934,0.951,0.0003565,0.0003565,0.0003565
15,3595.36,1.74521,2.72759,0.97182,0.60801,0.33692,0.41114,0.22311,1.76174,2.63704,0.964,0.000307,0.000307,0.000307
16,3830.23,1.72616,2.64667,0.96923,0.60293,0.27789,0.40919,0.24277,1.67604,2.62304,0.94152,0.0002575,0.0002575,0.0002575
17,4060.78,1.71068,2.61958,0.97382,0.36534,0.47401,0.39902,0.21406,1.75444,2.60382,0.95858,0.000208,0.000208,0.000208
18,4292.38,1.63985,2.56075,0.93885,0.5455,0.21065,0.293,0.17465,1.67829,2.55882,0.93993,0.0001585,0.0001585,0.0001585
19,4528.64,1.61571,2.54623,0.94976,0.79118,0.31217,0.43105,0.25233,1.63151,2.49119,0.93395,0.000109,0.000109,0.000109
20,4779.44,1.59071,2.55089,0.92802,0.33116,0.40576,0.40873,0.22618,1.65048,2.48771,0.9383,5.95e-05,5.95e-05,5.95e-05
