original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train/images/1707180816-0010-T.jpg,1707180816-0010-T_crop_000.jpg,train,0.6668267,1476,818,1614,930,1481,810,1609,938,multispecies,0
train/images/1401080976-0003-T.jpg,1401080976-0003-T_crop_000.jpg,train,0.9044567,1569,1157,1667,1273,1554,1151,1682,1279,multispecies,0
train/images/1401080976-0003-T.jpg,1401080976-0003-T_crop_001.jpg,train,0.62532747,568,595,647,673,543,570,671,698,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_000.jpg,train,0.86762035,1124,1775,1189,1839,1092,1743,1220,1871,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_001.jpg,train,0.8666931,46,1132,109,1193,13,1098,141,1226,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_002.jpg,train,0.84636843,2405,1621,2507,1707,2392,1600,2520,1728,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_003.jpg,train,0.8373599,2218,1341,2281,1419,2185,1316,2313,1444,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_004.jpg,train,0.8298147,1554,1643,1620,1716,1523,1615,1651,1743,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_005.jpg,train,0.82516384,2171,547,2230,600,2136,509,2264,637,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_006.jpg,train,0.80110824,2458,705,2520,766,2425,671,2553,799,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_007.jpg,train,0.7906165,1384,1001,1434,1052,1345,962,1473,1090,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_008.jpg,train,0.788475,1902,414,1965,472,1869,379,1997,507,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_009.jpg,train,0.78587824,1311,763,1424,864,1303,749,1431,877,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_010.jpg,train,0.7811462,2331,543,2408,608,2305,511,2433,639,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_011.jpg,train,0.77359235,2205,88,2271,163,2174,61,2302,189,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_012.jpg,train,0.7682257,2322,273,2389,348,2291,246,2419,374,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_013.jpg,train,0.7600314,755,1694,828,1760,727,1663,855,1791,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_014.jpg,train,0.7537131,1004,801,1068,858,972,765,1100,893,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_015.jpg,train,0.70840144,1369,401,1422,451,1331,362,1459,490,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_016.jpg,train,0.7046966,2335,1178,2400,1244,2303,1147,2431,1275,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_017.jpg,train,0.6736204,1470,742,1514,786,1428,700,1556,828,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_018.jpg,train,0.6486597,0,1389,53,1464,0,1362,90,1490,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_019.jpg,train,0.64273864,1742,325,1803,380,1708,288,1836,416,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_020.jpg,train,0.5538809,1898,1623,1959,1670,1864,1582,1992,1710,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_021.jpg,train,0.52176225,2050,0,2106,52,2014,0,2142,90,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_022.jpg,train,0.46574238,1877,1575,1928,1629,1838,1538,1966,1666,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_023.jpg,train,0.44441375,1128,1343,1176,1385,1088,1300,1216,1428,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_024.jpg,train,0.38431486,2403,700,2438,757,2356,664,2484,792,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_025.jpg,train,0.3516603,1899,653,1953,709,1862,617,1990,745,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_026.jpg,train,0.33736956,2256,724,2309,785,2218,690,2346,818,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_027.jpg,train,0.3308711,1956,240,1999,288,1913,200,2041,328,multispecies,0
train/images/1704282807-0013-R_T.jpg,1704282807-0013-R_T_crop_028.jpg,train,0.32916602,2331,1501,2367,1542,2285,1457,2413,1585,multispecies,0
train/images/1704282807-0003-R.jpg,1704282807-0003-R_crop_000.jpg,train,0.85064584,1267,1356,1333,1437,1236,1332,1364,1460,multispecies,0
