epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.03648,2.31263,3.73835,1.3615,0.55841,0.4385,0.4432,0.13443,2.04832,1.81318,1.07291,0.08209,9e-05,9e-05
2,13.9737,1.96947,1.57605,1.10313,0.49088,0.46524,0.48728,0.17026,2.30568,1.77965,1.18866,0.0631804,0.000180421,0.000180421
3,20.708,1.83518,1.40517,1.0479,0.61889,0.64171,0.66662,0.35173,1.60161,1.17026,0.97929,0.0442661,0.00026614,0.00026614
4,27.4129,1.74769,1.31871,1.03601,0.73148,0.81016,0.7733,0.34386,1.68975,1.1295,1.0044,0.0253472,0.000347156,0.000347156
5,34.2361,1.6668,1.11689,1.0087,0.74061,0.71925,0.74148,0.34532,1.70289,1.01581,1.03745,0.00642347,0.00042347,0.00042347
6,40.9616,1.63059,1.05245,1.00838,0.78382,0.76588,0.79175,0.33278,1.86083,1.28826,1.0718,0.000438125,0.000438125,0.000438125
7,47.8166,1.6574,1.12512,1.00107,0.61675,0.66845,0.58502,0.25306,1.90674,1.50599,1.089,0.00042575,0.00042575,0.00042575
8,54.45,1.63607,1.18848,1.02651,0.69526,0.75031,0.70982,0.31651,1.78321,1.019,1.0412,0.000413375,0.000413375,0.000413375
9,61.1345,1.52781,1.0222,0.99347,0.80142,0.82086,0.82323,0.38846,1.67334,1.26765,1.05319,0.000401,0.000401,0.000401
10,68.0078,1.53903,0.98766,0.9846,0.84579,0.84759,0.8602,0.42773,1.62212,0.91825,1.05122,0.000388625,0.000388625,0.000388625
11,74.7723,1.53911,0.93647,0.94558,0.84367,0.86579,0.85829,0.40434,1.82278,0.98117,1.11622,0.00037625,0.00037625,0.00037625
12,81.4995,1.4253,0.87389,0.95018,0.79403,0.83155,0.83888,0.37623,1.84641,1.07355,1.06471,0.000363875,0.000363875,0.000363875
13,88.297,1.47269,0.89058,0.95033,0.80422,0.86364,0.84764,0.39381,1.76902,1.2356,1.03687,0.0003515,0.0003515,0.0003515
14,95.0302,1.41499,0.90579,0.94866,0.808,0.88503,0.86611,0.45985,1.57015,0.90164,0.97498,0.000339125,0.000339125,0.000339125
15,101.886,1.51025,0.91977,0.97417,0.83047,0.79898,0.84316,0.39309,1.8551,0.98048,1.08561,0.00032675,0.00032675,0.00032675
16,108.526,1.53352,0.88905,0.98295,0.90439,0.85027,0.88012,0.43445,1.76714,0.869,1.06486,0.000314375,0.000314375,0.000314375
17,115.211,1.50471,0.89186,0.95799,0.77601,0.87077,0.81827,0.366,1.82998,1.06162,1.05621,0.000302,0.000302,0.000302
18,121.925,1.41397,0.81593,0.93368,0.84181,0.86364,0.87841,0.39888,1.83616,0.91405,1.04711,0.000289625,0.000289625,0.000289625
19,128.503,1.45779,0.83733,0.95349,0.83605,0.83422,0.87919,0.44698,1.64835,0.85913,1.0059,0.00027725,0.00027725,0.00027725
20,135.17,1.47181,0.86998,0.94985,0.84013,0.85294,0.87736,0.48752,1.61322,0.90507,1.01531,0.000264875,0.000264875,0.000264875
21,142.001,1.41421,0.83706,0.93975,0.81095,0.84875,0.86792,0.44246,1.65261,0.92612,1.00461,0.0002525,0.0002525,0.0002525
22,148.762,1.44795,0.88835,0.92121,0.8243,0.87968,0.87858,0.41857,1.73026,0.99404,1.0266,0.000240125,0.000240125,0.000240125
23,155.476,1.35629,0.77417,0.94322,0.88747,0.85294,0.8989,0.4806,1.70152,0.89775,1.04314,0.00022775,0.00022775,0.00022775
24,162.451,1.37773,0.7781,0.9179,0.88894,0.85027,0.89589,0.41577,1.93902,1.05811,1.12001,0.000215375,0.000215375,0.000215375
25,169.174,1.30307,0.75461,0.91743,0.87668,0.87438,0.9039,0.40592,1.89723,0.94514,1.07138,0.000203,0.000203,0.000203
26,175.954,1.36949,0.74662,0.91537,0.87183,0.90107,0.91196,0.46534,1.77152,0.86297,1.03774,0.000190625,0.000190625,0.000190625
27,182.621,1.34648,0.74226,0.89908,0.86656,0.8877,0.90597,0.50905,1.61308,0.85139,1.00177,0.00017825,0.00017825,0.00017825
28,189.415,1.39685,0.75974,0.93108,0.86155,0.87968,0.89645,0.46024,1.70698,0.83991,1.02134,0.000165875,0.000165875,0.000165875
29,196.172,1.27788,0.79081,0.94413,0.87253,0.8877,0.90576,0.486,1.63441,0.78779,0.99258,0.0001535,0.0001535,0.0001535
30,202.849,1.36559,0.78077,0.92053,0.88682,0.90107,0.911,0.50064,1.60209,0.81481,0.98712,0.000141125,0.000141125,0.000141125
31,214.926,1.27701,0.74998,0.89755,0.86405,0.87968,0.88545,0.45855,1.7287,0.88114,1.04,0.00012875,0.00012875,0.00012875
32,221.635,1.24454,0.71604,0.87704,0.8665,0.8877,0.88629,0.44278,1.79203,0.84819,1.05482,0.000116375,0.000116375,0.000116375
33,228.306,1.29247,0.73175,0.90553,0.86396,0.87433,0.89651,0.45937,1.74018,0.82209,1.02154,0.000104,0.000104,0.000104
34,235.247,1.28462,0.72554,0.89635,0.87729,0.88503,0.90258,0.45992,1.7097,0.87375,1.00537,9.1625e-05,9.1625e-05,9.1625e-05
35,242.097,1.26216,0.72887,0.90247,0.88602,0.89372,0.90598,0.47008,1.67984,0.85652,0.99695,7.925e-05,7.925e-05,7.925e-05
36,248.878,1.2097,0.68515,0.905,0.89356,0.89305,0.90712,0.47895,1.6619,0.78722,0.99143,6.6875e-05,6.6875e-05,6.6875e-05
37,255.535,1.22961,0.68988,0.89482,0.88305,0.88834,0.91004,0.49851,1.59923,0.75241,0.97886,5.45e-05,5.45e-05,5.45e-05
38,262.128,1.27408,0.69185,0.92604,0.8835,0.89572,0.90961,0.50753,1.57241,0.75252,0.97395,4.2125e-05,4.2125e-05,4.2125e-05
39,268.908,1.24698,0.67958,0.90082,0.87758,0.89572,0.90612,0.50526,1.59803,0.78188,0.98177,2.975e-05,2.975e-05,2.975e-05
40,275.691,1.24148,0.68895,0.902,0.88799,0.8984,0.90598,0.49793,1.61896,0.79925,0.98794,1.7375e-05,1.7375e-05,1.7375e-05
