epoch,train_loss,train_acc,val_loss,val_acc
1,0.386306,90.35,0.308927,95.68
2,0.405532,89.89,0.325707,93.18
3,0.410638,90.26,0.259677,93.86
4,0.474874,89.80,0.444664,95.91
5,0.514288,89.98,0.716433,89.09
6,0.468411,89.34,0.324561,95.91
7,0.453265,89.61,8.262579,95.91
8,0.430645,90.35,1.734811,95.91
9,0.427327,90.26,0.289252,92.73
10,0.397869,90.35,0.199076,95.91
11,0.384329,89.98,0.521561,95.91
12,0.387009,90.35,0.441615,95.91
13,0.386403,90.44,2.556683,95.91
14,0.377855,90.26,0.484765,95.91
15,0.365697,90.26,0.383836,95.91
16,0.362079,90.17,0.412981,96.36
17,0.367948,90.17,0.393172,95.91
18,0.352346,90.44,0.487408,95.68
19,0.352823,90.53,0.641109,95.91
20,0.350674,90.72,0.375477,95.91
21,0.331164,90.81,0.349647,96.14
22,0.348976,90.62,1.498956,95.91
23,0.351019,90.17,0.734062,96.36
24,0.339618,90.53,0.558660,96.14
25,0.334477,90.90,1.030083,95.68
26,0.318959,90.81,0.769928,95.00
27,0.331027,90.44,0.838816,95.23
28,0.309643,90.44,0.892923,95.23
29,0.319261,90.99,1.156082,95.23
30,0.303736,91.73,1.323949,95.23
