Model,IoU_Threshold,mAP50,mAP50_95,Precision,Recall
yolov10_convnext_tiny_0 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_convnext_tiny_1 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_convnext_tiny_2 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_densenet121_3 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_densenet121_4 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_densenet121_5 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b1_6 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b1_7 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b1_8 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b2_9 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b2_10 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_efficientnet_b2_11 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_mobilenet_v3_large_12 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_mobilenet_v3_large_13 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_mobilenet_v3_large_14 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_resnet101_15 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_resnet101_16 (Training),0.5,0.9,0.5,0.9,0.9
yolov10_resnet101_17 (Training),0.5,0.9,0.5,0.9,0.9
yolov11_convnext_tiny_0 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_convnext_tiny_1 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_convnext_tiny_2 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_densenet121_3 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_densenet121_4 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_densenet121_5 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b1_6 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b1_7 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b1_8 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b2_9 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b2_10 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_efficientnet_b2_11 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_mobilenet_v3_large_12 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_mobilenet_v3_large_13 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_mobilenet_v3_large_14 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_resnet101_15 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_resnet101_16 (Training),0.5,0.9,0.6,0.9,0.9
yolov11_resnet101_17 (Training),0.5,0.9,0.6,0.9,0.9
yolov12_convnext_tiny_0 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_convnext_tiny_1 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_convnext_tiny_2 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_densenet121_3 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_densenet121_4 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_densenet121_5 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b1_6 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b1_7 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b1_8 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b2_9 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b2_10 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_efficientnet_b2_11 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_mobilenet_v3_large_12 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_mobilenet_v3_large_13 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_mobilenet_v3_large_14 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_resnet101_15 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_resnet101_16 (Training),0.5,0.9,0.5,0.9,0.9
yolov12_resnet101_17 (Training),0.5,0.9,0.5,0.9,0.9
