epoch,train_loss,train_acc,val_loss,val_acc
1,0.997460,65.82,0.505960,94.82
2,0.322115,91.80,0.327271,95.46
3,0.277236,91.80,0.239813,95.90
4,0.231080,93.46,0.294792,96.11
5,0.337303,91.21,2.843157,95.68
6,0.365383,91.11,4.094351,95.68
7,0.446207,87.89,87.108957,95.68
8,0.297177,91.31,27.651207,95.46
9,0.278950,91.60,2.541059,94.82
10,0.314819,91.50,0.508269,90.28
11,0.277454,91.02,0.252939,95.68
12,0.237197,92.19,0.331757,92.66
13,0.234681,92.19,0.206012,95.03
14,0.219079,92.97,0.182139,94.17
15,0.200252,93.36,0.266884,91.79
16,0.176412,93.36,0.184507,95.03
17,0.178358,93.75,0.315094,90.28
18,0.177447,93.36,0.237008,93.30
19,0.163490,94.92,0.206953,93.74
20,0.135663,95.80,0.236491,95.90
21,0.156720,94.73,0.167525,96.11
22,0.139387,94.24,0.204976,95.03
23,0.143068,94.73,0.193019,95.68
24,0.116235,95.90,0.201151,94.17
25,0.106290,96.29,0.200250,94.38
26,0.112730,95.70,0.208077,95.03
27,0.089496,96.58,0.217966,94.38
28,0.091642,96.29,0.215863,95.03
29,0.104007,96.58,0.218909,94.82
30,0.089829,97.17,0.218377,95.03
