original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train\images\1305121398-0014-S.jpg,1305121398-0014-S_crop_000.jpg,train,0.45590132,1092,1070,1203,1153,1083,1047,1211,1175,multispecies,3
train\images\1305121398-0014-S.jpg,1305121398-0014-S_crop_001.jpg,train,0.32931694,1090,1050,1208,1165,1085,1043,1213,1171,multispecies,3
train\images\1305121398-0015-S.jpg,1305121398-0015-S_crop_000.jpg,train,0.72248685,849,1085,973,1200,847,1078,975,1206,multispecies,3
train\images\1305121398-0022-S.jpg,1305121398-0022-S_crop_000.jpg,train,0.4974292,1150,643,1209,724,1115,619,1243,747,multispecies,3
train\images\1305121398-0022-S.jpg,1305121398-0022-S_crop_001.jpg,train,0.48771897,1247,611,1330,750,1224,616,1352,744,multispecies,3
train\images\1305121398-0022-S.jpg,1305121398-0022-S_crop_002.jpg,train,0.48208264,1230,616,1331,775,1216,631,1344,759,multispecies,3
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_000.jpg,train,0.91518533,917,574,971,622,880,534,1008,662,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_001.jpg,train,0.89041996,1363,743,1443,796,1339,705,1467,833,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_002.jpg,train,0.8881999,1738,982,1786,1035,1698,944,1826,1072,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_003.jpg,train,0.8308206,868,763,938,827,839,731,967,859,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_004.jpg,train,0.8281935,1223,1821,1288,1875,1191,1784,1319,1912,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_005.jpg,train,0.8139777,477,1533,533,1573,441,1489,569,1617,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_006.jpg,train,0.80253804,318,1382,367,1422,278,1338,406,1466,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_007.jpg,train,0.7934263,1022,1386,1087,1438,990,1348,1118,1476,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_008.jpg,train,0.73038435,905,570,984,629,880,535,1008,663,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_009.jpg,train,0.73009974,383,1737,453,1802,354,1705,482,1833,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_010.jpg,train,0.7297592,751,1236,809,1298,716,1203,844,1331,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_011.jpg,train,0.71749824,1111,1078,1173,1139,1078,1044,1206,1172,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_012.jpg,train,0.7163143,1272,1183,1338,1255,1241,1155,1369,1283,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_013.jpg,train,0.6817603,247,1908,295,1943,207,1861,335,1944,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_014.jpg,train,0.6709789,2122,621,2173,678,2083,585,2211,713,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_015.jpg,train,0.66909057,1873,1442,1937,1511,1841,1412,1969,1540,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_016.jpg,train,0.63344306,1034,1215,1094,1284,1000,1185,1128,1313,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_017.jpg,train,0.6298253,312,1477,388,1546,286,1447,414,1575,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_018.jpg,train,0.6156765,480,1164,553,1222,452,1129,580,1257,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_019.jpg,train,0.61109805,2074,1483,2141,1522,2043,1438,2171,1566,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_020.jpg,train,0.5955302,807,1494,859,1554,769,1460,897,1588,multispecies,0
train\images\1307210661-0001-R.jpg,1307210661-0001-R_crop_021.jpg,train,0.4782261,1366,738,1452,814,1345,712,1473,840,multispecies,0
