original_image,crop_filename,split,confidence,bbox_x1,bbox_y1,bbox_x2,bbox_y2,crop_x1,crop_y1,crop_x2,crop_y2,dataset_source,ground_truth_class
train\images\1305121398-0015-S.jpg,1305121398-0015-S_crop_000.jpg,train,0.30106327,1308,1798,2585,1943,1882,1806,2010,1934,multispecies,3
train\images\1401080976-0001-T.jpg,1401080976-0001-T_crop_000.jpg,train,0.2677085,4,13,2580,1930,1228,907,1356,1035,multispecies,1
train\images\1401080976-0005-T.jpg,1401080976-0005-T_crop_000.jpg,train,0.27079526,7,34,2579,1919,1229,912,1357,1040,multispecies,1
train\images\1401080976-0006-T.jpg,1401080976-0006-T_crop_000.jpg,train,0.47489634,9,16,2576,1939,1228,913,1356,1041,multispecies,1
train\images\1401080976-0007-T.jpg,1401080976-0007-T_crop_000.jpg,train,0.25018898,5,24,2577,1931,1227,913,1355,1041,multispecies,1
train\images\1409171742-0003-R.jpg,1409171742-0003-R_crop_000.jpg,train,0.25350332,10,14,2575,1928,1228,907,1356,1035,multispecies,0
train\images\1409171742-0005-R.jpg,1409171742-0005-R_crop_000.jpg,train,0.31752595,12,18,2583,1937,1233,913,1361,1041,multispecies,0
train\images\1409171742-0007-R.jpg,1409171742-0007-R_crop_000.jpg,train,0.35663357,9,3,2585,1924,1233,899,1361,1027,multispecies,0
train\images\1603223711-0005-G.jpg,1603223711-0005-G_crop_000.jpg,train,0.31298876,324,1827,2592,1943,1394,1821,1522,1944,multispecies,2
train\images\1701151546-0001-R_T_S.jpg,1701151546-0001-R_T_S_crop_000.jpg,train,0.37741143,3,0,2588,1940,1231,906,1359,1034,multispecies,0
train\images\1701151546-0002-R.jpg,1701151546-0002-R_crop_000.jpg,train,0.4073377,10,2,2587,1931,1234,902,1362,1030,multispecies,0
train\images\1701151546-0003-R.jpg,1701151546-0003-R_crop_000.jpg,train,0.50318116,1,3,2589,1937,1231,906,1359,1034,multispecies,0
train\images\1701151546-0006-R_T.jpg,1701151546-0006-R_T_crop_000.jpg,train,0.3373376,11,2,2587,1907,1235,890,1363,1018,multispecies,0
train\images\1701151546-0008-R-T.jpg,1701151546-0008-R-T_crop_000.jpg,train,0.35287085,12,3,2584,1901,1234,888,1362,1016,multispecies,1
train\images\1701151546-0010-R.jpg,1701151546-0010-R_crop_000.jpg,train,0.29571173,9,2,2588,1935,1234,904,1362,1032,multispecies,0
train\images\1701151546-0011-R_T.jpg,1701151546-0011-R_T_crop_000.jpg,train,0.34181255,1,4,2586,1922,1229,899,1357,1027,multispecies,0
train\images\1703121298-0002-S.jpg,1703121298-0002-S_crop_000.jpg,train,0.30968305,7,3,2580,1921,1229,898,1357,1026,multispecies,3
train\images\1703121298-0003-R.jpg,1703121298-0003-R_crop_000.jpg,train,0.45179442,14,9,2585,1932,1235,906,1363,1034,multispecies,0
train\images\1703121298-0004-R.jpg,1703121298-0004-R_crop_000.jpg,train,0.33555546,13,3,2587,1902,1236,888,1364,1016,multispecies,0
train\images\1703121298-0005-R.jpg,1703121298-0005-R_crop_000.jpg,train,0.397507,4,0,2583,1926,1229,899,1357,1027,multispecies,0
train\images\1703121298-0008-G.jpg,1703121298-0008-G_crop_000.jpg,train,0.39457315,11,6,2587,1934,1235,906,1363,1034,multispecies,2
train\images\1703121298-0009-R.jpg,1703121298-0009-R_crop_000.jpg,train,0.31011578,7,0,2583,1915,1231,893,1359,1021,multispecies,0
train\images\1703121298-0010-G.jpg,1703121298-0010-G_crop_000.jpg,train,0.46095598,10,0,2588,1937,1235,904,1363,1032,multispecies,2
train\images\1703121298-0011-R.jpg,1703121298-0011-R_crop_000.jpg,train,0.31376627,6,5,2581,1927,1229,902,1357,1030,multispecies,0
train\images\1703121298-0011-R.jpg,1703121298-0011-R_crop_001.jpg,train,0.2985288,2496,5,2590,671,2479,274,2592,402,multispecies,0
train\images\1703121298-0012-G_R.jpg,1703121298-0012-G_R_crop_000.jpg,train,0.37907842,10,5,2587,1934,1234,905,1362,1033,multispecies,0
train\images\1703121298-0016-G.jpg,1703121298-0016-G_crop_000.jpg,train,0.46336398,1,15,2576,1930,1224,908,1352,1036,multispecies,2
train\images\1704282807-0004-R_T.jpg,1704282807-0004-R_T_crop_000.jpg,train,0.2905371,4,16,2585,1934,1230,911,1358,1039,multispecies,0
train\images\1704282807-0017-R.jpg,1704282807-0017-R_crop_000.jpg,train,0.48954406,13,26,2579,1934,1232,916,1360,1044,multispecies,0
train\images\1704282807-0018-R.jpg,1704282807-0018-R_crop_000.jpg,train,0.44609407,7,20,2588,1932,1233,912,1361,1040,multispecies,0
train\images\1707180816-0002-T.jpg,1707180816-0002-T_crop_000.jpg,train,0.3205064,10,3,2586,1934,1234,904,1362,1032,multispecies,1
train\images\1707180816-0005-T.jpg,1707180816-0005-T_crop_000.jpg,train,0.50119424,11,6,2585,1925,1234,901,1362,1029,multispecies,1
train\images\1707180816-0006-T.jpg,1707180816-0006-T_crop_000.jpg,train,0.481336,5,3,2585,1924,1231,899,1359,1027,multispecies,1
train\images\1707180816-0008-G.jpg,1707180816-0008-G_crop_000.jpg,train,0.47582692,3,0,2587,1934,1231,903,1359,1031,multispecies,2
train\images\1707180816-0009-T.jpg,1707180816-0009-T_crop_000.jpg,train,0.6149764,4,3,2585,1928,1230,901,1358,1029,multispecies,1
train\images\1707180816-0012-T_R.jpg,1707180816-0012-T_R_crop_000.jpg,train,0.5625023,10,6,2584,1936,1233,907,1361,1035,multispecies,0
train\images\1707180816-0015-T.jpg,1707180816-0015-T_crop_000.jpg,train,0.4997973,6,1,2583,1931,1230,902,1358,1030,multispecies,1
train\images\1707180816-0016-R.jpg,1707180816-0016-R_crop_000.jpg,train,0.386682,11,3,2586,1927,1234,901,1362,1029,multispecies,0
train\images\1707180816-0017-G.jpg,1707180816-0017-G_crop_000.jpg,train,0.53056383,6,7,2585,1931,1231,905,1359,1033,multispecies,2
train\images\1707180816-0020-R_T.jpg,1707180816-0020-R_T_crop_000.jpg,train,0.67221665,7,3,2588,1926,1233,900,1361,1028,multispecies,0
train\images\1707180816-0020-R_T.jpg,1707180816-0020-R_T_crop_001.jpg,train,0.3954549,17,8,2592,1190,1240,535,1368,663,multispecies,0
train\images\1708161076-0002-R.jpg,1708161076-0002-R_crop_000.jpg,train,0.27082556,17,6,2586,1935,1237,906,1365,1034,multispecies,0
train\images\1708161076-0004-R.jpg,1708161076-0004-R_crop_000.jpg,train,0.25689086,11,7,2585,1933,1234,906,1362,1034,multispecies,0
train\images\1708161076-0005-G.jpg,1708161076-0005-G_crop_000.jpg,train,0.3793518,11,1,2588,1935,1235,904,1363,1032,multispecies,2
train\images\1708161076-0006-R.jpg,1708161076-0006-R_crop_000.jpg,train,0.2911414,11,5,2586,1936,1234,906,1362,1034,multispecies,0
train\images\1709041080-0013-R.jpg,1709041080-0013-R_crop_000.jpg,train,0.5410837,11,5,2586,1917,1234,897,1362,1025,multispecies,0
train\images\1709041080-0014-R.jpg,1709041080-0014-R_crop_000.jpg,train,0.6246144,5,8,2581,1932,1229,906,1357,1034,multispecies,0
train\images\1709041080-0016-S.jpg,1709041080-0016-S_crop_000.jpg,train,0.5291168,12,7,2585,1936,1234,907,1362,1035,multispecies,3
train\images\1709041080-0017-R.jpg,1709041080-0017-R_crop_000.jpg,train,0.575012,5,10,2583,1935,1230,908,1358,1036,multispecies,0
train\images\1709041080-0018-R.jpg,1709041080-0018-R_crop_000.jpg,train,0.3656938,7,16,2583,1932,1231,910,1359,1038,multispecies,0
train\images\1709041080-0019-R.jpg,1709041080-0019-R_crop_000.jpg,train,0.47087374,7,6,2587,1934,1233,906,1361,1034,multispecies,0
train\images\1709041080-0021-R_T.jpg,1709041080-0021-R_T_crop_000.jpg,train,0.4577289,8,6,2586,1933,1233,905,1361,1033,multispecies,0
train\images\1709041080-0022-T.jpg,1709041080-0022-T_crop_000.jpg,train,0.37389058,9,3,2586,1936,1233,905,1361,1033,multispecies,1
train\images\1709041080-0023-R.jpg,1709041080-0023-R_crop_000.jpg,train,0.3958842,18,11,2588,1934,1239,908,1367,1036,multispecies,0
train\images\1709041080-0027-R.jpg,1709041080-0027-R_crop_000.jpg,train,0.5199548,11,7,2586,1922,1234,900,1362,1028,multispecies,0
train\images\1709041080-0030-S.jpg,1709041080-0030-S_crop_000.jpg,train,0.3928072,5,6,2586,1936,1231,907,1359,1035,multispecies,3
train\images\1709041080-0031-S.jpg,1709041080-0031-S_crop_000.jpg,train,0.57329935,2,12,2580,1926,1227,905,1355,1033,multispecies,3
train\images\1709041080-0031-S.jpg,1709041080-0031-S_crop_001.jpg,train,0.47388747,24,23,2588,838,1242,366,1370,494,multispecies,3
train\images\1709041080-0031-S.jpg,1709041080-0031-S_crop_002.jpg,train,0.32941803,300,6,2584,1284,1378,581,1506,709,multispecies,3
train\images\1709041080-0031-S.jpg,1709041080-0031-S_crop_003.jpg,train,0.29377958,10,7,2586,575,1234,227,1362,355,multispecies,3
train\images\1709041080-0032-S.jpg,1709041080-0032-S_crop_000.jpg,train,0.423953,10,5,2587,1940,1234,908,1362,1036,multispecies,3
train\images\1709041080-0033-S.jpg,1709041080-0033-S_crop_000.jpg,train,0.42284018,6,3,2581,1873,1229,874,1357,1002,multispecies,3
train\images\1709041080-0033-S.jpg,1709041080-0033-S_crop_001.jpg,train,0.3554013,47,20,2589,889,1254,390,1382,518,multispecies,3
train\images\1709041080-0034-R.jpg,1709041080-0034-R_crop_000.jpg,train,0.62888116,5,3,2580,1919,1228,897,1356,1025,multispecies,0
train\images\1709041080-0034-R.jpg,1709041080-0034-R_crop_001.jpg,train,0.32978553,5,4,2565,1074,1221,475,1349,603,multispecies,0
train\images\1709041080-0034-R.jpg,1709041080-0034-R_crop_002.jpg,train,0.2509488,2421,38,2590,1936,2441,923,2569,1051,multispecies,0
train\images\1709041080-0035-S.jpg,1709041080-0035-S_crop_000.jpg,train,0.60146147,11,1,2587,1935,1235,904,1363,1032,multispecies,3
train\images\1709041080-0035-S.jpg,1709041080-0035-S_crop_001.jpg,train,0.30948505,50,5,2592,988,1257,432,1385,560,multispecies,3
train\images\1709041080-0038-S.jpg,1709041080-0038-S_crop_000.jpg,train,0.45272693,7,5,2584,1939,1231,908,1359,1036,multispecies,3
val\images\1405022890-0001-R.jpg,1405022890-0001-R_crop_000.jpg,val,0.41500774,6,2,2582,1913,1230,893,1358,1021,multispecies,0
val\images\1405022890-0001-R.jpg,1405022890-0001-R_crop_001.jpg,val,0.26261413,9,13,2560,985,1220,435,1348,563,multispecies,0
val\images\1405022890-0003-R.jpg,1405022890-0003-R_crop_000.jpg,val,0.25844774,13,9,2580,1930,1232,905,1360,1033,multispecies,0
