epoch,train_loss,train_acc,val_loss,val_acc
1,0.069199,75.94,0.034810,86.51
2,0.016792,92.50,0.031358,91.80
3,0.013788,94.53,0.033051,90.21
4,0.010793,95.78,0.038374,89.95
5,0.017670,93.12,0.068428,93.12
6,0.022560,91.41,0.062109,93.12
7,0.030432,89.22,0.321095,59.52
8,0.025522,90.31,0.196516,64.29
9,0.021744,90.16,0.066170,92.06
10,0.022937,89.84,0.139197,67.20
11,0.070903,78.12,0.106254,74.07
12,0.046733,84.84,0.214970,65.34
13,0.046571,84.06,0.066693,86.24
14,0.041113,82.34,0.315576,80.69
15,0.050954,82.19,0.201303,84.39
16,0.053918,83.44,0.437015,67.46
17,0.067499,80.62,0.094096,78.84
18,0.041932,83.59,0.067805,67.46
19,0.043765,82.66,0.066914,78.31
20,0.046155,82.50,0.039888,95.24
21,0.020558,90.47,0.036895,95.77
22,0.034109,88.28,0.219989,85.45
23,0.054724,82.66,0.345815,59.52
24,0.041366,86.56,0.044057,94.18
25,0.032983,87.66,0.168595,47.88
26,0.047423,80.47,0.062531,90.74
27,0.012915,93.44,0.034945,94.97
28,0.012300,93.28,0.053849,95.50
29,0.013834,93.91,0.037052,96.30
30,0.012946,93.59,0.043177,95.24
31,0.016406,93.28,0.040633,95.24
32,0.006806,96.56,0.041491,95.77
33,0.007105,96.88,0.043598,95.24
34,0.005854,97.66,0.036353,93.65
35,0.006903,96.88,0.062638,93.39
36,0.015690,95.78,0.074339,94.71
37,0.026575,91.09,0.054858,94.71
38,0.027709,89.38,0.068846,90.21
39,0.010940,93.28,0.055173,90.74
40,0.010404,95.78,0.058233,94.44
