epoch,train_loss,train_acc,val_loss,val_acc
1,0.110392,69.22,0.076878,79.89
2,0.034155,87.66,0.049362,88.89
3,0.010272,96.56,0.046226,89.42
4,0.008525,97.34,0.049867,92.33
5,0.010571,96.09,0.057745,88.36
6,0.009406,95.31,0.066591,78.57
7,0.017888,92.81,0.067987,82.01
8,0.014509,94.53,0.045808,92.86
9,0.021891,92.97,0.068147,91.01
10,0.033783,89.53,0.075954,93.65
11,0.034093,88.28,0.069998,91.27
12,0.049104,87.19,0.134981,71.16
13,0.071345,82.50,0.109324,68.52
14,0.049978,82.97,0.559483,32.80
15,0.055798,80.78,0.292826,50.79
16,0.046624,84.06,0.052455,78.31
17,0.031874,88.59,0.062167,85.71
18,0.040302,86.72,0.055398,87.30
19,0.024860,90.16,0.135147,84.39
20,0.044236,88.59,0.050665,84.39
21,0.021880,92.50,0.153567,65.34
22,0.022654,90.94,0.044203,94.18
23,0.034181,88.59,0.049106,87.30
24,0.009957,95.94,0.068466,77.78
25,0.013315,93.28,0.041099,94.97
26,0.012543,95.62,0.045025,89.15
27,0.020577,92.19,0.106464,63.49
28,0.013253,94.69,0.044075,94.97
29,0.006893,97.34,0.055795,90.48
30,0.007703,96.56,0.056162,91.27
31,0.003507,98.12,0.040220,95.24
32,0.007829,95.62,0.076487,92.59
33,0.017051,94.84,0.068389,91.80
34,0.044410,89.53,0.054958,90.21
35,0.027225,88.28,0.046211,92.33
36,0.020388,93.12,0.050326,84.13
37,0.018811,92.34,0.066509,84.92
38,0.009114,96.41,0.036513,93.92
39,0.007323,97.03,0.034128,95.50
40,0.003242,98.12,0.034123,95.77
41,0.003261,99.06,0.038047,94.71
42,0.001671,99.06,0.042179,92.59
43,0.007712,97.03,0.044926,91.27
44,0.002121,98.75,0.040754,94.97
45,0.003058,99.06,0.040652,95.50
46,0.001747,99.06,0.043004,93.39
47,0.001297,99.06,0.036217,95.24
48,0.000579,100.00,0.035300,94.97
49,0.000301,100.00,0.035325,94.44
50,0.001628,99.38,0.034051,95.50
51,0.001882,99.22,0.034318,93.12
52,0.002023,98.91,0.034267,95.50
53,0.001703,99.38,0.035597,95.50
54,0.001029,99.53,0.031932,96.03
55,0.001067,99.22,0.031422,96.30
56,0.000693,99.69,0.029945,96.30
57,0.003211,98.59,0.045985,88.36
58,0.000955,99.53,0.028347,95.77
59,0.001335,99.38,0.027937,95.24
60,0.000473,100.00,0.027436,96.03
61,0.000440,99.84,0.028087,95.24
62,0.000429,99.69,0.029212,96.30
63,0.000403,99.84,0.028742,96.30
64,0.000300,99.84,0.029919,96.03
65,0.000118,100.00,0.031321,96.30
66,0.000372,99.84,0.031417,96.03
67,0.001526,99.53,0.031226,96.03
68,0.000321,100.00,0.031510,96.03
69,0.000701,99.69,0.030289,96.03
70,0.000180,100.00,0.030337,96.03
71,0.000260,100.00,0.031693,95.77
72,0.000183,100.00,0.030552,96.03
