epoch,train_loss,train_acc,val_loss,val_acc
1,0.100791,74.38,0.030652,93.39
2,0.021605,91.41,0.030446,94.71
3,0.012532,95.31,0.039034,89.68
4,0.009310,96.72,0.067631,83.86
5,0.011657,96.72,0.027830,95.50
6,0.013169,95.47,0.035082,93.65
7,0.015670,95.31,0.029505,94.97
8,0.040118,87.97,0.167067,52.65
9,0.059491,82.19,0.273873,52.91
10,0.036482,86.88,0.082099,63.23
11,0.059376,80.00,0.060446,92.33
12,0.068634,76.41,0.276029,56.88
13,0.086274,72.66,0.086890,71.16
14,0.049079,78.75,0.388812,79.37
15,0.034747,83.91,0.053902,88.62
16,0.054213,80.31,0.121784,91.80
17,0.051470,77.50,0.046500,88.36
18,0.039495,82.50,0.061534,92.06
19,0.026358,86.88,0.054714,94.97
20,0.033437,87.03,0.054908,80.69
21,0.022098,89.38,0.070429,91.01
22,0.021049,90.00,0.131100,89.15
23,0.032262,88.12,0.138864,54.50
24,0.020901,88.44,0.822653,54.76
25,0.025470,89.53,0.065389,93.65
26,0.022188,90.16,0.071737,83.86
27,0.024397,89.38,0.062243,83.60
28,0.014765,92.03,0.049005,94.71
29,0.015919,92.66,0.046300,93.92
30,0.019201,90.62,0.053453,95.50
31,0.023237,91.09,0.070624,83.60
32,0.016379,92.19,0.058247,91.80
33,0.018094,92.19,0.064345,87.83
34,0.018737,93.44,0.057283,94.71
35,0.011986,93.59,0.050159,94.71
36,0.010737,95.00,0.060700,94.18
37,0.006374,97.50,0.059657,89.42
38,0.006613,96.88,0.053505,92.86
39,0.006338,96.72,0.051584,93.65
40,0.008165,96.72,0.058011,95.50
41,0.003715,97.81,0.062600,94.97
42,0.003337,97.97,0.052004,94.71
43,0.002886,98.28,0.057258,94.71
