stage,mapped_stage,width,height,area,aspect_ratio,distance_to_annotation
Esch,schizont,87,98,6270.5,0.8877551020408163,2.692582403567252
LR-ET,ring,45,52,1846.5,0.8653846153846154,1.118033988749895
R,ring,27,28,614.5,0.9642857142857143,1.8027756377319946
R,ring,27,29,607.0,0.9310344827586207,1.5811388300841898
Esch,schizont,106,102,8380.0,1.0392156862745099,2.23606797749979
R,ring,59,83,2062.0,0.7108433734939759,9.617692030835672
Esch,schizont,86,71,4364.5,1.2112676056338028,277.63330131668283
Esch,schizont,91,96,6340.0,0.9479166666666666,1.118033988749895
Seg,schizont,122,94,8329.0,1.297872340425532,5.0
MT,trophozoite,80,53,2998.0,1.509433962264151,4.272001872658765
Esch,schizont,104,111,8193.0,0.9369369369369369,3.3541019662496847
Esch,schizont,109,83,6583.0,1.3132530120481927,2.1213203435596424
Esch,schizont,77,96,5104.0,0.8020833333333334,2.692582403567252
Esch,schizont,110,90,5860.0,1.2222222222222223,2.23606797749979
DEBRIS,EXCLUDE,29,24,561.0,1.2083333333333333,1.8027756377319946
Esch,schizont,91,79,4842.5,1.1518987341772151,3.5355339059327378
Lsch,schizont,81,106,6525.5,0.7641509433962265,2.5
R,ring,67,60,1879.5,1.1166666666666667,4.6097722286464435
LR-ET,ring,66,53,2472.0,1.2452830188679245,2.5
Esch,schizont,71,78,3932.5,0.9102564102564102,3.2015621187164243
Seg,schizont,122,94,7237.5,1.297872340425532,10.770329614269007
Esch,schizont,97,104,5667.0,0.9326923076923077,7.826237921249264
Esch,schizont,98,97,7250.0,1.0103092783505154,4.031128874149275
R,ring,29,27,611.0,1.0740740740740742,2.1213203435596424
DEBRIS,EXCLUDE,40,29,900.0,1.3793103448275863,2.692582403567252
R,ring,38,37,1039.5,1.027027027027027,4.272001872658765
MT,trophozoite,43,57,1950.5,0.7543859649122807,2.9154759474226504
Esch,schizont,118,103,8126.0,1.145631067961165,6.800735254367722
Lsch,schizont,85,86,5942.5,0.9883720930232558,2.0615528128088303
R,ring,24,22,437.0,1.0909090909090908,2.8284271247461903
Esch,schizont,86,75,4960.5,1.1466666666666667,3.2015621187164243
Seg,schizont,96,143,10399.5,0.6713286713286714,34.514489710844636
Lsch,schizont,79,109,6291.5,0.7247706422018348,2.5495097567963922
Esch,schizont,95,73,4478.5,1.3013698630136987,4.301162633521313
Esch,schizont,47,84,2753.0,0.5595238095238095,5.852349955359813
LR-ET,ring,88,61,3022.0,1.4426229508196722,4.272001872658765
R,ring,27,27,586.5,1.0,3.5355339059327378
Lsch,schizont,84,108,5417.0,0.7777777777777778,5.0
Lsch,schizont,105,100,7384.0,1.05,2.692582403567252
R,ring,26,25,509.0,1.04,1.8027756377319946
