epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.022,2.33746,3.62332,1.1854,0.01258,0.55981,0.01925,0.00743,1.94874,3.69883,0.96431,0.00036,0.00036,0.00036
2,96.196,1.99782,2.49443,1.01698,0.01817,0.80861,0.02961,0.01148,1.8671,3.3886,0.93824,0.00071558,0.00071558,0.00071558
3,139.741,1.86437,1.94641,0.98829,0.02032,0.90431,0.12807,0.05417,1.83606,3.03085,0.94167,0.00104608,0.00104608,0.00104608
4,184.646,1.91452,1.86097,0.97983,0.809,0.08612,0.37994,0.16373,1.82265,2.90304,0.92071,0.0013515,0.0013515,0.0013515
5,234.164,1.82916,1.76299,0.97698,0.8237,0.2488,0.57164,0.24027,1.75484,2.56137,0.93026,0.00163184,0.00163184,0.00163184
6,282.095,1.83828,2.1576,0.95794,0.75381,0.72727,0.78521,0.36179,1.7668,1.64823,0.95311,0.00167,0.00167,0.00167
7,328.933,1.81989,1.57804,0.99303,0.6499,0.62679,0.66837,0.24236,1.9315,1.60536,0.9607,0.001604,0.001604,0.001604
8,375.833,1.71895,1.54522,0.95591,0.74645,0.66029,0.73844,0.33623,1.83561,1.47087,0.9544,0.001538,0.001538,0.001538
9,422.38,1.8003,1.53726,0.9768,0.64944,0.64593,0.699,0.30905,1.78187,1.61116,0.9223,0.001472,0.001472,0.001472
10,467.196,1.69241,1.39796,0.94557,0.76932,0.73401,0.83079,0.43239,1.60949,1.24208,0.90798,0.001406,0.001406,0.001406
11,511.74,1.61467,1.34701,0.9224,0.84031,0.78469,0.85154,0.4537,1.56629,1.2722,0.90184,0.00134,0.00134,0.00134
12,559.841,1.64235,1.3543,0.96347,0.75897,0.82297,0.82606,0.42239,1.58189,1.19919,0.9054,0.001274,0.001274,0.001274
13,605.965,1.59657,1.32402,0.9547,0.79608,0.78469,0.82858,0.40181,1.60557,1.23633,0.89713,0.001208,0.001208,0.001208
14,650.257,1.63012,1.242,0.92936,0.75877,0.77512,0.80636,0.40539,1.64025,1.2329,0.9108,0.001142,0.001142,0.001142
15,696.255,1.51923,1.25136,0.93259,0.81107,0.73206,0.81579,0.43345,1.61623,1.16405,0.9096,0.001076,0.001076,0.001076
16,740.702,1.59451,1.18976,0.92245,0.81859,0.80861,0.88113,0.47883,1.55167,1.06532,0.89607,0.00101,0.00101,0.00101
17,785.324,1.59071,1.19007,0.94567,0.81953,0.80383,0.87717,0.49383,1.52671,1.0368,0.89343,0.000944,0.000944,0.000944
18,829.089,1.62836,1.20137,0.9336,0.8155,0.82481,0.8868,0.49918,1.51993,1.05443,0.89293,0.000878,0.000878,0.000878
19,873.494,1.54107,1.12984,0.92022,0.83203,0.82297,0.89847,0.47429,1.59796,1.04387,0.89901,0.000812,0.000812,0.000812
20,918.801,1.59354,1.10996,0.92502,0.81539,0.86648,0.91537,0.51101,1.51582,0.96112,0.89249,0.000746,0.000746,0.000746
21,963.694,1.45622,1.24209,0.93538,0.786,0.80838,0.8737,0.48098,1.53044,1.06064,0.89703,0.00068,0.00068,0.00068
22,1009.7,1.60061,1.1904,0.94541,0.77542,0.82604,0.85914,0.44704,1.62988,1.13987,0.91232,0.000614,0.000614,0.000614
23,1055.28,1.41607,1.17318,0.94474,0.79405,0.85646,0.88534,0.5021,1.51191,1.02609,0.89519,0.000548,0.000548,0.000548
24,1101.73,1.5001,1.20315,0.9359,0.79469,0.88995,0.89671,0.50335,1.54625,1.03074,0.8993,0.000482,0.000482,0.000482
25,1145.22,1.44497,1.24139,0.93833,0.8193,0.91866,0.9209,0.51044,1.53991,0.96298,0.89249,0.000416,0.000416,0.000416
26,1189.27,1.42457,1.0979,0.93806,0.83166,0.89822,0.92223,0.53781,1.46601,0.92868,0.8815,0.00035,0.00035,0.00035
27,1234,1.37381,1.13078,0.9198,0.84993,0.86714,0.9149,0.53831,1.46408,0.93589,0.88106,0.000284,0.000284,0.000284
28,1277.83,1.38286,1.0714,0.92894,0.82545,0.88246,0.9102,0.52111,1.47444,0.95677,0.88155,0.000218,0.000218,0.000218
29,1318.04,1.41718,1.10277,0.90846,0.82433,0.8756,0.90752,0.51524,1.4911,0.95866,0.88256,0.000152,0.000152,0.000152
30,1362.15,1.40731,1.05288,0.91912,0.82435,0.8756,0.90922,0.53006,1.46946,0.93225,0.87991,8.6e-05,8.6e-05,8.6e-05
