epoch,train_loss,train_acc,val_loss,val_acc
1,0.071092,79.81,0.011851,97.10
2,0.007882,96.51,0.006973,97.68
3,0.008904,95.91,0.007673,95.07
4,0.006204,97.36,0.005635,98.26
5,0.005903,97.84,0.009852,97.68
6,0.008199,97.12,0.014735,96.52
7,0.019383,93.15,0.023608,91.59
8,0.027266,89.90,0.149904,80.58
9,0.034206,85.94,0.039907,90.14
10,0.039280,86.54,0.026972,95.07
11,0.039471,81.25,0.027305,93.91
12,0.037584,86.18,0.095335,70.43
13,0.039150,84.13,0.017490,91.88
14,0.027359,89.66,0.007285,97.10
15,0.017190,91.11,0.051924,86.09
16,0.041676,83.05,0.036702,94.49
17,0.037359,82.33,0.060251,84.93
18,0.045578,76.32,0.088616,57.68
19,0.036854,83.29,0.018115,88.99
20,0.053644,72.48,nan,64.93
21,0.049594,78.25,0.250433,63.48
22,0.027742,84.01,0.007612,99.13
23,0.027630,82.81,0.014140,94.78
24,0.016260,90.26,0.007318,98.26
25,0.019684,89.54,0.023932,89.86
26,0.022286,89.78,0.009219,94.49
27,0.022905,87.26,0.029474,85.80
28,0.013713,92.43,0.006333,98.26
29,0.012817,93.99,0.005155,97.97
30,0.014391,92.31,0.019073,96.81
31,0.008384,94.83,0.003602,98.55
32,0.007741,96.03,0.018902,97.97
33,0.008823,95.91,0.005027,97.97
34,0.012176,94.35,0.002761,98.84
35,0.006017,96.27,0.003623,98.84
36,0.007097,96.39,0.056269,86.38
37,0.011335,94.47,0.015023,93.91
38,0.008657,94.83,0.004195,97.97
39,0.003830,98.44,0.004654,98.55
40,0.009339,95.79,0.005095,98.26
41,0.014427,93.27,0.013935,95.07
42,0.011439,94.59,0.010099,97.10
43,0.006491,97.48,0.005694,98.55
44,0.004208,97.60,0.004909,98.55
45,0.004579,97.84,0.008566,97.39
46,0.004311,98.08,0.006282,97.97
