epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.3688,2.82338,5.26638,1.6734,0.00016,0.00535,8e-05,1e-05,3.1433,6.05606,1.88431,0.09403,3e-05,3e-05
2,22.3482,2.24711,3.19369,1.21021,0.48456,0.49198,0.40809,0.10933,2.59049,2.59321,1.15819,0.0870644,6.43565e-05,6.43565e-05
3,29.9084,1.75051,1.57976,0.99131,0.66018,0.47594,0.56559,0.25825,1.98199,1.43523,1.00634,0.080098,9.802e-05,9.802e-05
4,37.4884,1.64375,1.18488,0.98871,0.68646,0.59626,0.57981,0.21512,2.12618,1.55978,1.04506,0.073131,0.00013099,0.00013099
5,44.7309,1.51518,1.06021,0.97544,0.7108,0.59803,0.63244,0.26892,2.03577,1.56355,1.05072,0.0661633,0.000163268,0.000163268
6,52.66,1.5677,1.06235,1.0102,0.7604,0.58289,0.67487,0.27462,2.12771,1.63192,1.07825,0.0591949,0.000194853,0.000194853
7,60.5204,1.59356,1.19144,0.99744,0.75305,0.72567,0.77592,0.35261,1.95324,1.48569,1.0201,0.0522257,0.000225744,0.000225744
8,68.5073,1.59985,0.99372,0.97948,0.79121,0.80214,0.83824,0.33764,1.97481,1.48757,1.01391,0.0452559,0.000255943,0.000255943
9,75.7741,1.44526,0.91027,0.94246,0.78797,0.81551,0.84554,0.41599,1.82041,1.18058,0.98318,0.0382854,0.000285448,0.000285448
10,83.6931,1.5573,1.0349,0.95775,0.74669,0.75668,0.78993,0.38992,1.81923,1.05874,0.97101,0.0313143,0.000314261,0.000314261
11,91.3054,1.65463,1.02375,0.98272,0.78387,0.82086,0.86107,0.43587,1.71465,1.03166,0.96003,0.0243424,0.00034238,0.00034238
12,99.1756,1.42458,0.96874,0.9417,0.81102,0.80214,0.85274,0.468,1.64732,0.99329,0.95079,0.0173698,0.000369806,0.000369806
13,106.79,1.41301,0.86415,0.93251,0.76644,0.72995,0.78245,0.40378,1.75267,1.13732,0.96036,0.0103965,0.00039654,0.00039654
14,116.234,1.48118,0.92588,0.92946,0.78463,0.67216,0.75166,0.37379,1.84043,1.17171,0.98562,0.00342258,0.00042258,0.00042258
15,124.232,1.39742,0.8568,0.93595,0.79612,0.78342,0.83794,0.42768,1.69285,1.01837,0.94327,0.0004307,0.0004307,0.0004307
16,132.006,1.51894,0.90171,1.00261,0.80753,0.85561,0.87136,0.45226,1.62636,0.90629,0.93387,0.00042575,0.00042575,0.00042575
17,139.677,1.5185,0.92082,0.96069,0.8349,0.85185,0.88634,0.47088,1.64282,0.98166,0.93544,0.0004208,0.0004208,0.0004208
18,148.242,1.55956,0.82003,0.96025,0.84278,0.85995,0.87022,0.39384,1.83481,0.92054,0.96344,0.00041585,0.00041585,0.00041585
19,153.895,1.34462,0.82966,0.92055,0.8678,0.85027,0.88216,0.48864,1.63574,0.86489,0.93526,0.0004109,0.0004109,0.0004109
20,160.931,1.38605,0.79567,0.91228,0.84899,0.84759,0.88339,0.45573,1.72472,1.04663,0.95473,0.00040595,0.00040595,0.00040595
21,168.931,1.43994,0.81278,0.90924,0.8882,0.85027,0.89357,0.49876,1.57049,0.82515,0.92855,0.000401,0.000401,0.000401
22,176.416,1.3208,0.79891,0.90674,0.87859,0.83422,0.88132,0.48105,1.59694,0.8681,0.92634,0.00039605,0.00039605,0.00039605
23,183.645,1.30491,0.71427,0.90588,0.85404,0.79786,0.86018,0.47245,1.63676,0.94334,0.934,0.0003911,0.0003911,0.0003911
24,195.477,1.31888,0.79755,0.91782,0.83025,0.87621,0.89118,0.48365,1.63568,0.9461,0.93364,0.00038615,0.00038615,0.00038615
25,203.166,1.37867,0.76988,0.90939,0.86561,0.84492,0.89915,0.51225,1.61896,0.95559,0.93971,0.0003812,0.0003812,0.0003812
26,210.425,1.32713,0.75158,0.90632,0.8743,0.85027,0.89306,0.54225,1.48575,0.86523,0.92089,0.00037625,0.00037625,0.00037625
27,218.145,1.29793,0.76307,0.89671,0.84064,0.89305,0.90808,0.48972,1.60081,0.82473,0.92799,0.0003713,0.0003713,0.0003713
28,224.817,1.30189,0.73679,0.8984,0.8695,0.86096,0.89547,0.52331,1.49316,0.77552,0.91925,0.00036635,0.00036635,0.00036635
29,232.531,1.22107,0.69583,0.9004,0.82963,0.85937,0.87693,0.5058,1.49976,0.82317,0.91476,0.0003614,0.0003614,0.0003614
30,240.052,1.23345,0.7089,0.90919,0.87603,0.88805,0.90921,0.5485,1.47618,0.77346,0.90434,0.00035645,0.00035645,0.00035645
31,247.387,1.21224,0.76777,0.92315,0.876,0.87166,0.9064,0.55231,1.47482,0.77046,0.91114,0.0003515,0.0003515,0.0003515
32,255.293,1.28979,0.74434,0.89715,0.85101,0.85526,0.88435,0.51071,1.53431,0.82865,0.92758,0.00034655,0.00034655,0.00034655
33,263.725,1.27307,0.69953,0.91398,0.79112,0.84052,0.82677,0.4363,1.65884,0.94365,0.95264,0.0003416,0.0003416,0.0003416
34,270.997,1.25807,0.82359,0.87138,0.69708,0.82448,0.77056,0.38594,1.76546,1.01718,0.96874,0.00033665,0.00033665,0.00033665
35,278.651,1.32936,0.71365,0.89953,0.81259,0.73039,0.79144,0.40105,1.79557,0.95517,0.96855,0.0003317,0.0003317,0.0003317
36,287.319,1.28641,0.68806,0.89357,0.8078,0.82035,0.84653,0.48073,1.56654,0.86009,0.92635,0.00032675,0.00032675,0.00032675
37,294.341,1.20144,0.76108,0.87874,0.85869,0.86096,0.87399,0.51839,1.44794,0.92029,0.91508,0.0003218,0.0003218,0.0003218
38,302.354,1.37455,0.74915,0.89636,0.83934,0.86607,0.86798,0.51723,1.44728,0.8873,0.92159,0.00031685,0.00031685,0.00031685
