epoch,train_loss,train_acc,val_loss,val_acc
1,0.152790,51.99,0.144706,59.09
2,0.075590,80.68,0.076454,72.73
3,0.046439,84.09,0.046088,79.55
4,0.026316,90.34,0.035132,84.09
5,0.015793,93.47,0.053168,87.50
6,0.017844,93.18,0.032760,89.77
7,0.020474,92.05,0.052600,86.36
8,0.023855,92.05,0.132805,78.41
9,0.031311,90.91,0.096887,84.09
10,0.019796,92.33,0.105699,84.09
11,0.038551,91.19,0.105181,82.95
12,0.056931,79.26,1.190179,45.45
13,0.056381,78.69,1.416135,63.64
14,0.053705,82.95,0.175149,60.23
15,0.068494,78.98,0.205653,45.45
16,0.052746,85.23,0.223637,71.59
17,0.050877,83.52,0.277913,81.82
18,0.052981,83.24,0.147692,76.14
19,0.099386,75.57,0.192702,63.64
20,0.062666,78.12,0.171270,59.09
21,0.038551,86.08,0.169769,86.36
22,0.059968,81.53,0.188013,63.64
23,0.045647,85.51,0.054582,85.23
24,0.047954,84.09,0.090538,73.86
25,0.032385,89.49,0.122477,73.86
26,0.024505,90.91,0.053279,81.82
27,0.028915,90.91,0.106991,86.36
28,0.023600,92.90,0.060342,88.64
29,0.024667,91.48,0.055189,84.09
30,0.021156,92.61,0.048101,86.36
31,0.022900,92.05,0.080298,88.64
32,0.015347,94.03,0.077840,90.91
33,0.009495,95.17,0.087277,86.36
34,0.013194,94.60,0.055663,92.05
35,0.005123,98.01,0.056472,89.77
36,0.010235,95.74,0.075437,87.50
37,0.014395,93.75,0.063688,85.23
38,0.010426,94.32,0.062362,89.77
39,0.008174,97.44,0.044151,89.77
40,0.022629,93.75,0.082068,92.05
41,0.003228,98.58,0.084352,89.77
42,0.007992,97.16,0.087607,92.05
43,0.013679,95.17,0.073928,87.50
44,0.011906,95.17,0.032814,90.91
45,0.007381,96.59,0.077996,89.77
46,0.009460,97.16,0.072999,90.91
47,0.006581,98.01,0.087131,90.91
48,0.003401,97.73,0.065128,89.77
49,0.005205,98.58,0.059342,88.64
50,0.004522,98.30,0.036805,92.05
51,0.007550,97.44,0.051740,87.50
52,0.001897,99.43,0.053761,90.91
53,0.001761,99.15,0.051820,90.91
54,0.002530,99.15,0.050045,92.05
55,0.001092,99.72,0.048452,90.91
56,0.002179,99.15,0.048820,90.91
