epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.05483,1.71317,4.42951,1.74683,0.4244,0.20588,0.26936,0.12468,1.70344,4.56849,1.25278,0.09005,5e-05,5e-05
2,16.0418,1.03605,1.20205,1.14712,0,0,0,0,1.84438,6.47981,1.66848,0.079104,0.000103961,0.000103961
3,23.6267,1.09647,0.89425,1.13595,0,0,0,0,1.81964,6.28532,1.64982,0.0681568,0.000156832,0.000156832
4,31.1473,0.93767,0.79652,1.08054,0.69697,0.22549,0.48052,0.27573,1.75445,4.49828,1.57953,0.0572086,0.000208615,0.000208615
5,38.9461,0.91301,0.97074,1.05968,0.93584,0.85798,0.92753,0.6071,1.28952,0.98756,1.26287,0.0462593,0.000259308,0.000259308
6,46.7743,0.90531,0.65677,1.03516,0.89463,0.91561,0.94821,0.72768,0.88886,0.66055,1.02224,0.0353089,0.000308913,0.000308913
7,54.4741,0.92271,0.64774,1.06149,0.85685,0.95098,0.9617,0.73798,0.89528,0.66397,1.03548,0.0243574,0.000357428,0.000357428
8,62.236,0.91907,0.6453,1.06853,0.88948,0.98039,0.96762,0.71358,1.07066,0.72724,1.11905,0.0134049,0.000404855,0.000404855
9,69.8135,0.88899,0.655,1.05068,0.85067,0.98039,0.96368,0.74347,0.90492,0.68929,1.01551,0.00245119,0.000451192,0.000451192
10,77.4337,0.84763,0.70181,1.03383,0.90576,0.91176,0.96177,0.7404,0.93894,0.66023,1.0424,0.00045545,0.00045545,0.00045545
11,84.9993,0.88921,0.7027,1.04592,0.92903,0.92157,0.96859,0.76957,0.82784,0.58894,0.98805,0.0004505,0.0004505,0.0004505
12,92.7416,0.95055,0.63701,1.08618,0.9032,0.91483,0.96709,0.73459,0.89881,0.60024,1.04442,0.00044555,0.00044555,0.00044555
13,100.304,0.90226,0.6246,1.06359,0.88855,0.93798,0.96438,0.76016,0.8149,0.57115,0.97388,0.0004406,0.0004406,0.0004406
14,107.914,0.87309,0.6785,1.02803,0.88918,0.94393,0.95711,0.76065,0.80426,0.73382,0.97184,0.00043565,0.00043565,0.00043565
15,115.552,0.78632,0.60367,1.00087,0.89953,0.9656,0.95678,0.74574,0.83646,0.73045,0.98263,0.0004307,0.0004307,0.0004307
16,123.079,0.79647,0.56608,0.9983,0.84442,0.90196,0.92364,0.75502,0.73291,1.52559,0.93742,0.00042575,0.00042575,0.00042575
17,130.677,0.81146,0.60002,0.994,0.85837,0.9902,0.95151,0.74323,0.88187,0.67355,1.00988,0.0004208,0.0004208,0.0004208
18,138.27,0.77362,0.58008,0.99594,0.88681,0.93137,0.9519,0.74497,0.86474,0.56049,0.98358,0.00041585,0.00041585,0.00041585
19,145.936,0.78201,0.57067,0.99783,0.85933,0.91176,0.94307,0.73718,0.83632,1.02629,0.97754,0.0004109,0.0004109,0.0004109
20,153.621,0.84056,0.56283,1.01268,0.86502,0.95098,0.9591,0.74508,0.82619,0.59879,0.97948,0.00040595,0.00040595,0.00040595
21,161.333,0.79756,0.54089,0.98078,0.86842,0.9706,0.94671,0.73124,0.83779,0.53221,0.98733,0.000401,0.000401,0.000401
22,168.913,0.77912,0.51055,0.97704,0.86089,0.97072,0.94774,0.74404,0.8229,0.57535,0.98109,0.00039605,0.00039605,0.00039605
23,176.532,0.74925,0.57182,0.96597,0.90823,0.93137,0.96001,0.74236,0.85702,0.53261,1.00271,0.0003911,0.0003911,0.0003911
24,184.301,0.7898,0.54107,0.98661,0.88102,0.90196,0.94835,0.7683,0.73982,0.60273,0.94602,0.00038615,0.00038615,0.00038615
25,191.853,0.76378,0.56116,0.95926,0.92821,0.94118,0.95706,0.76701,0.76164,0.55599,0.95321,0.0003812,0.0003812,0.0003812
26,199.464,0.74257,0.51247,0.98361,0.89516,0.83711,0.92535,0.7337,0.77478,0.63802,0.95649,0.00037625,0.00037625,0.00037625
27,207.045,0.79745,0.54929,1.00979,0.91886,0.96078,0.96598,0.66481,1.168,0.58663,1.14249,0.0003713,0.0003713,0.0003713
28,214.6,0.76775,0.49109,0.97284,0.8964,0.93315,0.95886,0.76384,0.81238,0.56584,0.96856,0.00036635,0.00036635,0.00036635
29,222.242,0.74767,0.58206,0.98173,0.88556,0.87255,0.90986,0.66864,1.02027,0.60904,1.07293,0.0003614,0.0003614,0.0003614
30,229.86,0.77118,0.51294,0.98267,0.81654,0.93137,0.91783,0.73926,0.76206,0.70195,0.96245,0.00035645,0.00035645,0.00035645
31,237.427,0.74498,0.52852,0.97342,0.89035,0.8757,0.94284,0.75095,0.82023,0.72477,0.98144,0.0003515,0.0003515,0.0003515
32,244.967,0.74418,0.47938,0.9778,0.89709,0.94008,0.93672,0.76454,0.77032,0.50508,0.95691,0.00034655,0.00034655,0.00034655
