epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,23.1231,5.72028,10.4794,2.92259,0.00105,0.00535,0.00036,0.00024,6.06348,8.43456,3.3548,0.09602,2e-05,2e-05
2,46.5882,5.2934,9.16399,2.68571,0.35032,0.14171,0.19684,0.07868,3.98091,5.14727,1.976,0.0910446,4.45545e-05,4.45545e-05
3,71.2819,3.81155,4.64233,2.05211,0.49857,0.64602,0.56004,0.21456,4.10985,3.04684,1.95101,0.0860686,6.8614e-05,6.8614e-05
4,95.6713,3.56942,2.79418,1.99698,0.5093,0.42513,0.41814,0.1072,5.08795,3.05521,2.21166,0.0810922,9.21785e-05,9.21785e-05
5,119.013,3.40195,2.47334,1.96703,0.5998,0.62299,0.60957,0.25739,4.0129,2.71945,1.98846,0.0761152,0.000115248,0.000115248
6,142.456,3.34836,2.22634,1.89738,0.54189,0.67999,0.59127,0.19096,4.61003,3.0329,2.14074,0.0711378,0.000137823,0.000137823
7,162.73,3.53931,2.12897,1.95869,0.69381,0.65775,0.66531,0.19468,4.71809,2.82078,2.18615,0.0661599,0.000159902,0.000159902
8,189.435,3.27717,1.84586,1.89143,0.71912,0.6738,0.7505,0.2948,4.20201,2.85895,2.02803,0.0611815,0.000181487,0.000181487
9,212.937,3.31156,1.90843,1.87961,0.72015,0.51872,0.63537,0.25318,4.22264,3.51744,2.04456,0.0562026,0.000202576,0.000202576
10,239.108,3.32615,2.03134,1.87752,0.69942,0.62299,0.64987,0.27573,4.06461,3.46822,2.01954,0.0512232,0.000223171,0.000223171
11,264.179,3.04101,1.79575,1.84377,0.77031,0.64562,0.71671,0.26637,4.26775,2.8511,2.06239,0.0462433,0.00024327,0.00024327
12,286.345,3.11569,1.80548,1.83213,0.78284,0.76203,0.81382,0.37577,3.70734,2.0726,1.94775,0.0412629,0.000262874,0.000262874
13,312.004,2.99353,1.73318,1.81471,0.79931,0.68154,0.73677,0.26199,4.54339,2.6136,2.15645,0.036282,0.000281984,0.000281984
14,334.623,3.06688,1.92675,1.87998,0.83146,0.77807,0.84077,0.38602,3.77806,1.92408,1.97019,0.0313006,0.000300598,0.000300598
15,360.412,3.28631,1.64017,1.88143,0.8104,0.82086,0.8483,0.42732,3.52653,1.66284,1.90978,0.0263187,0.000318718,0.000318718
16,385.734,3.11429,1.66292,1.8961,0.82049,0.80658,0.85133,0.42505,3.57565,1.82296,1.91188,0.0213363,0.000336343,0.000336343
17,411.925,3.02148,1.65259,1.86176,0.78166,0.81283,0.84637,0.44601,3.41733,1.91074,1.86419,0.0163535,0.000353472,0.000353472
18,436.439,3.00338,1.77083,1.84544,0.78594,0.71658,0.79295,0.39082,3.63428,2.13643,1.9081,0.0113701,0.000370106,0.000370106
19,460.835,2.8923,1.52732,1.82698,0.77969,0.72863,0.79263,0.38013,3.64905,2.17347,1.89611,0.00638625,0.000386246,0.000386246
20,485.965,3.04014,1.60648,1.84223,0.78644,0.77784,0.82062,0.38658,3.53638,1.91801,1.9123,0.00140189,0.000401891,0.000401891
21,511.294,2.91734,1.57218,1.82283,0.83374,0.72405,0.78728,0.37533,3.74285,2.19783,1.94512,0.000401,0.000401,0.000401
22,532.952,2.98787,1.60371,1.83854,0.69016,0.61345,0.67632,0.35634,3.62775,2.54673,1.92656,0.00039605,0.00039605,0.00039605
23,555.41,2.90942,1.52722,1.84882,0.76308,0.63369,0.69617,0.35605,3.65107,2.60892,1.91881,0.0003911,0.0003911,0.0003911
24,577.428,3.0167,1.47893,1.83069,0.74362,0.50408,0.56475,0.26074,4.00468,2.80133,2.08319,0.00038615,0.00038615,0.00038615
25,599.65,3.03448,1.83104,1.82074,0.76336,0.6123,0.66572,0.31749,3.90836,2.89859,1.99729,0.0003812,0.0003812,0.0003812
26,623.362,2.91085,1.45229,1.80707,0.79359,0.60695,0.67741,0.33876,3.73283,2.60588,1.93847,0.00037625,0.00037625,0.00037625
27,647.249,2.74073,1.58516,1.78078,0.78705,0.51337,0.59855,0.2874,4.03817,3.13621,2.04022,0.0003713,0.0003713,0.0003713
28,671.828,2.78269,1.43502,1.80063,0.74384,0.54813,0.62629,0.31535,3.71215,2.75223,1.9631,0.00036635,0.00036635,0.00036635
29,695.534,2.67273,1.32357,1.77015,0.78841,0.51604,0.58638,0.28359,3.91976,2.84546,2.04848,0.0003614,0.0003614,0.0003614
30,717.604,2.82172,1.53473,1.79475,0.74096,0.81283,0.8117,0.42195,3.23694,1.85947,1.82705,0.00035645,0.00035645,0.00035645
31,743.661,2.84656,1.40197,1.81387,0.7769,0.83422,0.82943,0.39622,3.39403,1.71605,1.8878,0.0003515,0.0003515,0.0003515
