epoch,train_loss,train_acc,val_loss,val_acc
1,0.078443,78.00,0.019009,96.23
2,0.017163,92.79,0.005702,98.26
3,0.007622,97.24,0.005047,98.55
4,0.008931,96.63,0.007565,97.39
5,0.010489,96.51,0.004555,98.26
6,0.015346,93.99,0.004832,98.26
7,0.022051,93.63,0.020746,92.46
8,0.013646,95.91,0.014410,97.97
9,0.020456,93.51,0.057312,86.09
10,0.036354,89.30,0.893505,59.13
11,0.041478,89.66,0.030614,95.36
12,0.046363,86.06,0.084630,65.80
13,0.037821,86.78,0.034077,97.10
14,0.024065,90.26,0.014905,93.91
15,0.029345,90.50,0.800848,37.10
16,0.031335,89.30,0.005408,98.84
17,0.030570,89.42,0.007791,97.68
18,0.021181,92.31,0.007239,97.97
19,0.016557,94.83,0.004554,98.26
20,0.018712,92.67,0.040621,71.59
21,0.036216,91.71,0.509512,66.38
22,0.025534,89.54,0.021103,95.07
23,0.015245,95.19,0.041117,96.23
24,0.018449,92.31,0.035448,96.81
25,0.015778,95.43,0.322672,73.62
26,0.010939,95.07,0.007165,97.97
27,0.005504,97.96,0.007581,96.23
28,0.005773,97.36,0.004312,98.84
29,0.004517,97.96,0.005007,99.13
30,0.005922,97.48,0.007530,98.55
31,0.006057,97.96,0.004317,98.84
32,0.002830,98.92,0.001275,99.42
33,0.003010,98.92,0.020069,96.81
34,0.007592,98.32,0.003963,99.13
35,0.002804,99.04,0.007589,99.13
36,0.001847,99.04,0.008150,99.13
37,0.003361,98.44,0.005943,98.84
38,0.003033,98.68,0.002700,98.84
39,0.011829,96.03,0.040545,95.94
40,0.004491,98.08,0.002628,99.13
41,0.002725,99.40,0.005608,99.13
42,0.001197,99.40,0.008230,99.13
43,0.001608,99.40,0.007513,96.81
44,0.002229,99.28,0.007157,98.55
