Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.9398,0.9431,0.9465,0.9498,0.9431,0.9331
Overall,balanced_accuracy,0.6597,0.591,0.6615,0.6467,0.591,0.6736
gametocyte,precision,0.5,0.6667,0.6667,0.5,1.0,1.0
gametocyte,recall,0.4,0.4,0.4,0.4,0.4,0.4
gametocyte,f1_score,0.4444,0.5,0.5,0.4444,0.5714,0.5714
gametocyte,support,5.0,5.0,5.0,5.0,5.0,5.0
ring,precision,0.9709,0.9677,0.9676,0.9679,0.9643,0.967
ring,recall,0.9816,0.9926,0.989,0.9963,0.9926,0.9706
ring,f1_score,0.9762,0.98,0.9782,0.9819,0.9783,0.9688
ring,support,272.0,272.0,272.0,272.0,272.0,272.0
schizont,precision,0.8571,0.8,0.6667,0.8571,0.8,0.8571
schizont,recall,0.8571,0.5714,0.8571,0.8571,0.5714,0.8571
schizont,f1_score,0.8571,0.6667,0.75,0.8571,0.6667,0.8571
schizont,support,7.0,7.0,7.0,7.0,7.0,7.0
trophozoite,precision,0.4615,0.5,0.6667,0.625,0.5,0.4118
trophozoite,recall,0.4,0.4,0.4,0.3333,0.4,0.4667
trophozoite,f1_score,0.4286,0.4444,0.5,0.4348,0.4444,0.4375
trophozoite,support,15.0,15.0,15.0,15.0,15.0,15.0
