Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.8718,0.8352,0.8388,0.8755,0.8425,0.8388
Overall,balanced_accuracy,0.8492,0.8024,0.8084,0.8507,0.8282,0.8332
ring,precision,0.8833,0.829,0.8478,0.9387,0.8864,0.8602
ring,recall,0.9464,0.9524,0.9286,0.9107,0.9286,0.9524
ring,f1_score,0.9138,0.8864,0.8864,0.9245,0.907,0.904
ring,support,168.0,168.0,168.0,168.0,168.0,168.0
schizont,precision,0.9216,0.9084,0.9091,0.906,0.9208,0.9507
schizont,recall,0.9004,0.8736,0.8812,0.9234,0.8467,0.8123
schizont,f1_score,0.9109,0.8906,0.8949,0.9146,0.8822,0.876
schizont,support,261.0,261.0,261.0,261.0,261.0,261.0
trophozoite,precision,0.7387,0.6667,0.6606,0.7179,0.6385,0.6277
trophozoite,recall,0.7009,0.5812,0.6154,0.7179,0.7094,0.735
trophozoite,f1_score,0.7193,0.621,0.6372,0.7179,0.6721,0.6772
trophozoite,support,117.0,117.0,117.0,117.0,117.0,117.0
