original_image,crop_filename,split,class_id,class_name,bbox_x1,bbox_y1,bbox_x2,bbox_y2,source
images/Trip 017 Day 1 19-10-05 Image 14 add_1.png,Trip 017 Day 1 19-10-05 Image 14 add_1_crop_000.png,test,1,schizont,679,714,771,810,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_1.png,Trip 017 Day 1 19-10-05 Image 14 add_1_crop_001.png,test,1,schizont,1201,245,1304,356,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_1.png,Trip 017 Day 1 19-10-05 Image 14 add_1_crop_002.png,test,1,schizont,95,609,217,703,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_1.png,Trip 017 Day 1 19-10-05 Image 14 add_1_crop_003.png,test,2,trophozoite,119,488,199,541,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_10.png,Trip 017 Day 1 19-10-05 Image 14 add_10_crop_000.png,train,1,schizont,410,552,497,651,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_10.png,Trip 017 Day 1 19-10-05 Image 14 add_10_crop_001.png,train,0,ring,1161,112,1206,164,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_10.png,Trip 017 Day 1 19-10-05 Image 14 add_10_crop_002.png,train,0,ring,661,0,688,27,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_11.png,Trip 017 Day 1 19-10-05 Image 14 add_11_crop_000.png,train,0,ring,305,386,349,421,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_11.png,Trip 017 Day 1 19-10-05 Image 14 add_11_crop_001.png,train,0,ring,1202,835,1228,860,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_11.png,Trip 017 Day 1 19-10-05 Image 14 add_11_crop_002.png,train,0,ring,543,144,567,169,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_12.png,Trip 017 Day 1 19-10-05 Image 14 add_12_crop_000.png,test,1,schizont,780,232,876,375,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_12.png,Trip 017 Day 1 19-10-05 Image 14 add_12_crop_001.png,test,1,schizont,780,232,876,375,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_14.png,Trip 017 Day 1 19-10-05 Image 14 add_14_crop_000.png,test,1,schizont,0,761,89,863,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_14.png,Trip 017 Day 1 19-10-05 Image 14 add_14_crop_001.png,test,2,trophozoite,1230,350,1307,412,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_14.png,Trip 017 Day 1 19-10-05 Image 14 add_14_crop_002.png,test,0,ring,672,865,692,885,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_15.png,Trip 017 Day 1 19-10-05 Image 14 add_15_crop_000.png,test,1,schizont,1186,830,1259,938,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_15.png,Trip 017 Day 1 19-10-05 Image 14 add_15_crop_001.png,test,2,trophozoite,0,417,41,490,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_16.png,Trip 017 Day 1 19-10-05 Image 14 add_16_crop_000.png,test,1,schizont,252,785,338,860,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_16.png,Trip 017 Day 1 19-10-05 Image 14 add_16_crop_001.png,test,1,schizont,1036,943,1121,1029,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_16.png,Trip 017 Day 1 19-10-05 Image 14 add_16_crop_002.png,test,0,ring,193,935,217,957,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_2.png,Trip 017 Day 1 19-10-05 Image 14 add_2_crop_000.png,train,1,schizont,428,525,522,627,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_2.png,Trip 017 Day 1 19-10-05 Image 14 add_2_crop_001.png,train,1,schizont,138,232,268,339,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_2.png,Trip 017 Day 1 19-10-05 Image 14 add_2_crop_002.png,train,1,schizont,591,553,688,659,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_2.png,Trip 017 Day 1 19-10-05 Image 14 add_2_crop_003.png,train,0,ring,312,482,331,501,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_3.png,Trip 017 Day 1 19-10-05 Image 14 add_3_crop_000.png,val,2,trophozoite,905,665,970,744,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_4.png,Trip 017 Day 1 19-10-05 Image 14 add_4_crop_000.png,train,0,ring,551,898,629,955,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_4.png,Trip 017 Day 1 19-10-05 Image 14 add_4_crop_001.png,train,1,schizont,306,770,426,882,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_5.png,Trip 017 Day 1 19-10-05 Image 14 add_5_crop_000.png,train,1,schizont,722,579,817,652,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_5.png,Trip 017 Day 1 19-10-05 Image 14 add_5_crop_001.png,train,1,schizont,1236,633,1315,742,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_6.png,Trip 017 Day 1 19-10-05 Image 14 add_6_crop_000.png,train,1,schizont,55,49,143,149,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_6.png,Trip 017 Day 1 19-10-05 Image 14 add_6_crop_001.png,train,1,schizont,552,828,635,917,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_6.png,Trip 017 Day 1 19-10-05 Image 14 add_6_crop_002.png,train,1,schizont,1182,141,1269,240,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_6.png,Trip 017 Day 1 19-10-05 Image 14 add_6_crop_003.png,train,0,ring,353,1013,381,1030,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_7.png,Trip 017 Day 1 19-10-05 Image 14 add_7_crop_000.png,val,0,ring,1174,981,1230,1030,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_7.png,Trip 017 Day 1 19-10-05 Image 14 add_7_crop_001.png,val,0,ring,1006,761,1058,815,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_8.png,Trip 017 Day 1 19-10-05 Image 14 add_8_crop_000.png,test,1,schizont,1285,70,1368,183,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_8.png,Trip 017 Day 1 19-10-05 Image 14 add_8_crop_001.png,test,1,schizont,1260,744,1357,830,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_8.png,Trip 017 Day 1 19-10-05 Image 14 add_8_crop_002.png,test,0,ring,144,357,184,416,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_9.png,Trip 017 Day 1 19-10-05 Image 14 add_9_crop_000.png,train,1,schizont,943,0,1062,103,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_9.png,Trip 017 Day 1 19-10-05 Image 14 add_9_crop_001.png,train,0,ring,106,463,144,500,ground_truth
images/Trip 017 Day 1 19-10-05 Image 14 add_9.png,Trip 017 Day 1 19-10-05 Image 14 add_9_crop_002.png,train,2,trophozoite,1259,199,1302,256,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_000.png,train,1,schizont,1132,188,1212,258,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_001.png,train,1,schizont,319,271,410,353,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_002.png,train,0,ring,42,857,95,900,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_003.png,train,1,schizont,609,36,684,137,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_004.png,train,0,ring,213,608,241,634,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_1.png,Trip 017 Day 1 19-10-05 Image 15 add_1_crop_005.png,train,1,schizont,432,675,485,734,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_10.png,Trip 017 Day 1 19-10-05 Image 15 add_10_crop_000.png,train,2,trophozoite,794,387,882,472,ground_truth
images/Trip 017 Day 1 19-10-05 Image 15 add_10.png,Trip 017 Day 1 19-10-05 Image 15 add_10_crop_001.png,train,0,ring,1189,473,1236,510,ground_truth
