epoch,train_loss,train_acc,val_loss,val_acc
1,0.058349,74.36,0.041737,84.09
2,0.039025,82.26,0.038636,84.30
3,0.034960,82.63,0.040239,81.40
4,0.032408,84.64,0.036018,82.85
5,0.032163,84.06,0.038601,82.23
6,0.032253,85.96,0.037621,85.33
7,0.032736,85.17,0.039420,82.85
8,0.034811,84.96,0.037917,83.88
9,0.036697,82.68,0.060971,70.66
10,0.038011,82.15,0.046389,76.45
11,0.040871,80.35,0.048359,77.07
12,0.036689,83.90,0.062053,76.86
13,0.037492,82.42,0.078229,72.11
14,0.036476,82.89,0.050674,77.89
15,0.039127,82.31,0.088436,57.02
16,0.039751,80.99,0.041224,83.26
17,0.035069,83.95,0.040680,82.85
18,0.038861,81.57,0.039188,79.96
19,0.037184,82.84,0.037497,81.82
20,0.031031,84.38,0.043517,83.47
21,0.037521,82.63,0.038654,79.75
22,0.035428,83.79,0.036114,84.09
23,0.032468,83.42,0.036414,83.26
24,0.034510,83.53,0.037006,82.02
25,0.026389,86.97,0.042934,83.06
26,0.030777,85.81,0.050035,77.89
27,0.028488,85.43,0.051974,77.89
28,0.030417,86.33,0.034761,83.88
29,0.028169,86.02,0.036554,85.12
30,0.025113,87.98,0.042949,82.64
31,0.027093,85.86,0.034896,85.12
32,0.026349,87.08,0.048335,74.17
33,0.023624,88.19,0.049380,81.82
34,0.024716,87.24,0.035116,84.71
35,0.023493,88.19,0.039251,82.85
36,0.022124,88.03,0.043356,82.02
37,0.023981,88.19,0.044629,80.58
38,0.024876,86.44,0.047783,80.99
39,0.024526,88.08,0.045353,80.58
40,0.023861,87.76,0.041089,81.61
41,0.025874,86.97,0.035338,83.68
42,0.021260,89.30,0.040422,83.88
43,0.018799,89.35,0.046606,85.54
44,0.019729,89.51,0.046157,83.88
45,0.018012,90.84,0.039338,84.92
46,0.015177,92.43,0.040663,83.88
47,0.014733,91.95,0.049547,82.23
48,0.014600,92.80,0.049049,84.71
49,0.014874,91.42,0.054331,82.02
50,0.013559,92.90,0.051016,84.92
51,0.014185,92.85,0.044814,83.47
52,0.010237,93.91,0.055308,84.71
53,0.010669,94.49,0.052788,84.30
54,0.008761,95.23,0.060559,85.33
55,0.009380,95.23,0.047503,85.12
56,0.007514,95.82,0.051839,84.92
57,0.006305,97.03,0.065237,84.09
58,0.004593,97.40,0.071125,85.12
59,0.004885,97.30,0.068473,83.47
60,0.005069,97.30,0.067206,85.33
61,0.005712,97.19,0.061614,86.16
62,0.004229,97.62,0.064380,84.50
63,0.003184,98.31,0.063080,84.92
64,0.003349,98.36,0.068618,83.88
65,0.002655,98.89,0.073638,83.88
66,0.001931,98.94,0.076370,83.06
67,0.002134,99.10,0.076190,84.92
68,0.002264,98.94,0.078297,84.50
69,0.002389,98.52,0.077178,85.12
70,0.002198,98.78,0.076691,84.50
71,0.002001,98.89,0.077458,84.92
72,0.001878,99.15,0.080466,84.50
73,0.002645,98.83,0.080731,84.50
74,0.002162,98.89,0.077357,84.71
75,0.002367,98.52,0.080957,84.71
