Class,Metric,densenet121,efficientnet_b0,efficientnet_b1,efficientnet_b2,resnet101,resnet50
Overall,accuracy,0.984,0.988,0.992,0.98,0.996,0.976
Overall,balanced_accuracy,0.8818,0.8916,0.9,0.8045,0.95,0.7978
P_falciparum,precision,1.0,0.9956,1.0,1.0,1.0,1.0
P_falciparum,recall,1.0,1.0,1.0,1.0,1.0,0.9912
P_falciparum,f1_score,1.0,0.9978,1.0,1.0,1.0,0.9956
P_falciparum,support,227.0,227.0,227.0,227.0,227.0,227.0
P_malariae,precision,1.0,1.0,1.0,1.0,1.0,0.875
P_malariae,recall,1.0,0.8571,1.0,1.0,1.0,1.0
P_malariae,f1_score,1.0,0.9231,1.0,1.0,1.0,0.9333
P_malariae,support,7.0,7.0,7.0,7.0,7.0,7.0
P_ovale,precision,0.5714,0.8,1.0,0.5,1.0,0.5
P_ovale,recall,0.8,0.8,0.6,0.4,0.8,0.2
P_ovale,f1_score,0.6667,0.8,0.75,0.4444,0.8889,0.2857
P_ovale,support,5.0,5.0,5.0,5.0,5.0,5.0
P_vivax,precision,0.8889,0.9091,0.8462,0.75,0.9167,0.7333
P_vivax,recall,0.7273,0.9091,1.0,0.8182,1.0,1.0
P_vivax,f1_score,0.8,0.9091,0.9167,0.7826,0.9565,0.8462
P_vivax,support,11.0,11.0,11.0,11.0,11.0,11.0
